"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.eventsourcing","eventsourcing",0,"50,5",0,"50,28,5",0.05136197172681548,0,0,0,11,9,-1,40,102,""
"org.axonframework.eventsourcing.snapshot.api","api",0,"50,5",0,"50,28,5",0.05136197172681548,0,0,0,6,17,-1,18,13,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0,"50,5",0,"50,28,5",0.05136197172681548,1,0,0,3,6,17,0,3,""
"org.axonframework.eventsourcing.snapshot.store","store",0,"50,5",0,"50,28,5",0.05136197172681548,0,0,0,6,15,13,7,3,""
"org.axonframework.eventsourcing.handler","handler",0,"50,5",0,"50,28,5",0.05136197172681548,0,0,0,11,0,15,12,547,""
"org.axonframework.eventsourcing.eventstore","eventstore",0,"5,5",0,"120,28,5",0.05136197172681548,0,0,0,11,6,-1,273,982,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,"5,5",0,"120,28,5",0.05136197172681548,2,0,0,8,1,15,12,417,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0,"5,5",0,"120,28,5",0.05136197172681548,3,0,0,11,3,15,13,1239,""
"org.axonframework.eventsourcing.annotation","annotation",1,"10,10",1,"36,16,2",0.07311997972594518,0,0,0,11,3,-1,18,95,""
"org.axonframework.eventsourcing.annotation.reflection","reflection",1,"10,10",1,"36,16,2",0.07311997972594518,0,0,0,11,0,18,8,198,""
"org.axonframework.eventsourcing.configuration","configuration",1,"10,10",1,"36,16,2",0.07311997972594518,4,0,0,11,14,-1,31,1761,""
"org.axonframework.update","update",2,"12,109",2,"12,27,3",0.018485109312174678,5,0,1,3,19,3,7,100,""
"org.axonframework.update.api","api",2,"12,109",2,"12,27,3",0.018485109312174678,6,0,1,3,0,3,18,11,""
"org.axonframework.update.detection","detection",2,"12,109",2,"12,27,3",0.018485109312174678,7,0,1,3,1,3,4,5,""
"org.axonframework.update.common","common",2,"12,109",2,"12,27,3",0.018485109312174678,8,0,1,2,14,3,1,1,""
"org.axonframework.update.configuration","configuration",2,"109,109",2,"109,27,3",0.018485109312174678,9,0,0,2,10,3,15,19,""
"org.axonframework.extension.tracing.opentelemetry","opentelemetry",3,"112,95",3,"112,8,4",0.09783052554674368,10,0,0,3,12,-1,5,37,""
"io.axoniq.framework.springboot","springboot",4,"20,59",4,"20,19,0",0.021486394163977355,11,0,0,2,14,5,11,6,""
