"fullQualifiedDependentElementName","dependentElementModuleName","dependentElementName","dependentElementLabels","numberOfUsingModules","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_elements_that_are_used_by_many_different_modules_for_Typescript.cypher"
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/vite.ts"".getVite","vite.ts","getVite","Function",11,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/vite.ts"".preloadVite","vite.ts","preloadVite","Function",10,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts"".Location","history.ts","Location","Interface",9,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts"".RouteManifestEntry","routes.ts","RouteManifestEntry","Interface",9,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".DataRouteObject","utils.ts","DataRouteObject","TypeAlias",8,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".RouteMatch","utils.ts","RouteMatch","Interface",8,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/entry.ts"".FutureConfig","entry.ts","FutureConfig","Interface",7,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules","routeModules.ts","RouteModules","Interface",7,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts"".StaticHandlerContext","router.ts","StaticHandlerContext","Interface",7,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/create-react-router/utils.ts"".color","utils.ts","color","Variable",7,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".stripBasename","utils.ts","stripBasename","Function",7,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".DataWithResponseInit","utils.ts","DataWithResponseInit","Class",6,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".Params","utils.ts","Params","TypeAlias",6,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/dom/ssr/entry.ts"".AssetsManifest","entry.ts","AssetsManifest","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/cookies.ts"".Cookie","cookies.ts","Cookie","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".DataRouteMatch","utils.ts","DataRouteMatch","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".LoaderFunction","utils.ts","LoaderFunction","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".LoaderFunctionArgs","utils.ts","LoaderFunctionArgs","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".MiddlewareFunction","utils.ts","MiddlewareFunction","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts"".Path","history.ts","Path","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/rsc/server.rsc.ts"".RSCRenderPayload","server.rsc.ts","RSCRenderPayload","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/rsc/server.rsc.ts"".RSCRouteManifest","server.rsc.ts","RSCRouteManifest","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/config/routes.ts"".RouteManifest","routes.ts","RouteManifest","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".RouteObject","utils.ts","RouteObject","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/router.ts"".Router","router.ts","Router","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".RouterContextProvider","utils.ts","RouterContextProvider","Class",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/server-runtime/sessions"".SessionStorage","sessions","SessionStorage","ExternalDeclaration",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".ShouldRevalidateFunction","utils.ts","ShouldRevalidateFunction","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts"".To","history.ts","To","TypeAlias",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".TrackedPromise","utils.ts","TrackedPromise","Interface",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router-dev/vite/babel.ts"".generate","babel.ts","generate","Variable",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/history.ts"".invariant","history.ts","invariant","Function",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".isRouteErrorResponse","utils.ts","isRouteErrorResponse","Function",5,""
"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.1/source/react-router-7.18.1/packages/react-router/lib/router/utils.ts"".matchRoutesImpl","utils.ts","matchRoutesImpl","Function",5,""
