"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.12.0",1,23.877250589484973,66.4728549325863,69.2337897971962,2.760934864609894,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.12.0",1,21.10450796333274,58.79146964282633,59.54325422177984,0.7517845789535104,""
"org.axonframework.messaging.Message","Message","axon-messaging-4.12.0",1,10.895622271528632,30.509585980696716,41.04422037196334,10.534634391266625,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.12.0",1,9.222617454281067,25.874826709607607,28.98076666431783,3.1059399547102244,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.12.0",1,7.286910958420581,20.51229963538387,25.04298014309192,4.53068050770805,""
"org.axonframework.common.Assert","Assert","axon-messaging-4.12.0",1,6.562611455494569,18.50575799149641,20.356428149863532,1.850670158367122,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.12.0",1,6.511926091152738,18.36534329581232,24.025898201164843,5.660554905352523,""
"org.axonframework.messaging.MetaData$MetaDataCollector","MetaData$MetaDataCollector","axon-messaging-4.12.0",1,6.228246905416012,17.579461078048364,18.623845011945534,1.0443839338971688,""
"org.axonframework.common.AxonException","AxonException","axon-messaging-4.12.0",1,4.700654550550568,13.34754090892085,15.740914667979158,2.3933737590583086,""
"org.axonframework.messaging.MetaData$1","MetaData$1","axon-messaging-4.12.0",1,4.218284138420496,12.011220345662066,12.639498147540518,0.628277801878452,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-messaging-4.12.0",1,2.9327077432485726,8.449761911836948,10.685112467685183,2.2353505558482363,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","axon-eventsourcing-4.12.0",1,2.781780052820858,8.03164386145096,9.755927044443888,1.7242831829929293,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.12.0",1,2.4616237205383813,7.144708262732645,11.737469678941903,4.592761416209258,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder","EventSchema$Builder","axon-eventsourcing-4.12.0",1,2.2096652888527544,6.44670269505876,7.6882072133194255,1.2415045182606652,""
