"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.12.0",1394.6999999999996,69.2337897971962,52,51,1,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.12.0",525.8833333333334,59.54325422177985,13,11,2,""
"org.axonframework.messaging.Message","Message","axon-messaging-4.12.0",5994.607142857143,41.04422037196333,210,207,3,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.12.0",1743,28.980766664317823,90,88,2,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.12.0",1859.75,25.04298014309192,66,65,1,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.12.0",1761.6666666666663,24.025898201164843,128,125,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.12.0",764.8333333333331,11.7374696789419,165,164,1,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-messaging-4.12.0",563.8666666666667,6.228036362527496,87,86,1,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","axon-messaging-4.12.0",561.7666666666667,5.563990415214473,115,114,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.12.0",770.4499999999999,5.480571177088707,117,114,3,""
"org.axonframework.serialization.Converter","Converter","axon-messaging-4.12.0",826.1666666666666,4.466822336746244,18,16,2,""
"org.axonframework.config.Configuration","Configuration","axon-configuration-4.12.0",7064.165476190477,2.785475919091684,84,51,33,""
"org.axonframework.messaging.ResultMessage","ResultMessage","axon-messaging-4.12.0",1819.7499999999995,2.612327451505101,30,25,5,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType","RollbackConfigurationType","axon-messaging-4.12.0",1842.5,2.3223772656832966,16,11,5,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","axon-messaging-4.12.0",5255.524999999999,1.9961640478393496,68,57,11,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","axon-messaging-4.12.0",677.5833333333334,1.624932012302159,39,36,3,""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-4.12.0",546.2833333333334,1.460103466400237,30,28,2,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.12.0",1085,1.3896374717758342,31,27,4,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","axon-server-connector-4.12.0",508,1.243160989475892,35,28,7,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream","DomainEventStream","axon-eventsourcing-4.12.0",3265.509523809524,1.1825591348588995,31,24,7,""
