"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Java",59367,90.9504550050556,""
"ByteCode",59179,90.66243833685694,""
"Member",20280,31.069032080154425,""
"Bound",18456,28.27465759720563,""
"Method",16775,25.699359622514322,""
"Parameter",13029,19.960474308300398,""
"ParameterizedType",7176,10.993657505285412,""
"Value",5077,7.777982044918344,""
"File",3860,5.913533719398229,""
"Xml",3643,5.581088948126359,""
"Type",3618,5.5427888592701535,""
"Field",3505,5.369672457640102,""
"WildcardType",2908,4.455066335753899,""
"Annotation",2865,4.389190182921224,""
"Element",2144,3.284615620308239,""
"Constructor",2057,3.151331311088642,""
"Text",1436,2.199957103900481,""
"Class",1272,1.9487085210037687,""
"Json",1263,1.9349204890155343,""
"TypeVariable",1096,1.6790758954560774,""
"Lambda",942,1.4431473481018475,""
"ResolvedDuplicateType",899,1.3772711952691732,""
"GenericDeclaration",894,1.3696111774979318,""
"JavaType",748,1.1459386585776878,""
"Primitive",652,0.9988663173698562,""
"Key",568,0.8701780188130037,""
"Scalar",551,0.8441339583907834,""
"ExternalType",489,0.7491497380273923,""
"Maven",343,0.5254772191071483,""
"Array",273,0.41823697030977114,""
"Interface",273,0.41823697030977114,""
"Property",202,0.3094647179581457,""
"Directory",186,0.28495266109017375,""
"Enum",178,0.27269663265618777,""
"Dependency",170,0.26044060422220183,""
"GenericArrayType",158,0.24205656157122285,""
"Package",140,0.21448049759475443,""
"Object",135,0.20682047982351318,""
"ManifestEntry",120,0.18384042650978952,""
"Artifact",101,0.15473235897907284,""
"ExternalAnnotation",93,0.14247633054508688,""
"Namespace",36,0.05515212795293685,""
"PrimitiveType",29,0.04442810307319913,""
"Configuration",21,0.03217207463921316,""
"Plugin",21,0.03217207463921316,""
"jQAssistant",20,0.03064007108496492,""
"Concept",19,0.029108067530716673,""
"Rule",19,0.029108067530716673,""
"Attribute",18,0.027576063976468425,""
"ExecutionGoal",16,0.024512056867971935,""
"PluginExecution",16,0.024512056867971935,""
"Properties",12,0.01838404265097895,""
"ServiceLoader",10,0.01532003554248246,""
"Archive",9,0.013788031988234212,""
"Document",9,0.013788031988234212,""
"Jar",9,0.013788031988234212,""
"Manifest",9,0.013788031988234212,""
"ManifestSection",9,0.013788031988234212,""
"Pom",9,0.013788031988234212,""
"Void",9,0.013788031988234212,""
"Zip",9,0.013788031988234212,""
"NPM",8,0.012256028433985967,""
"Exclusion",5,0.00766001777124123,""
"Analyze",1,0.001532003554248246,""
"Scan",1,0.001532003554248246,""
"TS",1,0.001532003554248246,""
"Task",1,0.001532003554248246,""
