"internalModuleName","leidenCommunityId","internalModuleElementsCount","numberOfExternalModules","minNumberOfInternalModules","maxNumberOfInternalModules","medNumberOfInternalModules","avgNumberOfInternalModules","stdNumberOfInternalModules","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","top10ExternalPackageNamesByUsageDescending","internalModulesExamples","internalElementsExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_aggregated_for_Typescript.cypher"
"react-router-express",,3,3,2,2,2,2,0,2,2,2,2,0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,"@types/express,@types/qs,@types/express-serve-static-core","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-express/index.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-express/server.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-express/server.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-express/server.ts"".GetLoadContextFunction",""
"routes",,18,2,2,2,2,2,0,3,5,4,4,1.4142135623730951,16.666666666666664,27.77777777777778,22.22222222222222,22.22222222222222,7.8567420131838634,"@types/pick,dist","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/routes.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/routes.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/routes.ts"".index,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/routes.ts"".route,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/routes.ts"".layout",""
"stream",,4,2,2,2,2,2,0,1,3,2,2,1.4142135623730951,25,75,50,50,35.35533905932738,"@types/stream,@types/buffer","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-node/index.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-node/stream.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-node/stream.ts"".createReadableStreamFromReadable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-node/stream.ts"".writeReadableStreamToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-node/stream.ts"".writeAsyncIterableToWritable",""
"utils",,149,12,1,2,1,1.0833333333333335,0.28867513459481287,1,4,2,2.333333333333333,1.2309149097933272,0.6711409395973155,2.684563758389262,1.342281879194631,1.5659955257270695,0.8261173891230386,"@types/react,node:fs,fs,promises,node:path,@types/process,node:process,readline,sisteransi","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".RouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router/lib/router/utils.ts"".BaseRouteObject",""
"worker",,5,1,2,2,2,2,0,4,4,4,4,0,80,80,80,80,0,"@cloudflare/workers-types","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/worker.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/worker.ts"".createPagesFunctionHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/worker.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/worker.ts"".createRequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/worker.ts"".RequestHandler",""
"workersKVStorage",,1,1,2,2,2,2,0,1,1,1,1,0,100,100,100,100,0,"@cloudflare/workers-types","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/sessions/workersKVStorage.ts,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/index.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-cloudflare/sessions/workersKVStorage.ts"".createWorkersKVSessionStorage",""
"babel",,2,1,1,1,1,1,0,1,1,1,1,0,50,50,50,50,0,"@types/babel__generator","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/babel.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/babel.ts"".generate",""
"build",,7,1,1,1,1,1,0,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,"node","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/build.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/vite/build.ts"".build",""
"commands",,5,9,1,1,1,1,0,1,2,1,1.1111111111111112,0.3333333333333333,20,40,20,22.22222222222222,6.666666666666667,"@types/process,picocolors,node,@types/module,node:fs,dist,promises,@types/path,exit-hook","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/cli/commands.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/cli/commands.ts"".routes",""
"config",,14,11,1,1,1,1,0,1,4,1,1.3636363636363635,0.9244162777371753,7.142857142857143,28.571428571428573,7.142857142857143,9.74025974025974,6.602973412408396,"@types/pick,dist,@types/module,node:child_process,@types/isEqual,node,@types/process,esm,picocolors","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/config.ts","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.17.0/source/react-router-7.17.0/packages/react-router-dev/config/config.ts"".configRouteToBranchRoute",""
