"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"ExportNamedDeclaration.specifiers,VariableDeclarator.id,FunctionDeclaration.id,LVal.type,ExpressionStatement.expression,ExportSpecifier.local,ExportSpecifier.exported,VariableDeclaration.declarations,ExportDefaultDeclaration.declaration,Identifier.name,ClassDeclaration.id,MemberExpression.object,ExportDeclaration.type,ExportNamedDeclaration.declaration,ParseResult,Expression.type,AssignmentExpression.left",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.node,NodePath.isProgram,NodePath.remove",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"vite","no namespace",123,238,6,128,25,2133.3333333333335,"UserConfig.server,PluginOption,path.extname,PreviewServer.middlewares,ResolvedConfig.base,join,readFile,UserConfig.base,ResolvedBuildEnvironmentOptions.outDir,dist,ServerResponse.setHeader,UserConfig.logLevel,ResolvedEnvironmentOptions.build,existsSync,normalizePath,transformWithEsbuild,Connect.IncomingMessage.url,Logger.info,path.join,ServerResponse.end,createLogger,init,ServerResponse.statusCode,picocolors,Connect.Server.use,ResolvedConfig.environments,relative,resolve,path.normalize,Logger.error,ResolvedConfig.mode,ResolvedConfig.server,UserConfig.plugins,createServer,DevEnvironment.moduleGraph,rename,PluginContainer.buildStart,EnvironmentOptions,RunnableDevEnvironment.runner,readdir,ViteBuilder.build,UserConfig.build,PluginContext.environment,loadConfigFromFile,ResolvedBuildOptions.assetsDir,ResolvedConfig.root,ResolvedId.id,.pathToFileURL,ViteDevServer.ssrFixStacktrace,PluginContext.resolve,Environment.config,ConfigEnv.mode,EnvironmentOptions.resolve,Logger.warn,ManifestChunk.css,HotUpdatePluginContext.environment,Plugin,ModuleRunner.import,ResolvedConfig.build,Dirent.isFile,Hash.update,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,Environment.name,ResolvedConfig.logger,ResolvedConfig.command,UserConfig.environments,DevEnvironment.reloadModule,UserConfig.root,ViteDevServer.environments,createHash,ManifestChunk.assets,rm,ConfigEnv.isSsrBuild,rmSync,ResolvedServerOptions.middlewareMode,PreviewServer,ModuleNode.file,HotBroadcaster.send,defaultClientConditions,ResolvedConfig.configFile,ModuleNode.url,Plugin.name,ViteDevServer.transformRequest,ResolvedConfig,ViteDevServer.config,ConfigEnv.command,ViteDevServer,Dirent.parentPath,EnvironmentOptions.optimizeDeps,readdirSync,isRunnableDevEnvironment,Dirent.name,cp,Hash.digest,ManifestChunk.file,Dirent.path,DevEnvironment.name,ViteDevServer.pluginContainer,ViteDevServer.hot,ViteBuilder.environments,URL.href,mkdir,version,ESBuildOptions,node",""
"vite","@types",22,51,6,128,25,2133.3333333333335,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,GeneratorResult.code,GeneratorResult,jsesc,transformAsync,path.PlatformPath.relative,BabelFileResult.code,global.NodeJS.Process.exit,BabelFileResult.map,path.PlatformPath.posix,path.PlatformPath.resolve,global.NodeJS.Require.resolve,path.PlatformPath.basename,global.NodeJS.Process.cwd,pick,global.NonSharedBuffer.toString,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,path.PlatformPath.dirname,path.PlatformPath.join",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isVariableDeclaration,NodePath.scope,NodePath.isFunctionDeclaration,NodePath.isExpression,Scope.generateUidIdentifier,NodePath.isExportDefaultDeclaration,NodePath.isIdentifier,NodePath.node,NodePath.get,NodePath.replaceWith,NodePath.isExportNamedDeclaration",""
"with-props","@babel",10,14,1,21,4,2100,"Program.body,ParseResult,importSpecifier,importDeclaration,identifier,ParseResult.program,variableDeclarator,stringLiteral,variableDeclaration,callExpression",""
"cloudflare","no namespace",14,20,1,15,4,1500,"ViteDevServer.config,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,UserConfig.root,Plugin.name,Connect.Server.use,ViteDevServer.ssrLoadModule,EnvironmentResolveOptions.externalConditions,Plugin,ViteDevServer.middlewares,ResolvedConfig.server,EnvironmentOptions.resolve,ResolvedConfig.plugins",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"ViteDevServer.config,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,UserConfig.root,Plugin.name,Connect.Server.use,ViteDevServer.ssrLoadModule,EnvironmentResolveOptions.externalConditions,Plugin,ViteDevServer.middlewares,ResolvedConfig.server,EnvironmentOptions.resolve,ResolvedConfig.plugins",""
"cloudflare-dev-proxy","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"warn-on-client-source-maps","no namespace",12,14,1,12,2,1200,"ResolvedBuildOptions.sourcemap,ResolvedBuildEnvironmentOptions.sourcemap,ResolvedEnvironmentOptions.build,ResolvedConfig.logger,ResolvedConfig.build,Plugin,ConfigEnv.command,ResolvedConfig.mode,Logger.warn,ResolvedConfig.environments,picocolors,ResolvedBuildOptions.ssr",""
"run","@types",5,7,1,8,5,800,"semver,major,global.NodeJS.Process.versions,global.NodeJS.ProcessVersions.node,global.NodeJS.Require.main",""
"run","no namespace",3,4,1,8,5,800,"arg,arg.Result._,arg.Result.""--no-typescript""",""
