"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",53,97,593,1645,139,641,"<copyTemplate> of module <copy-template> imports <node:url> from external namespace <>,<copyTemplate> of module <copy-template> imports <.fileURLToPath> from external namespace <>,<Context> of module <create-react-router> imports <node:process> from external namespace <>,<ConfirmPrompt> of module <prompts-confirm> imports <erase> from external namespace <>",""
"@types",51,94,352,783,139,641,"<Context> of module <create-react-router> imports <global.NodeJS.ReadStream> from external namespace <@types>,<Context> of module <create-react-router> imports <global.NodeJS.WriteStream> from external namespace <@types>,<renderLoadingIndicator> of module <loading-indicator> imports <global.NodeJS.WriteStream> from external namespace <@types>,<renderLoadingIndicator> of module <loading-indicator> imports <global.NodeJS.ReadStream> from external namespace <@types>",""
"@babel",5,7,68,148,139,641,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExportNamedDeclaration.specifiers> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <VariableDeclarator.id> from external namespace <@babel>",""
"@cloudflare",3,5,52,68,139,641,"<createRequestHandler> of module <react-router-cloudflare> imports <Request.cf> from external namespace <@cloudflare>,<createRequestHandler> of module <react-router-cloudflare> imports <EventContext.request> from external namespace <@cloudflare>,<createRequestHandler> of module <react-router-cloudflare> imports <EventContext.passThroughOnException> from external namespace <@cloudflare>,<createRequestHandler> of module <react-router-cloudflare> imports <EventContext.waitUntil> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,139,641,"<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <functions> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.put> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.get> from external namespace <@architect>",""
"@mjackson",2,2,4,18,139,641,"<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>",""
