"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,499,1,112,5,10.847826086956527,22.151967448417505,109,1,13,1,2.3695652173913047,2.497631728499566,0.15600624024961,2.02808112324493,0.15600624024961,0.36966696059146714,0.38964613549135196,"copy-template,create-react-router,prompts-confirm,prompts-multi-select",""
"@types",42,237,1,45,4,5.6428571428571415,7.8112533848614,120,1,14,2,2.8571428571428577,3.2577968656928973,0.15600624024961,2.1840873634945397,0.31201248049922,0.4457321149988857,0.5082366405137125,"create-react-router,loading-indicator,prompts-prompt-base,prompts-select",""
"@babel",5,52,2,17,10,10.4,6.6558245169174945,7,1,3,1,1.4,0.8944271909999159,0.15600624024961,0.46801872074883,0.15600624024961,0.21840873634945399,0.1395362232449167,"useJavascript,remove-exports,route-chunks,styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15600624024961,0.7800312012480499,0.62402496099844,0.5200208008320333,0.324752886032158,"react-router-cloudflare,worker,workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.15600624024961,0.15600624024961,0.15600624024961,0.15600624024961,0,"arcTableSessionStorage,react-router-architect",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,0.31201248049922,0.31201248049922,0.31201248049922,0.31201248049922,0,"react-router-node,server",""
