"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: Centrality/Centrality_10d_Bridges_Stream.cypher"
"org.axonframework.messaging.queryhandling.SimpleQueryBus","org.axonframework.messaging.queryhandling.SubscriptionQueryAlreadyRegisteredException",1,22,1,,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","org.axonframework.axonserver.connector.ConnectionManager",7,4,1,,""
"org.axonframework.extension.springboot.service.connection.AxonServerConnectionDetails","org.axonframework.extension.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory",4,,,1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityModelRoutingKeyMatcher","org.axonframework.modelling.entity.annotation.UnknownRoutingKeyException",2,8,1,,""
"org.axonframework.messaging.core.unitofwork.UnitOfWorkConfiguration","org.axonframework.common.DirectExecutor",4,1,1,,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.StringToByteArrayConverter",15,,,1,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",15,,,1,""
"org.axonframework.conversion.ContentTypeConverter","org.axonframework.conversion.converter.ByteArrayToStringConverter",15,,,1,""
"org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder","org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter",1,6,1,,""
"org.axonframework.axonserver.connector.util.Scheduler$ScheduledTask","org.axonframework.axonserver.connector.util.Scheduler",1,,,1,""
"org.axonframework.extension.springboot.DistributedCommandBusProperties$SpringCloudProperties","org.axonframework.extension.springboot.DistributedCommandBusProperties",1,,,3,""
"org.axonframework.extension.springboot.MetricsProperties","org.axonframework.extension.springboot.MetricsProperties$AutoConfiguration",,2,1,,""
"org.axonframework.extension.springboot.MetricsProperties$Micrometer","org.axonframework.extension.springboot.MetricsProperties",1,,,2,""
"org.axonframework.extension.springboot.util.AbstractQualifiedBeanCondition","org.axonframework.extension.springboot.util.OnMissingQualifiedBeanCondition",2,,1,2,""
"org.axonframework.extension.springboot.util.OnQualifiedBeanCondition","org.axonframework.extension.springboot.util.AbstractQualifiedBeanCondition",1,2,2,,""
