"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Update,Change","MODIFIES","Git",264852,""
"Git,Update,Change","UPDATES","Git",264852,""
"Git,Commit","CONTAINS_CHANGE","Git,Update,Change",264852,""
"Git,Change,Create","MODIFIES","Git",99583,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",99583,""
"Git,Change,Create","CREATES","Git",99583,""
"Git,Change,Delete","MODIFIES","Git",61316,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",61316,""
"Git,Change,Delete","DELETES","Git",61316,""
"Git,Change,Rename","MODIFIES","Git",24820,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",24820,""
"Git,Change,Rename","DELETES","Git",24820,""
"Git,Change,Rename","CREATES","Git",24820,""
"Git,Change,Rename","RENAMES","Git",24820,""
"Git,Commit","HAS_PARENT","Git,Commit",19895,""
"Repository,Git","HAS_FILE","Git",16609,""
"Author,Git,Person,Committer","COMMITTED","Git,Commit",16390,""
"Repository,Git","HAS_COMMIT","Git,Commit",16390,""
"Member,Method","INVOKES","Member,Method",13530,""
"Git","HAS_NEW_NAME","Git",9599,""
"Member,Method","HAS","Parameter",5520,""
"Member,Method","READS","Member,Field",5408,""
"Value,Annotation","OF_TYPE","ExternalAnnotation,ExternalType",5201,""
"Parameter","OF_TYPE","JavaType",4218,""
"StronglyConnectedComponent,TypeMembers","DEPENDS_ON","StronglyConnectedComponent,TypeMembers",4134,""
"Parameter","ANNOTATED_BY","Value,Annotation",3915,""
"Git","CHANGED_TOGETHER_WITH","Git",3885,""
"Bound,ParameterizedType","OF_RAW_TYPE","JavaType",2884,""
"Xml,Element","HAS_ELEMENT","Xml,Element",2490,""
"Bound","OF_RAW_TYPE","JavaType",2376,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound",2165,""
"Parameter","OF_GENERIC_TYPE","Bound,ParameterizedType",1852,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,TypeVariable",1838,""
"Parameter","OF_GENERIC_TYPE","Bound",1731,""
"Xml,Element","HAS_LAST_CHILD","Xml,Text",1692,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Text",1692,""
"Xml,Element","HAS_TEXT","Xml,Text",1692,""
"JavaType","DECLARES","Member,Method",1681,""
"Xml,Element","HAS_SIBLING","Xml,Element",1670,""
"Member,Method,Lambda","HAS","Parameter",1591,""
"Member,Constructor,Method","INVOKES","Member,Constructor,Method",1568,""
"Member,Constructor,Method","WRITES","Member,Field",1518,""
"Member,Method","RETURNS","JavaType",1503,""
"Member,Method","INVOKES","Member,Constructor,Method",1476,""
"Member,Constructor,Method","HAS","Parameter",1379,""
"Member,Method,Lambda","INVOKES","Member,Method",1367,""
"Parameter","OF_TYPE","ResolvedDuplicateType",1346,""
"Member,Method","RETURNS_GENERIC","Bound,ParameterizedType",1092,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,WildcardType",1079,""
"Member,Constructor,Method","RETURNS","Void",1067,""
"Member,Method","RETURNS","Void",1052,""
"Member,Constructor,Method","INVOKES","Member,Method",1013,""
"GenericDeclaration,Member,Method","INVOKES","Member,Method",1001,""
"Member,Method","ANNOTATED_BY","Value,Annotation",967,""
"StronglyConnectedComponent,TypeMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,TypeMembers",927,""
"GenericDeclaration,Member,Method","HAS","Parameter",866,""
"Member,Field","OF_TYPE","JavaType",865,""
"Bound,ParameterizedType","HAS_ACTUAL_TYPE_ARGUMENT","Bound,ParameterizedType",826,""
"Bound,TypeVariable","HAS_UPPER_BOUND","Bound",820,""
"Xml,Element","HAS_LAST_CHILD","Xml,Element",820,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Element",820,""
"Member,Method","RETURNS","PrimitiveType",811,""
"Bound","OF_RAW_TYPE","ResolvedDuplicateType",713,""
"Bound,TypeVariable","OF_RAW_TYPE","JavaType",688,""
"ExternalType","DECLARES","Member,Method",667,""
"Member,Method","WRITES","Member,Field",666,""
"Member,Method","RETURNS_GENERIC","Bound",660,""
"ResolvedDuplicateType","DECLARES","Member,Method",628,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",602,""
"Member,Method","INVOKES","Member,Method,Lambda",598,""
"Member,Field","OF_GENERIC_TYPE","Bound,ParameterizedType",579,""
"Parameter","OF_TYPE","PrimitiveType",562,""
"Git,Change,Copy","MODIFIES","Git",546,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",546,""
"Git,Change,Copy","CREATES","Git",546,""
"Git,Change,Copy","COPIES","Git",546,""
"GenericDeclaration,Member,Method","DECLARES_TYPE_PARAMETER","Bound,TypeVariable",537,""
"Value,Json,Object","HAS_KEY","Json,Key",523,""
"Json,Key","HAS_VALUE","Value,Json,Scalar",513,""
"Member,Method","RESOLVES_TO","Member,Method",493,""
"Member,Method","INVOKES","GenericDeclaration,Member,Method",486,""
"Bound","OF_RAW_TYPE","Void",458,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",423,""
"Bound,ParameterizedType","OF_RAW_TYPE","ResolvedDuplicateType",396,""
"StronglyConnectedComponent,PackageMembers","DEPENDS_ON","StronglyConnectedComponent,PackageMembers",365,""
"Parameter","OF_TYPE","ExternalType",354,""
"Bound","OF_RAW_TYPE","PrimitiveType",338,""
"Member,Method","CATCHES","Throwable,JavaType",322,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",320,""
"GenericDeclaration,Member,Method","READS","Member,Field",318,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",317,""
