artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.0.3,379,140,26,8
axon-common-5.0.3,104,42,2,4
axon-eventsourcing-5.0.3,61,24,7,0
axon-modelling-5.0.3,60,29,3,0
axon-test-5.0.3,53,19,1,0
axon-spring-boot-autoconfigure-5.0.3,67,1,3,2
axon-server-connector-5.0.3,56,10,0,2
axon-conversion-5.0.3,28,5,0,0
axon-update-5.0.3,14,3,0,1
axon-metrics-micrometer-5.0.3,16,0,0,0
axon-tracing-opentelemetry-5.0.3,5,0,0,0
