"resolved","extension","gitFileCount","fileLabels","gitFileExamples","Source Cypher File: domains/git-history/queries/statistics/List_git_files_by_resolved_label_and_extension.cypher"
false,"java",13270,"File,Git","eventsourcing/src/test/java/org/axonframework/eventsourcing/eventstore/AggregateBasedStorageEngineTestSuite.java,eventsourcing/src/test/java/org/axonframework/eventsourcing/eventstore/InterceptingEventStoreTest.java,eventsourcing/src/test/java/org/axonframework/eventsourcing/eventstore/StorageEngineBackedEventStoreTestSuite.java,axon-server-connector/src/test/java/org/axonframework/axonserver/connector/event/TaggedEventConverterTest.java,axon-server-connector/src/test/java/org/axonframework/axonserver/connector/query/StreamingQueryIT.java,axon-server-connector/src/test/java/org/axonframework/axonserver/connector/util/EventProcessorInfoConfigurationTest.java,conversion/src/main/java/org/axonframework/conversion/json/ByteArrayToJsonNodeConverter.java,conversion/src/main/java/org/axonframework/conversion/json/JacksonConverter.java,conversion/src/main/java/org/axonframework/conversion/json/JsonNodeToByteArrayConverter.java",""
false,"xml",508,"File,Git","examples/university-java/pom.xml,axon-framework-bom/pom.xml,axon-server-connector/pom.xml,build/parent/pom.xml,common/pom.xml,conversion/pom.xml,eventsourcing/pom.xml,extensions/metrics/metrics-dropwizard/pom.xml,extensions/metrics/metrics-micrometer/pom.xml",""
false,"adoc",475,"File,Git","docs/reference-guide/modules/ROOT/pages/conversion.adoc,docs/reference-guide/modules/commands/pages/command-handlers.adoc,docs/reference-guide/modules/migration/pages/paths/aggregates/configuration-migration.adoc,docs/reference-guide/modules/migration/pages/paths/aggregates/polymorphism-migration.adoc,docs/reference-guide/modules/migration/pages/paths/event-store.adoc,docs/reference-guide/modules/migration/pages/paths/messages.adoc,docs/reference-guide/modules/migration/pages/paths/projectors-event-processors.adoc,docs/reference-guide/modules/migration/pages/paths/test-fixtures.adoc,docs/reference-guide/modules/testing/pages/basic-testing.adoc",""
false,"png",196,"File,Git","docs/getting-started/modules/ROOT/images/AxonServer_DCBContext_Creation.png,docs/getting-started/modules/ROOT/images/AxonServer_DCBEvents_Search.png,docs/getting-started/modules/ROOT/images/EventModeling_CreateCourse_Done.png,docs/getting-started/modules/ROOT/images/EventModeling_CreateCourse_GWT_Spec1.png,docs/getting-started/modules/ROOT/images/EventModeling_CreateCourse_GWT_Spec2.png,docs/getting-started/modules/ROOT/images/EventModeling_CreateCourse_Stickies.png,docs/getting-started/modules/ROOT/images/EventModeling_GWT_SubscribeStudent.png,docs/getting-started/modules/ROOT/images/FacultyContext_EventModeling.png,docs/reference-guide/modules/ROOT/images/axoniq-console-teaser.png",""
false,"xsl",160,"File,Git","documentation/src/main/docbook/styles/docbook/VERSION.xsl,documentation/src/main/docbook/styles/docbook/common/autoidx-kimber.xsl,documentation/src/main/docbook/styles/docbook/common/autoidx-kosek.xsl,documentation/src/main/docbook/styles/docbook/common/common.xsl,documentation/src/main/docbook/styles/docbook/common/charmap.xsl,documentation/src/main/docbook/styles/docbook/common/gentext.xsl,documentation/src/main/docbook/styles/docbook/common/insertfile.xsl,documentation/src/main/docbook/styles/docbook/common/labels.xsl,documentation/src/main/docbook/styles/docbook/common/l10n.xsl",""
false,"properties",157,"File,Git","extensions/spring/spring-boot-autoconfigure/src/test/resources/application.serializer-without-jackson.test.properties,spring-boot-4-integrationtests/src/test/resources/application-custom.properties,spring-boot-4-integrationtests/src/test/resources/application.serializertest.properties,spring-boot-4-integrationtests/src/test/resources/hsqldb.database.properties,spring-boot-4-integrationtests/src/test/resources/log4j2.properties,.mvn/wrapper/maven-wrapper.properties,axon-server-connector/src/test/resources/junit-platform.properties,axon-server-connector/src/test/resources/log4j2.properties,config/src/test/resources/log4j2.properties",""
false,"as",97,"File,Git","sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/NotificationImagesCollection.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/RemoveContactCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/BaseController.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/ChangeContactController.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/ChangeContactNameCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/CreateContactCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/RegisterAddressCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/commands/RemoveAddressCommand.as,sample/addressbook/flex-ui/swf/src/main/flex/org/axonframework/examples/addressbook/controllers/RemovedItemController.as",""
false,"svg",65,"File,Git",".idea/icon.svg,documentation/src/main/resources/images/callouts/1.svg,documentation/src/main/resources/images/callouts/11.svg,documentation/src/main/resources/images/callouts/10.svg,documentation/src/main/resources/images/callouts/13.svg,documentation/src/main/resources/images/callouts/12.svg,documentation/src/main/resources/images/callouts/15.svg,documentation/src/main/resources/images/callouts/14.svg,documentation/src/main/resources/images/callouts/19.svg",""
false,"yml",55,"File,Git","docs/meta-annotations-guide/antora.yml,spring-boot-4-integrationtests/test-docker-compose.yml,.github/dependabot.yml,.github/workflows/docs.yml,.github/workflows/examples.yml,.github/workflows/main.yml,.github/workflows/pullrequest.yml,.github/workflows/release-notes.yml,.github/workflows/slack-release-notification.yml",""
false,"md",44,"File,Git","axon-5/api-changes.md,.github/ISSUE_TEMPLATE.md,.github/ISSUE_TEMPLATE/1_feature_request.md,.github/ISSUE_TEMPLATE/2_enhancement_request.md,.github/ISSUE_TEMPLATE/3_bug_report.md,.github/ISSUE_TEMPLATE/4_documentation_change.md,README.md,axon-4-api-changes.md,axon-5/design-principles.md",""
false,"gif",17,"File,Git","docs/reference-guide/modules/messaging-concepts/images/axoniq-console-flow.gif,docs/old-reference-guide/modules/messaging-concepts/images/axoniq-console-flow.gif,reference-guide/src/main/resources/images/callouts/13.gif,reference-guide/src/main/resources/images/callouts/14.gif,reference-guide/src/main/resources/images/callouts/15.gif,reference-guide/src/main/resources/images/callouts/2.gif,reference-guide/src/main/resources/images/callouts/1.gif,reference-guide/src/main/resources/images/callouts/10.gif,reference-guide/src/main/resources/images/callouts/11.gif",""
false,"proto",17,"File,Git","axon-server-api/src/main/proto/common.proto,axon-server-api/src/main/proto/command.proto,axon-server-api/src/main/proto/query.proto,axon-server-api/src/main/proto/event.proto,axon-server-api/src/main/proto/control.proto,axon-server-api/src/main/proto/platform_api.proto,axon-server-api/src/main/proto/messaging_messages.proto,axon-server-api/src/main/proto/messaging_api.proto,axon-server-api/src/main/proto/eventstore_api.proto",""
false,"ParameterResolverFactory",15,"File,Git","eventsourcing/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.ParameterResolverFactory,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.ParameterResolverFactory,test/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.ParameterResolverFactory,core/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory,axon-4-code-base/eventsourcing/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.ParameterResolverFactory",""
false,"HandlerEnhancerDefinition",14,"File,Git","messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.HandlerEnhancerDefinition,modelling/src/main/resources/META-INF/services/org.axonframework.messaging.annotation.HandlerEnhancerDefinition,legacy-aggregate/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,legacy-saga/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition,legacy-aggregate/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,legacy-saga/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,messaging/src/main/resources/META-INF/services/org.axonframework.messaging.core.annotations.HandlerEnhancerDefinition,modelling/src/main/resources/META-INF/services/org.axonframework.messaging.annotations.HandlerEnhancerDefinition",""
false,"xsd",14,"File,Git","amqp/src/main/resources/org/axonframework/contextsupport/spring/amqp/axon-amqp-3.0.xsd,spring/src/main/resources/org/axonframework/contextsupport/spring/axon-core-3.0.xsd,amqp/src/main/resources/org/axonframework/contextsupport/spring/amqp/axon-amqp-2.1.xsd,amqp/src/main/resources/org/axonframework/contextsupport/spring/amqp/axon-amqp-2.0.xsd,core/src/main/resources/org/axonframework/contextsupport/spring/axon-core-2.0.xsd,core/src/main/resources/org/axonframework/contextsupport/spring/axon-core-2.3.xsd,core/src/main/resources/org/axonframework/contextsupport/spring/axon-core-2.2.xsd,core/src/main/resources/org/axonframework/contextsupport/spring/axon-core-2.1.xsd,core/src/main/resources/org/axonframework/contextsupport/spring/axon-core-2.4.xsd",""
