"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-common-5.0.2",,,false,,,1,732,110,96,23,12,8,"/org/axonframework/common/configuration -> /org/axonframework/common/infra,/org/axonframework/common/infra -> /org/axonframework/common,/org/axonframework/common/annotation -> /org/axonframework/common,/org/axonframework/common/jdbc -> /org/axonframework/common","axon-common-5.0.2 -> axon-common-5.0.2","",""
"axon-common-5.0.2",,,false,,,2,860,99,73,3,2,3,"/org/axonframework/common/tx -> /org/axonframework/common,/org/axonframework/common/infra -> /org/axonframework/common/annotation,/org/axonframework/common/infra -> /org/axonframework/common/lifecycle","axon-common-5.0.2 -> axon-common-5.0.2","",""
"axon-conversion-5.0.2",,,false,,,1,732,110,96,3,3,1,"/org/axonframework/conversion/converter -> /org/axonframework/conversion,/org/axonframework/conversion/avro -> /org/axonframework/conversion,/org/axonframework/conversion/json -> /org/axonframework/conversion","axon-conversion-5.0.2 -> axon-conversion-5.0.2","",""
"axon-conversion-5.0.2",,,true,,,1,732,110,96,7,3,3,"/org/axonframework/conversion -> /org/axonframework/common/infra,/org/axonframework/conversion/avro -> /org/axonframework/common/infra,/org/axonframework/conversion/json -> /org/axonframework/common/infra,/org/axonframework/conversion -> /org/axonframework/common","axon-conversion-5.0.2 -> axon-common-5.0.2","",""
"axon-conversion-5.0.2",,,true,,,2,860,99,73,6,4,3,"/org/axonframework/conversion/converter -> /org/axonframework/common/infra,/org/axonframework/conversion/converter -> /org/axonframework/common,/org/axonframework/conversion/json -> /org/axonframework/common,/org/axonframework/conversion -> /org/axonframework/common/configuration","axon-conversion-5.0.2 -> axon-common-5.0.2","",""
"axon-conversion-5.0.2",,,true,,,3,825,90,60,5,4,3,"/org/axonframework/conversion -> /org/axonframework/common/annotation,/org/axonframework/conversion -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/avro -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/json -> /org/axonframework/common/lifecycle","axon-conversion-5.0.2 -> axon-common-5.0.2","",""
"axon-conversion-5.0.2",,,true,,,4,546,86,51,2,1,2,"/org/axonframework/conversion/converter -> /org/axonframework/common/annotation,/org/axonframework/conversion/converter -> /org/axonframework/common/lifecycle","axon-conversion-5.0.2 -> axon-common-5.0.2","",""
"axon-eventsourcing-5.0.2",,,false,,,1,732,110,96,12,7,5,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.2 -> axon-eventsourcing-5.0.2","",""
"axon-eventsourcing-5.0.2",,,false,,,2,860,99,73,8,7,4,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.2 -> axon-eventsourcing-5.0.2","",""
"axon-eventsourcing-5.0.2",,,false,,,3,825,90,60,5,3,2,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation/reflection,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation/reflection","axon-eventsourcing-5.0.2 -> axon-eventsourcing-5.0.2","",""
