"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-conversion-5.0.3.jar",5,35,4,1,""
"axon-messaging-5.0.3.jar",59,579,7,2,""
"axon-spring-boot-autoconfigure-5.0.3.jar",7,75,1,7,""
"axon-metrics-micrometer-5.0.3.jar",3,16,0,3,""
"axon-test-5.0.3.jar",6,78,1,3,""
"axon-eventsourcing-5.0.3.jar",7,100,3,4,""
"axon-server-connector-5.0.3.jar",5,72,1,4,""
"axon-tracing-opentelemetry-5.0.3.jar",1,5,0,2,""
"axon-modelling-5.0.3.jar",7,92,2,3,""
"axon-update-5.0.3.jar",5,23,1,1,""
"axon-common-5.0.3.jar",15,156,10,0,""
