"moduleName","modulePath","fullQualifiedModuleName","numberOfModuleElements","languageElement","numberOfElements","Source Cypher File: Overview/Number_of_elements_per_module_for_Typescript.cypher"
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/index.tsx",63,"Function",17,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/index.tsx",63,"Variable",5,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/index.tsx",63,"Interface",10,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/index.tsx",63,"TypeAlias",3,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-native/index.tsx",17,"Function",7,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-native/index.tsx",17,"TypeAlias",3,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-native/index.tsx",17,"Interface",2,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router/index.ts",7,"TypeAlias",5,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router/index.ts",7,"Function",2,""
"server","server.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/server.tsx",6,"Function",4,""
"server","server.tsx","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-6.29.0/source/react-router-6.29.0/packages/react-router-dom/server.tsx",6,"Interface",2,""
