"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine","InMemoryEventStorageEngine",12,"306,329,329",11,"306,40,48,7",,0,59,9,91,5,22,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1","InMemoryEventStorageEngine$1",12,"306,329,329",11,"306,40,48,7",,0,59,8,31,1,9,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedStreamingEventMessageStream","InMemoryEventStorageEngine$MapBackedStreamingEventMessageStream",12,"306,329,329",11,"306,40,48,7",,0,59,6,27,1,5,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod","AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod",3,"293,101,101",3,"293,117,36,17",,0,62,5,72,1,4,""
"org.axonframework.eventsourcing.annotation.EventSourcingHandler","EventSourcingHandler",1,"327,792,257",1,"327,2,8,18",,0,0,1,82,,1,""
"org.axonframework.eventsourcing.annotation.EventCriteriaBuilder","EventCriteriaBuilder",3,"293,101,101",3,"293,117,36,17",,0,62,1,65,1,,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver","AnnotationBasedEventCriteriaResolver",3,"293,101,101",3,"293,117,36,17",,0,62,7,44,2,12,""
"org.axonframework.eventsourcing.EntityMissingAfterFirstEventException","EntityMissingAfterFirstEventException",4,"265,25,25",4,"275,74,7,5",,0,55,1,57,1,,""
"org.axonframework.eventsourcing.eventstore.EventCoordinator","EventCoordinator",12,"320,329,329",11,"370,51,48,7",,0,63,4,42,5,3,""
"org.axonframework.eventsourcing.eventstore.EventCoordinator$Handle","EventCoordinator$Handle",12,"320,329,329",11,"370,51,48,7",,0,63,4,15,6,1,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$InfinityConsistencyMarker","ConsistencyMarkers$InfinityConsistencyMarker",12,"282,329,329",11,"282,40,48,7",,0,60,3,62,2,2,""
"org.axonframework.eventsourcing.eventstore.DefaultEventStoreTransaction","DefaultEventStoreTransaction",12,"329,329,329",11,"282,40,48,7",,0,60,9,47,1,16,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker$AggregateSequencer","AggregateBasedConsistencyMarker$AggregateSequencer",12,"333,329,329",11,"333,40,48,7",,0,60,6,58,5,1,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedConsistencyMarker","AggregateBasedConsistencyMarker",12,"333,329,329",11,"333,40,48,7",,0,60,6,79,7,8,""
"org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver","AnnotationBasedTagResolver",12,"335,329,329",11,"301,53,48,7",,0,61,5,18,1,7,""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingAppender","InterceptingEventStore$InterceptingAppender",4,"349,25,25",4,"349,75,30,6",,0,14,9,69,2,7,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$OriginConsistencyMarker","ConsistencyMarkers$OriginConsistencyMarker",12,"282,329,329",11,"282,40,48,7",,0,60,3,60,2,2,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition",12,"281,329,329",11,"280,40,48,7",,0,58,2,77,1,1,""
"org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition","AggregateSequenceNumberPosition",12,"281,329,329",11,"280,40,48,7",,0,58,4,91,3,1,""
"org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver","MetadataBasedTagResolver",12,"301,329,329",11,"301,53,48,7",,0,0,4,9,,4,""
"org.axonframework.eventsourcing.eventstore.StorageEngineBackedEventStore","StorageEngineBackedEventStore",12,"329,329,329",11,"282,40,48,7",,0,60,9,51,1,19,""
"org.axonframework.eventsourcing.eventstore.NoAppendCondition","NoAppendCondition",12,"282,329,329",11,"282,40,48,7",,0,60,4,11,1,3,""
"org.axonframework.eventsourcing.eventstore.EventStoreException","EventStoreException",7,"1002,1002,1002",7,"1001,198,13,26",,0,27,2,67,1,1,""
"org.axonframework.eventsourcing.eventstore.AggregateBasedEventStorageEngineUtils","AggregateBasedEventStorageEngineUtils",12,"301,329,329",11,"301,40,48,7",,0,61,6,86,3,5,""
"org.axonframework.eventsourcing.eventstore.MultiTagResolver","MultiTagResolver",12,"348,329,329",11,"348,53,48,7",,0,64,3,91,,3,""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore","InterceptingEventStore",4,"349,25,25",4,"349,75,30,6",,0,14,9,70,2,15,""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingEventStoreTransaction","InterceptingEventStore$InterceptingEventStoreTransaction",4,"349,25,25",4,"349,75,30,6",,0,14,9,73,1,9,""
"org.axonframework.eventsourcing.eventstore.TagResolver","TagResolver",12,"348,329,329",11,"348,53,48,7",,0,64,5,7,7,2,""
"org.axonframework.eventsourcing.eventstore.Position","Position",12,"281,329,329",11,"280,40,48,7",,0,58,6,4,13,1,""
"org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver$TagResolutionException","AnnotationBasedTagResolver$TagResolutionException",12,"335,329,329",11,"301,53,48,7",,0,61,1,81,1,,""
"org.axonframework.eventsourcing.eventstore.TooManyTagsOnEventMessageException","TooManyTagsOnEventMessageException",12,"301,329,329",11,"301,53,48,7",,0,61,3,21,1,2,""
"org.axonframework.eventsourcing.eventstore.EmptyAppendTransaction","EmptyAppendTransaction",12,"329,329,329",11,"282,40,48,7",,0,60,5,14,3,2,""
"org.axonframework.eventsourcing.eventstore.DefaultAppendCondition","DefaultAppendCondition",12,"329,329,329",11,"282,40,48,7",,0,60,4,23,1,3,""
"org.axonframework.eventsourcing.eventstore.DefaultSourcingCondition","DefaultSourcingCondition",12,"274,329,329",11,"280,40,48,7",,0,58,4,56,1,3,""
"org.axonframework.eventsourcing.eventstore.AbstractConsistencyMarker","AbstractConsistencyMarker",12,"282,329,329",11,"282,40,48,7",,0,60,3,42,2,1,""
"org.axonframework.eventsourcing.eventstore.ContinuousMessageStream","ContinuousMessageStream",10,"73,902,902",9,"463,50,49,4",,0,12,6,15,1,5,""
"org.axonframework.eventsourcing.eventstore.GenericTaggedEventMessage","GenericTaggedEventMessage",12,"301,329,329",11,"301,53,48,7",,0,61,5,77,1,4,""
"org.axonframework.eventsourcing.eventstore.StreamSpliterator","StreamSpliterator",12,"359,329,329",11,"371,51,48,7",,0,37,2,25,1,1,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers","ConsistencyMarkers",12,"282,329,329",11,"282,40,48,7",,0,60,2,1,,2,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver","SQLErrorCodesResolver",4,"294,25,25",3,"297,74,7,5",,0,34,3,79,1,4,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLStateResolver","SQLStateResolver",7,"1002,1002,1002",7,"1001,198,13,26",,0,37,2,74,,2,""
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$1","AggregateBasedJpaEventStorageEngine$1",12,"359,329,329",11,"371,51,48,7",,0,37,3,45,1,2,""
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine","AggregateBasedJpaEventStorageEngine",12,"359,329,329",11,"371,51,48,7",,0,37,10,82,3,52,""
"org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator","JpaPollingEventCoordinator",12,"373,329,329",11,"373,51,48,7",,0,51,4,90,2,5,""
