"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2080,854,896,"/axon-spring-boot-autoconfigure-5.0.1.jar uses /axon-server-connector-5.0.1.jar,/org/axonframework/axonserver/connector/command uses /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/query uses /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/AxonServerConfigurationEnhancer.class uses /org/axonframework/axonserver/connector/AxonServerConnectionManager$Builder.class",""
1,96,82,41,"/org/axonframework/axonserver/connector/query uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/command uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/util uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/event uses /org/axonframework/axonserver/connector",""
2,2067,606,417,"/org/axonframework/axonserver/connector/command/CommandConverter.class uses /org/axonframework/axonserver/connector/MetadataConverter.class,/org/axonframework/axonserver/connector/event/AggregateBasedAxonServerEventStorageEngine.class uses /org/axonframework/axonserver/connector/MetadataConverter.class,/org/axonframework/axonserver/connector/query/QueryConverter.class uses /org/axonframework/axonserver/connector/MetadataConverter.class,/org/axonframework/axonserver/connector/event/EventProcessorControlService.class uses /org/axonframework/axonserver/connector/AxonServerConfiguration$Eventhandling.class",""
4,2019,650,309,"/org/axonframework/extension/springboot uses /org/axonframework/axonserver/connector,/org/axonframework/extension/springboot/actuator/axonserver uses /org/axonframework/axonserver/connector,/org/axonframework/extension/springboot/autoconfig uses /org/axonframework/axonserver/connector,/org/axonframework/extension/springboot/TagsConfigurationProperties.class uses /org/axonframework/axonserver/connector/TagsConfiguration.class",""
