"fullDependentTypeName","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Internal_Dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.messaging.core.unitofwork.ProcessingContext",32,"computeResourceIfAbsent",1,7,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",24,"executeWithResult",1,6,""
"org.axonframework.messaging.commandhandling.CommandBus",6,"dispatch",1,6,""
"org.axonframework.common.configuration.ComponentDefinition$ComponentCreator",17,"createComponent",1,5,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",32,"withResource",1,4,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"identifier,timestamp",2,4,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"timestamp",1,4,""
"org.axonframework.messaging.core.MessageStream$Entry",7,"message",1,4,""
"org.axonframework.messaging.core.MessageStream$Empty",44,"cast",1,3,""
"org.axonframework.messaging.core.DelayedMessageStream",42,"create",1,3,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",24,"execute",1,3,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"identifier",1,3,""
"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember",13,"handleSync",1,3,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",32,"putResource",1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",25,"executeWithResult",1,2,""
"org.axonframework.common.configuration.AbstractComponent",24,"describeTo",1,2,""
"org.axonframework.test.fixture.AxonTestThenMessage",22,"exception,exceptionSatisfies",3,2,""
"org.axonframework.messaging.commandhandling.CommandMessage",19,"andMetadata",1,2,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"andMetadata",1,2,""
"org.axonframework.messaging.eventhandling.EventMessage",19,"withConvertedPayload",1,2,""
"org.axonframework.messaging.eventstreaming.EventCriterion",12,"tags",1,2,""
"org.axonframework.messaging.eventstreaming.OrEventCriteria",12,"or",1,2,""
"org.axonframework.modelling.entity.ConcreteEntityMetamodel",11,"forEntityClass",1,2,""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodel",11,"forSuperType",1,2,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",11,"entityType",1,2,""
"org.axonframework.eventsourcing.eventstore.EventStore",9,"transaction",1,2,""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",8,"supportedEvents,supports,sequenceIdentifierFor",3,2,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",8,"unwrapLowerBound",1,2,""
"org.axonframework.messaging.core.MessageStream$Entry",7,"map",1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext",45,"isCommitted,commit,isError,isCompleted,onError,whenComplete,isStarted,on",8,1,""
"org.axonframework.messaging.core.EmptyMessageStream",44,"instance",1,1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream",43,"isCompleted,hasNextAvailable",2,1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream",42,"callback",1,1,""
"org.axonframework.messaging.core.DelayedMessageStream",42,"createSingle",1,1,""
"org.axonframework.messaging.core.MessageStream$Single",42,"cast",1,1,""
"org.axonframework.messaging.core.MessageStream$Single",42,"first",1,1,""
"org.axonframework.messaging.core.MessageStream$Single",42,"asCompletableFuture",1,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",37,"updateResource,removeResource,putResourceIfAbsent,putResource,computeResourceIfAbsent",6,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",36,"updateResource,computeResourceIfAbsent",2,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",35,"computeResourceIfAbsent",1,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",34,"computeResourceIfAbsent",1,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",33,"putResourceIfAbsent,computeResourceIfAbsent",2,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",33,"putResource",1,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",33,"removeResource,computeResourceIfAbsent",2,1,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext",33,"computeResourceIfAbsent",1,1,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",26,"executeWithResult",1,1,""
"org.axonframework.common.configuration.AbstractComponent",25,"describeTo,initLifecycle",2,1,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",25,"executeWithResult,execute",2,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor",25,"shutdown,start",2,1,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork",24,"onError",1,1,""
"org.axonframework.common.configuration.ComponentRegistry",23,"registerEnhancer,registerComponent,registerDecorator,registerModule",4,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus",22,"getTrackingToken,getSegment,split",3,1,""
"org.axonframework.messaging.commandhandling.CommandMessage",20,"routingKey,priority",2,1,""
"org.axonframework.messaging.commandhandling.CommandMessage",20,"withConvertedPayload",1,1,""
"org.axonframework.messaging.eventhandling.EventMessage",20,"identifier",1,1,""
"org.axonframework.messaging.commandhandling.CommandMessage",19,"routingKey,priority",2,1,""
"org.axonframework.messaging.commandhandling.CommandResultMessage",19,"withConvertedPayload",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus",19,"advancedTo,markError,isErrorState",3,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken",19,"isMergeInProgress,mergePosition,lowerSegmentToken,position,upperSegmentToken",5,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken",19,"position,createReplayToken,lowerBound,getTokenAtReset,isReplay",6,1,""
"org.axonframework.messaging.queryhandling.QueryMessage",19,"priority",1,1,""
"org.axonframework.messaging.queryhandling.QueryResponseMessage",19,"withConvertedPayload",1,1,""
"org.axonframework.common.configuration.HierarchicalConfiguration",18,"build",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus",17,"caughtUp",1,1,""
"org.axonframework.common.configuration.Configuration",16,"getComponent,getOptionalComponent",3,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken",16,"merged",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken",16,"createReplayToken",1,1,""
"org.axonframework.common.configuration.AxonConfiguration",15,"start",1,1,""
"org.axonframework.common.configuration.AxonConfiguration",15,"shutdown",1,1,""
"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember",15,"canHandle,handleSync,handle",3,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",15,"advancedTo,unwrap,unwrapUpperBound,unwrapLowerBound",4,1,""
"org.axonframework.modelling.configuration.ModellingConfigurer",15,"registerQueryHandlingModule,lifecycleRegistry,messaging,create,build,registerEntity,componentRegistry,registerCommandHandlingModule",8,1,""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,"commandName",1,1,""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,"isFactoryHandler",1,1,""
"org.axonframework.messaging.core.unitofwork.transaction.NoTransactionManager",13,"instance",1,1,""
"org.axonframework.messaging.eventhandling.annotation.EventHandlingMember",13,"eventName",1,1,""
"org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember",13,"sequencingPolicy",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",13,"advancedTo,unwrap,unwrapUpperBound,unwrapLowerBound",4,1,""
"org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember",13,"queryName",1,1,""
"org.axonframework.modelling.repository.SimpleRepository",13,"idType,loadOrCreate,persist,entityType,load,attach",6,1,""
"org.axonframework.messaging.eventstreaming.EventCriterion",12,"types,tags",2,1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",12,"getExpectedRepresentation,messageConverter,entityType",3,1,""
"org.axonframework.messaging.core.configuration.MessagingConfigurer",11,"lifecycleRegistry,build,componentRegistry,create,registerQueryHandlingModule,registerCommandHandlingModule",6,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule",11,"build",1,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken",11,"newInstance,getIndex,getGaps,advanceTo",4,1,""
"org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorModule",11,"build",1,1,""
"org.axonframework.messaging.queryhandling.QueryBus",11,"emitUpdate,completeSubscriptions,completeSubscriptionsExceptionally",3,1,""
"org.axonframework.messaging.queryhandling.SimpleQueryHandlingComponent",11,"subscribe,handle,create,supportedQueries",4,1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",11,"getExpectedRepresentation",1,1,""
"org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",11,"forPolymorphicType,forConcreteType",2,1,""
"org.axonframework.common.configuration.DecoratorDefinition$CompletedDecoratorDefinition",10,"matches,decorate,order",3,1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine",10,"containsConflicts,nextIndex",2,1,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine",10,"match",1,1,""
"org.axonframework.messaging.commandhandling.SimpleCommandHandlingComponent",10,"create,subscribe",3,1,""
"org.axonframework.messaging.queryhandling.SimpleQueryHandlingComponent",10,"subscribe,create",3,1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBusConnector",9,"start,disconnect,shutdownDispatching",3,1,""
"org.axonframework.common.configuration.Configuration",9,"getComponent,getOptionalComponent",3,1,""
"org.axonframework.conversion.avro.AvroConverterStrategy",9,"convertFromSingleObjectEncoded,applyStrategyConfiguration,test,convertFromGenericRecord,convertToSingleObjectEncoded",5,1,""
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine",9,"entityManagerPersistEvents",1,1,""
