"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-common-5.0.3.jar",1,566,""
"axon-common-5.0.3.jar",2,95,""
"axon-common-5.0.3.jar",3,75,""
"axon-common-5.0.3.jar",4,30,""
"axon-common-5.0.3.jar",5,10,""
"axon-common-5.0.3.jar",6,8,""
"axon-common-5.0.3.jar",7,6,""
"axon-common-5.0.3.jar",8,8,""
"axon-common-5.0.3.jar",9,3,""
"axon-common-5.0.3.jar",10,1,""
"axon-common-5.0.3.jar",11,1,""
"axon-common-5.0.3.jar",12,1,""
"axon-conversion-5.0.3.jar",1,158,""
"axon-conversion-5.0.3.jar",2,14,""
"axon-conversion-5.0.3.jar",3,9,""
"axon-conversion-5.0.3.jar",4,13,""
"axon-conversion-5.0.3.jar",5,2,""
"axon-conversion-5.0.3.jar",6,2,""
"axon-conversion-5.0.3.jar",7,2,""
"axon-conversion-5.0.3.jar",8,1,""
"axon-conversion-5.0.3.jar",9,1,""
"axon-conversion-5.0.3.jar",17,2,""
"axon-conversion-5.0.3.jar",21,1,""
"axon-eventsourcing-5.0.3.jar",1,457,""
"axon-eventsourcing-5.0.3.jar",2,59,""
"axon-eventsourcing-5.0.3.jar",3,37,""
"axon-eventsourcing-5.0.3.jar",4,18,""
"axon-eventsourcing-5.0.3.jar",5,8,""
"axon-eventsourcing-5.0.3.jar",6,6,""
"axon-eventsourcing-5.0.3.jar",7,4,""
"axon-eventsourcing-5.0.3.jar",8,4,""
"axon-eventsourcing-5.0.3.jar",11,1,""
"axon-eventsourcing-5.0.3.jar",13,1,""
"axon-messaging-5.0.3.jar",1,2968,""
"axon-messaging-5.0.3.jar",2,312,""
"axon-messaging-5.0.3.jar",3,160,""
"axon-messaging-5.0.3.jar",4,85,""
"axon-messaging-5.0.3.jar",5,33,""
"axon-messaging-5.0.3.jar",6,34,""
"axon-messaging-5.0.3.jar",7,9,""
"axon-messaging-5.0.3.jar",8,3,""
"axon-messaging-5.0.3.jar",9,1,""
"axon-messaging-5.0.3.jar",11,1,""
"axon-messaging-5.0.3.jar",13,1,""
"axon-messaging-5.0.3.jar",25,1,""
"axon-messaging-5.0.3.jar",58,1,""
"axon-metrics-micrometer-5.0.3.jar",1,96,""
"axon-metrics-micrometer-5.0.3.jar",2,10,""
"axon-metrics-micrometer-5.0.3.jar",3,2,""
"axon-modelling-5.0.3.jar",1,291,""
"axon-modelling-5.0.3.jar",2,26,""
"axon-modelling-5.0.3.jar",3,21,""
"axon-modelling-5.0.3.jar",4,18,""
"axon-modelling-5.0.3.jar",5,7,""
"axon-modelling-5.0.3.jar",6,3,""
"axon-modelling-5.0.3.jar",7,1,""
"axon-modelling-5.0.3.jar",8,1,""
"axon-server-connector-5.0.3.jar",1,536,""
"axon-server-connector-5.0.3.jar",2,57,""
"axon-server-connector-5.0.3.jar",3,26,""
"axon-server-connector-5.0.3.jar",4,7,""
"axon-server-connector-5.0.3.jar",5,5,""
"axon-server-connector-5.0.3.jar",6,5,""
"axon-server-connector-5.0.3.jar",7,1,""
"axon-server-connector-5.0.3.jar",9,2,""
"axon-server-connector-5.0.3.jar",12,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",1,288,""
"axon-spring-boot-autoconfigure-5.0.3.jar",2,11,""
"axon-spring-boot-autoconfigure-5.0.3.jar",3,7,""
"axon-spring-boot-autoconfigure-5.0.3.jar",4,2,""
"axon-spring-boot-autoconfigure-5.0.3.jar",6,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",7,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",9,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",11,1,""
"axon-test-5.0.3.jar",1,331,""
"axon-test-5.0.3.jar",2,41,""
"axon-test-5.0.3.jar",3,36,""
"axon-test-5.0.3.jar",4,11,""
"axon-test-5.0.3.jar",5,8,""
"axon-test-5.0.3.jar",6,6,""
"axon-test-5.0.3.jar",7,3,""
"axon-test-5.0.3.jar",8,4,""
"axon-test-5.0.3.jar",9,1,""
"axon-test-5.0.3.jar",11,1,""
"axon-test-5.0.3.jar",13,1,""
"axon-tracing-opentelemetry-5.0.3.jar",1,30,""
"axon-tracing-opentelemetry-5.0.3.jar",2,8,""
"axon-tracing-opentelemetry-5.0.3.jar",3,2,""
"axon-tracing-opentelemetry-5.0.3.jar",4,1,""
"axon-update-5.0.3.jar",1,119,""
"axon-update-5.0.3.jar",2,16,""
"axon-update-5.0.3.jar",3,5,""
"axon-update-5.0.3.jar",4,1,""
"axon-update-5.0.3.jar",5,3,""
"axon-update-5.0.3.jar",6,4,""
"axon-update-5.0.3.jar",7,2,""
"axon-update-5.0.3.jar",9,1,""
"axon-update-5.0.3.jar",11,1,""
"axon-update-5.0.3.jar",17,1,""
"axon-update-5.0.3.jar",41,1,""
