"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",53,97,593,1643,139,640,"<copyTemplate> of module <copy-template> imports <.fileURLToPath> from external namespace <>,<copyTemplate> of module <copy-template> imports <node:url> from external namespace <>,<Context> of module <create-react-router> imports <node:process> from external namespace <>,<ConfirmPrompt> of module <prompts-confirm> imports <cursor.hide> from external namespace <>",""
"@types",51,93,351,782,139,640,"<Context> of module <create-react-router> imports <global.NodeJS.WriteStream> from external namespace <@types>,<Context> of module <create-react-router> imports <global.NodeJS.ReadStream> from external namespace <@types>,<renderLoadingIndicator> of module <loading-indicator> imports <global.NodeJS.ReadStream> from external namespace <@types>,<renderLoadingIndicator> of module <loading-indicator> imports <global.NodeJS.WriteStream> from external namespace <@types>",""
"@babel",5,7,68,148,139,640,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExportSpecifier.local> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExportNamedDeclaration.specifiers> from external namespace <@babel>",""
"@cloudflare",3,5,52,68,139,640,"<createWorkersKVSessionStorage> of module <react-router-cloudflare> imports <KVNamespace.delete> from external namespace <@cloudflare>,<createWorkersKVSessionStorage> of module <react-router-cloudflare> imports <KVNamespace.get> from external namespace <@cloudflare>,<createWorkersKVSessionStorage> of module <react-router-cloudflare> imports <Crypto.getRandomValues> from external namespace <@cloudflare>,<createWorkersKVSessionStorage> of module <react-router-cloudflare> imports <KVNamespace.put> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,139,640,"<createArcTableSessionStorage> of module <react-router-architect> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.put> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <functions> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.delete> from external namespace <@architect>",""
"@mjackson",2,2,4,18,139,640,"<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>",""
