"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"plugin","no namespace",142,264,18,135,26,750,"UserConfig,ResolvedBuildOptions.manifest,ResolvedConfig,ResolvedConfig.build,resolveConfig,Plugin,ViteDevServer,ModuleNode,ViteBuilder.build,rm,Connect.IncomingMessage.url,PreviewServer,DevEnvironment.name,rmSync,ViteDevServer.hot,ViteBuilder.environments,ResolvedConfig.root,ViteDevServer.transformRequest,ResolvedId.id,Environment.name,EnvironmentOptions.optimizeDeps,rename,ModuleRunner.import,ModuleNode.file,init,UserConfig.build,ViteDevServer.ssrLoadModule,HotBroadcaster.send,createHash,UserConfig.server,ServerResponse.setHeader,Dirent.parentPath,cp,mkdir,ViteDevServer.middlewares,RunnableDevEnvironment.runner,UserConfig.plugins,ResolvedConfig.configFile,ResolvedConfig.server,Logger.warn,createServer,ManifestChunk.file,UserConfig.environments,readdir,ResolvedBuildOptions.assetsDir,URL.href,PluginContainer.buildStart,isRunnableDevEnvironment,Hash.digest,createLogger,PluginContext.environment,ViteDevServer.pluginContainer,ResolvedConfig.mode,ResolvedServerOptions.watch,Dirent.path,Dirent.name,EnvironmentOptions.resolve,normalizePath,ResolvedServerOptions.middlewareMode,Dirent.isFile,Logger.info,ManifestChunk.css,DevEnvironment.reloadModule,Logger.error,HotUpdatePluginContext.environment,ModuleNode.url,ConfigEnv.command,UserConfig.logLevel,ConfigEnv.isSsrBuild,readdirSync,defaultClientConditions,UserConfig.base,DevEnvironment.moduleGraph,Environment.config,loadConfigFromFile,readFile,.pathToFileURL,ResolvedConfig.command,ResolvedConfig.logger,EnvironmentOptions,PreviewServer.middlewares,Plugin.name,picocolors,ManifestChunk.assets,ViteDevServer.ssrFixStacktrace,existsSync,PluginContext.resolve,ServerResponse.end,ViteDevServer.environments,Connect.Server.use,UserConfig.root,Hash.update,ViteDevServer.config,ConfigEnv.mode,defaultServerConditions,readFileSync,ResolvedBuildOptions.emptyOutDir,transformWithEsbuild,ResolvedBuildEnvironmentOptions.outDir,path.normalize,ResolvedConfig.environments,resolve,path.extname,dist,relative,PluginOption,ResolvedConfig.base,join,path.join,ResolvedEnvironmentOptions.build,ServerResponse.statusCode",""
"plugin","@types",35,69,18,135,26,750,"path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.relative,pick,transformAsync,BabelFileResult.map,jsesc,global.NodeJS.Require.resolve,path.PlatformPath.dirname,path.PlatformPath.posix,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NonSharedBuffer.toString,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,GeneratorResult,BabelFileResult.code,global.NodeJS.Process.env,global.NodeJS.Process.exit,GeneratorResult.code,path.PlatformPath.basename,global.NodeJS.Process.cwd,kebabCase,path.PlatformPath.isAbsolute",""
"prompts-prompt-base","no namespace",10,75,2,14,6,700,"node:process,cursor.show,node:readline,beep,.emitKeypressEvents,Key,.createInterface,cursor,Interface.close",""
"prompts-prompt-base","@types",5,21,2,14,6,700,"global.NodeJS.ReadStream,global.NodeJS.WriteStream,EventEmitter,global.NodeJS.Process.stdin,global.NodeJS.Process.stdout",""
"vite-node","no namespace",13,14,2,13,4,650,"ViteNodeServer,ViteDevServer,ViteNodeRunner,ViteNodeServer.fetchModule,Logger,ResolvedConfig.root,ViteDevServer.pluginContainer,ViteNodeServer.getSourceMap,createServer,ViteNodeServer.resolveId,ResolvedConfig.base,ViteDevServer.config,PluginContainer.buildStart",""
"useJavascript","@babel",2,2,1,6,5,600,"lib",""
"useJavascript","@types",2,3,1,6,5,600,"transformSync,BabelFileResult.code",""
"useJavascript","no namespace",2,2,1,6,5,600,"prettier,format",""
"arcTableSessionStorage","@architect",5,7,1,5,2,500,"functions,ArcTable.get,tables,ArcTable.put,ArcTable.delete",""
"is-react-router-repo","no namespace",4,6,1,5,2,500,"path.dirname,dist,path.basename,path.resolve",""
"is-react-router-repo","@types",1,1,1,5,2,500,"global.NodeJS.Require.resolve",""
"react-router-fs-routes","no namespace",3,4,1,5,3,500,".existsSync,node:fs,node:path",""
"react-router-fs-routes","@types",2,2,1,5,3,500,"path.PlatformPath.relative,path.PlatformPath.resolve",""
"resolve-file-url","@types",4,6,1,5,2,500,"path.PlatformPath.relative,path.PlatformPath.posix,path.PlatformPath.isAbsolute,path.PlatformPath.join",""
"resolve-file-url","no namespace",1,3,1,5,2,500,"normalizePath",""
"fileStorage","no namespace",5,14,2,9,5,450,".mkdir,promises,.writeFile,.readFile,.unlink",""
"fileStorage","@types",4,5,2,9,5,450,"global.Buffer.toString,global.BufferConstructor.from,path.PlatformPath.dirname,path.PlatformPath.join",""
"load-dotenv","no namespace",3,3,1,4,2,400,"loadEnv,UserConfig.envDir,UserConfig",""
"load-dotenv","@types",1,1,1,4,2,400,"global.NodeJS.Process.env",""
"prompts-text","no namespace",8,40,2,8,2,400,"cursor.to,cursor.save,cursor.move,Key,cursor.restore,cursor.down,erase,erase.line",""
"workersKVStorage","@cloudflare",4,6,1,4,1,400,"KVNamespace.get,Crypto.getRandomValues,KVNamespace.delete,KVNamespace.put",""
"react-router-cloudflare","@cloudflare",26,34,6,22,2,366.6666666666667,"KVNamespace.get,Crypto.getRandomValues,KVNamespace.delete,KVNamespace.put,EventContext,CacheStorage,Request,IncomingRequestCfProperties,CfProperties,Request.headers,Response,Request.url,EventContext.request,EventContext.env,Response.status,Request.clone,Headers.delete,Console.error,Response.body,Request.cf,EventContext.passThroughOnException,EventContext.waitUntil",""
"worker","@cloudflare",22,28,5,18,2,360,"Request.cf,EventContext.request,EventContext.passThroughOnException,EventContext.waitUntil,Request.headers,EventContext,Response,Request.url,EventContext.env,Response.status,Request.clone,Headers.delete,Console.error,Response.body,CacheStorage,Request,IncomingRequestCfProperties,CfProperties",""
"has-rsc-plugin","no namespace",3,3,1,3,2,300,"ResolvedConfig.plugins,resolveConfig,Plugin.name",""
"optimize-deps-entries","no namespace",3,3,1,3,2,300,"version,normalizePath,escapePath",""
"profiler","no namespace",9,13,3,9,6,300,".Session,Session.connect,Session.post,node:fs,.writeFileSync,node:path,picocolors,Session",""
"profiler","@types",1,1,3,9,6,300,"path.PlatformPath.resolve",""
"resolve-relative-route-file-path","no namespace",3,3,1,3,2,300,"path.resolve,dist,normalizePath",""
"styles","@babel",6,8,4,12,5,300,"VariableDeclarator.id,VariableDeclaration.declarations,Identifier.name,LVal.type,VariableDeclarator.init,StringLiteral.value",""
"styles","@types",5,6,4,12,5,300,"path.PlatformPath.relative,path.PlatformPath.resolve,global.NodeJS.Process.cwd,NodePath.stop,NodePath.node",""
"styles","no namespace",1,2,4,12,5,300,"ViteDevServer",""
"validate-plugin-order","no namespace",3,3,1,3,1,300,"Plugin,ResolvedConfig.plugins,Plugin.name",""
"dev","no namespace",10,15,5,14,5,280,"createServer,ResolvedConfig.plugins,ResolvedConfig.logger,ViteDevServer.listen,ViteDevServer.bindCLIShortcuts,Logger.info,Plugin.name,picocolors,ViteDevServer.config,ViteDevServer.printUrls",""
"dev","@types",4,5,5,14,5,280,"global.NodeJS.ProcessEnv.hasOwnProperty,global.NodeJS.Process.env,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.exit",""
