"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",21,241,1,81,3,11.476190476190476,22.653077158785834,32,1,8,1,1.5238095238095235,1.569045812557671,0.15847860538827258,1.2678288431061806,0.15847860538827258,0.24149120821070102,0.24866019216444862,"vite,plugin,commands,config",""
"@types/process",16,39,1,5,2,2.4375,1.5478479684172257,22,1,4,1,1.3750000000000002,0.806225774829855,0.15847860538827258,0.6339144215530903,0.15847860538827258,0.21790808240887474,0.12776953642311487,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,73,1,26,4,4.866666666666667,6.289068369192766,31,1,5,1,2.066666666666667,1.4375905768565218,0.15847860538827258,0.7923930269413628,0.15847860538827258,0.32752245113576334,0.22782734973954383,"routes,vite,plugin,commands",""
"@types/path",13,41,1,7,2,3.1538461538461533,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15847860538827258,0.7923930269413628,0.15847860538827258,0.26819456296476896,0.1873426194844652,"utils,fileStorage,react-router-node,vite",""
"node:fs",9,20,1,4,2,2.2222222222222228,0.97182531580755,13,1,3,1,1.4444444444444444,0.881917103688197,0.15847860538827258,0.4754358161648177,0.15847860538827258,0.2289135411163937,0.13976499266057002,"utils,fileStorage,react-router-node,vite",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15847860538827258,0.4754358161648177,0.15847860538827258,0.2289135411163937,0.11513203760012343,"utils,vite,plugin,commands",""
"promises",8,30,1,7,3.5,3.7499999999999996,2.2519832529192065,16,1,4,1.5,2,1.3093073414159542,0.15847860538827258,0.6339144215530903,0.23771790808240886,0.31695721077654515,0.20749720149222728,"utils,fileStorage,react-router-node,vite",""
"@types/globals",7,7,1,1,1,1,0,11,1,3,1,1.5714285714285714,0.7867957924694431,0.15847860538827258,0.4754358161648177,0.15847860538827258,0.24903780846728546,0.12469029991591807,"vite,plugin,commands,run",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.15847860538827258,0.4754358161648177,0.15847860538827258,0.21130480718436345,0.12939723944971887,"vite,plugin,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333333,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15847860538827258,0.31695721077654515,0.15847860538827258,0.18489170628631799,0.06469861972485942,"server,stream,react-router-node,fileStorage",""
