"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",52,93,586,1583,137,627,"<copyTemplate> of module <copy-template> imports <.fileURLToPath> from external namespace <>,<copyTemplate> of module <copy-template> imports <node:url> from external namespace <>,<Context> of module <create-react-router> imports <node:process> from external namespace <>,<ConfirmPrompt> of module <prompts-confirm> imports <erase> from external namespace <>",""
"@types",49,92,350,1044,137,627,"<GetLoadContextFunction> of module <server> imports <APIGatewayEventRequestContextV2> from external namespace <@types>,<GetLoadContextFunction> of module <server> imports <APIGatewayProxyEventV2> from external namespace <@types>,<GetLoadContextFunction> of module <react-router-architect> imports <APIGatewayEventRequestContextV2> from external namespace <@types>,<GetLoadContextFunction> of module <react-router-architect> imports <APIGatewayProxyEventV2> from external namespace <@types>",""
"@babel",5,6,67,147,137,627,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <VariableDeclarator.id> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <AssignmentExpression.left> from external namespace <@babel>",""
"@cloudflare",3,5,52,68,137,627,"<GetLoadContextFunction> of module <react-router-cloudflare> imports <Request> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <EventContext> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <CacheStorage> from external namespace <@cloudflare>,<GetLoadContextFunction> of module <react-router-cloudflare> imports <CfProperties> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,137,627,"<createArcTableSessionStorage> of module <react-router-architect> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.put> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <functions> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.get> from external namespace <@architect>",""
"@mjackson",2,2,4,14,137,627,"<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>",""
