"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,488,1,117,4.5,10.60869565217391,22.98064718252156,104,1,13,1,2.260869565217391,2.3422191054989394,0.7299270072992701,9.489051094890511,0.7299270072992701,1.6502697556331325,1.7096489821160141,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@types",43,229,1,39,3,5.325581395348838,7.083585755387686,118,1,15,1,2.744186046511629,3.170496605654598,0.7299270072992701,10.94890510948905,0.7299270072992701,2.003055508402648,2.314231099017955,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@babel",5,51,2,17,10,10.2,6.418722614352486,6,1,2,1,1.2,0.4472135954999579,0.7299270072992701,1.4598540145985401,0.7299270072992701,0.8759124087591241,0.3264332813868306,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7299270072992701,3.6496350364963503,2.9197080291970803,2.4330900243309004,1.5194642331869583,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4598540145985401,1.4598540145985401,1.4598540145985401,1.4598540145985401,0,"@react-router/react-router-node,@react-router/server",""
