"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"node",20,233,1,79,3,11.650000000000002,22.56983315004904,31,1,8,1,1.5499999999999996,1.6050905860647504,0.7299270072992701,5.839416058394161,0.7299270072992701,1.1313868613138687,1.171598967930475,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/config",""
"@types/process",17,39,1,5,2,2.2941176470588234,1.5315313367000094,22,1,4,1,1.2941176470588238,0.7717436331412897,0.7299270072992701,2.9197080291970803,0.7299270072992701,0.9446114212108201,0.5633165205410874,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/detectPackageManager",""
"dist",15,73,1,26,4,4.866666666666667,6.289068369192766,30,1,5,1,2,1.3627702877384937,0.7299270072992701,3.6496350364963503,0.7299270072992701,1.4598540145985401,0.9947228377653238,"@react-router/routes,@react-router/plugin,@react-router/vite,@react-router/commands",""
"@types/path",12,38,1,7,2,3.166666666666667,2.2896340848319503,21,1,5,1,1.75,1.2154310870109943,0.7299270072992701,3.6496350364963503,0.7299270072992701,1.2773722627737225,0.8871759759204338,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/profiler",""
"node:fs",8,18,1,4,2,2.2500000000000004,1.0350983390135313,12,1,3,1,1.5,0.9258200997725514,0.7299270072992701,2.18978102189781,0.7299270072992701,1.094890510948905,0.6757810947244901,"@react-router/vite,@react-router/plugin,@react-router/profiler,@react-router/react-router-node",""
"@types/globals",7,7,1,1,1,1,0,11,1,3,1,1.5714285714285714,0.7867957924694431,0.7299270072992701,2.18978102189781,0.7299270072992701,1.1470281543274243,0.5743034981528782,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/run",""
"picocolors",7,8,1,2,1,1.1428571428571428,0.3779644730092272,11,1,3,1,1.5714285714285714,0.7867957924694431,0.7299270072992701,2.18978102189781,0.7299270072992701,1.1470281543274243,0.5743034981528782,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/typegen",""
"promises",7,28,1,7,4,4,2.309401076758503,15,1,4,2,2.142857142857143,1.3451854182690985,0.7299270072992701,2.9197080291970803,1.4598540145985401,1.5641293013555786,0.9818871666197799,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/typegen",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.7299270072992701,2.18978102189781,0.7299270072992701,0.9732360097323601,0.5959829057866614,"@react-router/vite,@react-router/plugin,@react-router/generate,@react-router/babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.7299270072992701,1.4598540145985401,0.7299270072992701,0.8515815085158152,0.2979914528933306,"@react-router/vite,@react-router/plugin,@react-router/react-router-node,@react-router/fileStorage",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.7299270072992701,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
