"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","node",88,138,4,131,25,3275,"UserConfig.environments,ViteDevServer.config,DevEnvironment.name,EnvironmentOptions.resolve,ManifestChunk.file,Plugin.name,Logger.error,Plugin,ViteDevServer.transformRequest,ConfigEnv.mode,ResolvedConfig.build,ResolvedConfig.configFile,ManifestChunk.css,createServer,ModuleNode.file,ResolvedConfig.logger,ResolvedConfig.command,Connect.Server.use,ManifestChunk.assets,PreviewServer,UserConfig.plugins,Connect.IncomingMessage.url,defaultClientConditions,ViteDevServer.hot,ViteDevServer.ssrFixStacktrace,normalizePath,PluginContainer.buildStart,ViteBuilder.environments,DevEnvironment.reloadModule,ViteDevServer.environments,ViteDevServer.pluginContainer,UserConfig.server,ResolvedBuildOptions.assetsDir,ResolvedConfig.mode,HotUpdatePluginContext.environment,HotBroadcaster.send,Environment.name,ViteBuilder.build,UserConfig.build,RunnableDevEnvironment.runner,isRunnableDevEnvironment,EnvironmentOptions.optimizeDeps,loadConfigFromFile,ConfigEnv.command,UserConfig.root,PreviewServer.middlewares,ModuleNode.url,ConfigEnv.isSsrBuild,ViteDevServer.middlewares,ResolvedServerOptions.middlewareMode,EnvironmentOptions,DevEnvironment.moduleGraph,createLogger,ResolvedConfig,Logger.info,ViteDevServer,UserConfig.logLevel,Environment.config,ViteDevServer.ssrLoadModule,ResolvedConfig.server,UserConfig.base,isCSSRequest,EnvironmentModuleNode.file,DevEnvironment.pluginContainer,EnvironmentPluginContainer.transform,PluginOption,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,ResolvedConfig.environments,EnvironmentModuleNode.id,BuildEnvironmentOptions.rollupOptions,ResolvedConfig.base,EnvironmentModuleGraph.getModulesByFile,node",""
"vite","rollup",8,13,4,131,25,3275,"PluginContext.environment,PluginContext.resolve,ResolvedId.id,TransformPluginContext.environment,RollupLog.message,RollupLog.pos,RollupLog.code,RollupOptions.onwarn",""
"vite","promises",7,14,4,131,25,3275,"readdir,mkdir,cp,rm,rename,readFile",""
"vite","@types/babel__core",6,6,4,131,25,3275,"BabelFileResult.code,transformAsync,BabelFileResult.map",""
"vite","@types/path",6,21,4,131,25,3275,"path.PlatformPath.posix,path.PlatformPath.resolve,path.PlatformPath.join,path.PlatformPath.basename,path.PlatformPath.relative,path.PlatformPath.dirname",""
"vite","dist",6,10,4,131,25,3275,"path.normalize,path.dirname,join,resolve,dist,relative",""
"vite","@types/process",5,7,4,131,25,3275,"global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env",""
"vite","fs",3,6,4,131,25,3275,"Dirent.isFile,Dirent.name,Dirent.path",""
"vite","node:fs",3,4,4,131,25,3275,"rmSync,readdirSync,existsSync",""
"vite","@types/babel__generator",2,2,4,131,25,3275,"GeneratorResult,GeneratorResult.code",""
"vite","@types/globals",2,4,4,131,25,3275,"global.NodeRequire.resolve",""
"vite","crypto",2,2,4,131,25,3275,"Hash.digest,Hash.update",""
"vite","http",2,2,4,131,25,3275,"ServerResponse.end,ServerResponse.setHeader",""
"vite","lexer",2,2,4,131,25,3275,"init",""
"vite","picocolors",2,9,4,131,25,3275,"picocolors",""
"vite","@types/buffer",1,1,4,131,25,3275,"global.Buffer.toString",""
"vite","@types/jsesc",1,2,4,131,25,3275,"jsesc",""
"vite","@types/pick",1,1,4,131,25,3275,"pick",""
"vite","module-runner",1,1,4,131,25,3275,"ModuleRunner.import",""
"vite","node:crypto",1,1,4,131,25,3275,"createHash",""
"vite","node:url",1,1,4,131,25,3275,".pathToFileURL",""
"vite","url",1,1,4,131,25,3275,"URL.href",""
"remove-exports","@babel/lib",16,56,1,23,4,2300,"VariableDeclarator.id,AssignmentExpression.left,LVal.type,Expression.type,ClassDeclaration.id,Identifier.name,ExportNamedDeclaration.declaration,ExpressionStatement.expression,VariableDeclaration.declarations,ExportDeclaration.type,MemberExpression.object,ExportSpecifier.exported,ExportSpecifier.local,ExportDefaultDeclaration.declaration,ExportNamedDeclaration.specifiers,FunctionDeclaration.id",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.remove,NodePath.parentPath,NodePath.node,NodePath.isProgram",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"with-props","@types/babel__traverse",11,23,1,21,4,2100,"NodePath.isIdentifier,NodePath.isExpression,NodePath.scope,NodePath.isExportNamedDeclaration,NodePath.replaceWith,Scope.generateUidIdentifier,NodePath.isExportDefaultDeclaration,NodePath.isVariableDeclaration,NodePath.node,NodePath.get,NodePath.isFunctionDeclaration",""
