"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",127,204,4,131,25,3275,"ViteDevServer.environments,ResolvedConfig.server,PluginContainer.buildStart,ConfigEnv.isSsrBuild,ViteDevServer.ssrFixStacktrace,UserConfig.root,readdirSync,cp,ResolvedBuildOptions.assetsDir,init,rmSync,ViteDevServer.transformRequest,HotUpdatePluginContext.environment,UserConfig.build,ModuleRunner.import,existsSync,URL.href,Logger.error,ViteDevServer.config,EnvironmentOptions.resolve,ViteDevServer.middlewares,rename,UserConfig.base,ConfigEnv.mode,ViteBuilder.environments,UserConfig.plugins,readFile,Dirent.isFile,Dirent.path,Environment.name,ViteDevServer.hot,UserConfig.logLevel,Plugin.name,ResolvedId.id,ResolvedConfig.configFile,ResolvedConfig,Logger.info,mkdir,rm,createHash,EnvironmentOptions.optimizeDeps,Dirent.name,Connect.IncomingMessage.url,ResolvedConfig.command,ManifestChunk.file,loadConfigFromFile,PreviewServer,ResolvedConfig.mode,ResolvedServerOptions.middlewareMode,ModuleNode.url,ViteBuilder.build,picocolors,ViteDevServer.ssrLoadModule,isRunnableDevEnvironment,DevEnvironment.reloadModule,UserConfig.environments,ServerResponse.end,ServerResponse.setHeader,ResolvedConfig.logger,UserConfig.server,ResolvedConfig.build,DevEnvironment.moduleGraph,ConfigEnv.command,RunnableDevEnvironment.runner,PluginContext.environment,ModuleNode.file,defaultClientConditions,createServer,PreviewServer.middlewares,ViteDevServer,ViteDevServer.pluginContainer,Connect.Server.use,normalizePath,PluginContext.resolve,ManifestChunk.css,Hash.digest,EnvironmentOptions,readdir,ManifestChunk.assets,Environment.config,Plugin,.pathToFileURL,HotBroadcaster.send,Hash.update,createLogger,DevEnvironment.name,TransformPluginContext.environment,PluginOption,join,EnvironmentPluginContainer.transform,RollupLog.message,DevEnvironment.pluginContainer,BuildEnvironmentOptions.rollupOptions,EnvironmentModuleNode.file,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,RollupOptions.onwarn,ResolvedConfig.environments,isCSSRequest,RollupLog.pos,resolve,path.dirname,dist,ResolvedConfig.base,relative,path.normalize,RollupLog.code,EnvironmentModuleGraph.getModulesByFile,EnvironmentModuleNode.id,node",""
"vite","@types",24,44,4,131,25,3275,"BabelFileResult.code,path.PlatformPath.join,BabelFileResult.map,GeneratorResult.code,path.PlatformPath.posix,global.NodeJS.Process.cwd,path.PlatformPath.relative,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeRequire.resolve,path.PlatformPath.resolve,global.NodeJS.Process.env,jsesc,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,path.PlatformPath.dirname,pick,path.PlatformPath.basename,global.Buffer.toString,GeneratorResult,transformAsync",""
"remove-exports","@babel",17,58,1,23,4,2300,"ClassDeclaration.id,Expression.type,LVal.type,VariableDeclaration.declarations,AssignmentExpression.left,ExportDeclaration.type,ExportNamedDeclaration.declaration,ParseResult,ExportSpecifier.local,FunctionDeclaration.id,VariableDeclarator.id,ExportSpecifier.exported,MemberExpression.object,Identifier.name,ExportDefaultDeclaration.declaration,ExpressionStatement.expression,ExportNamedDeclaration.specifiers",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.isProgram,NodePath.remove,NodePath.node",""
"remove-exports","no namespace",2,2,1,23,4,2300,"findReferencedIdentifiers,deadCodeElimination",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isFunctionDeclaration,NodePath.node,NodePath.get,NodePath.isExportNamedDeclaration,NodePath.isVariableDeclaration,NodePath.replaceWith,Scope.generateUidIdentifier,NodePath.isExportDefaultDeclaration,NodePath.isIdentifier,NodePath.scope,NodePath.isExpression",""
"with-props","@babel",10,14,1,21,4,2100,"identifier,ParseResult,variableDeclaration,callExpression,importDeclaration,variableDeclarator,importSpecifier,Program.body,stringLiteral,ParseResult.program",""
"cloudflare","no namespace",14,20,1,15,3,1500,"ConfigEnv.mode,Plugin,ResolvedConfig.plugins,EnvironmentResolveOptions.externalConditions,GetPlatformProxyOptions,ResolvedServerOptions.middlewareMode,ViteDevServer.config,ViteDevServer.ssrLoadModule,UserConfig.root,ResolvedConfig.server,EnvironmentOptions.resolve,Connect.Server.use,ViteDevServer.middlewares,Plugin.name",""
"cloudflare","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,3,1500,"ConfigEnv.mode,Plugin,ResolvedConfig.plugins,EnvironmentResolveOptions.externalConditions,GetPlatformProxyOptions,ResolvedServerOptions.middlewareMode,ViteDevServer.config,ViteDevServer.ssrLoadModule,UserConfig.root,ResolvedConfig.server,EnvironmentOptions.resolve,Connect.Server.use,ViteDevServer.middlewares,Plugin.name",""
