"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_module_usage_overall_for_Typescript.cypher"
"node",22,28,272,404,137,627,"<reactRouterVitePlugin> of module <vite> imports <Environment.name> from external module <node>,<reactRouterVitePlugin> of module <vite> imports <RunnableDevEnvironment.runner> from external module <node>,<reactRouterVitePlugin> of module <vite> imports <EnvironmentOptions.resolve> from external module <node>,<reactRouterVitePlugin> of module <vite> imports <Plugin> from external module <node>",""
"@types/process",17,20,42,50,137,627,"<reactRouterVitePlugin> of module <vite> imports <global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST> from external module <process>,<reactRouterVitePlugin> of module <vite> imports <global.NodeJS.Process.exit> from external module <process>,<reactRouterVitePlugin> of module <vite> imports <global.NodeJS.Process.cwd> from external module <process>,<reactRouterVitePlugin> of module <vite> imports <global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT> from external module <process>",""
"dist",17,26,98,245,137,627,"<relative> of module <routes> imports <resolve> from external module <dist>,<relative> of module <routes> imports <resolve> from external module <dist>,<reactRouterRSCVitePlugin> of module <plugin> imports <path.dirname> from external module <dist>,<reactRouterRSCVitePlugin> of module <plugin> imports <resolve> from external module <dist>",""
"@types/path",13,19,52,106,137,627,"<reactRouterVitePlugin> of module <vite> imports <path.PlatformPath.dirname> from external module <path>,<reactRouterVitePlugin> of module <vite> imports <path.PlatformPath.basename> from external module <path>,<reactRouterVitePlugin> of module <vite> imports <path.PlatformPath.join> from external module <path>,<reactRouterVitePlugin> of module <vite> imports <path.PlatformPath.relative> from external module <path>",""
"@types/globals",8,9,11,15,137,627,"<reactRouterVitePlugin> of module <vite> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterVitePlugin> of module <plugin> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterRSCVitePlugin> of module <plugin> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterRSCVitePlugin> of module <vite> imports <global.NodeRequire.resolve> from external module <globals>",""
"node:fs",8,10,23,38,137,627,"<reactRouterVitePlugin> of module <vite> imports <readdirSync> from external module <node:fs>,<reactRouterVitePlugin> of module <vite> imports <existsSync> from external module <node:fs>,<reactRouterVitePlugin> of module <vite> imports <rmSync> from external module <node:fs>,<reactRouterVitePlugin> of module <plugin> imports <readdirSync> from external module <node:fs>",""
"picocolors",8,9,12,35,137,627,"<reactRouterVitePlugin> of module <vite> imports <picocolors> from external module <picocolors>,<reactRouterVitePlugin> of module <plugin> imports <picocolors> from external module <picocolors>,<reactRouterRSCVitePlugin> of module <plugin> imports <picocolors> from external module <picocolors>,<reactRouterRSCVitePlugin> of module <vite> imports <picocolors> from external module <picocolors>",""
"promises",8,12,34,56,137,627,"<reactRouterVitePlugin> of module <vite> imports <rename> from external module <promises>,<reactRouterVitePlugin> of module <vite> imports <rm> from external module <promises>,<reactRouterVitePlugin> of module <vite> imports <mkdir> from external module <promises>,<reactRouterVitePlugin> of module <vite> imports <cp> from external module <promises>",""
"@types/react",7,24,91,354,137,627,"<AwaitContextProvider> of module <react-router> imports <React.Context.Provider> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.createElement> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.FunctionComponentElement> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.ProviderProps> from external module <react>",""
"@types/babel__generator",6,7,12,14,137,627,"<reactRouterVitePlugin> of module <vite> imports <GeneratorResult.code> from external module <babel__generator>,<reactRouterVitePlugin> of module <vite> imports <GeneratorResult> from external module <babel__generator>,<reactRouterVitePlugin> of module <plugin> imports <GeneratorResult.code> from external module <babel__generator>,<reactRouterVitePlugin> of module <plugin> imports <GeneratorResult> from external module <babel__generator>",""
"@types/buffer",6,4,12,13,137,627,"<reactRouterVitePlugin> of module <vite> imports <global.Buffer.toString> from external module <buffer>,<reactRouterVitePlugin> of module <plugin> imports <global.Buffer.toString> from external module <buffer>,<createFileSessionStorage> of module <react-router-node> imports <global.BufferConstructor.from> from external module <buffer>,<createFileSessionStorage> of module <react-router-node> imports <global.Buffer.toString> from external module <buffer>",""
"http",6,5,10,10,137,627,"<reactRouterVitePlugin> of module <vite> imports <ServerResponse.setHeader> from external module <http>,<reactRouterVitePlugin> of module <vite> imports <ServerResponse.end> from external module <http>,<reactRouterVitePlugin> of module <plugin> imports <ServerResponse.setHeader> from external module <http>,<reactRouterVitePlugin> of module <plugin> imports <ServerResponse.end> from external module <http>",""
"node:path",6,10,10,25,137,627,"<stop> of module <profiler> imports <node:path> from external module <node:path>,<isSegmentSeparator> of module <flatRoutes> imports <node:path> from external module <node:path>,<flatRoutesUniversal> of module <flatRoutes> imports <node:path> from external module <node:path>,<flatRoutes> of module <flatRoutes> imports <node:path> from external module <node:path>",""
"readline",6,6,10,32,137,627,"<ConfirmPrompt> of module <prompts-confirm> imports <Key> from external module <readline>,<MultiSelectPrompt> of module <prompts-multi-select> imports <Key> from external module <readline>,<Prompt> of module <prompts-prompt-base> imports <Key> from external module <readline>,<Prompt> of module <prompts-prompt-base> imports <Interface.close> from external module <readline>",""
"sisteransi",6,6,27,28,137,627,"<ConfirmPrompt> of module <prompts-confirm> imports <cursor.hide> from external module <sisteransi>,<ConfirmPrompt> of module <prompts-confirm> imports <erase.line> from external module <sisteransi>,<ConfirmPrompt> of module <prompts-confirm> imports <erase> from external module <sisteransi>,<ConfirmPrompt> of module <prompts-confirm> imports <cursor.to> from external module <sisteransi>",""
"@babel/lib",5,6,64,142,137,627,"<transpile> of module <useJavascript> imports <lib> from external module <lib>,<transpile> of module <useJavascript> imports <lib> from external module <lib>,<removeExports> of module <remove-exports> imports <Expression.type> from external module <lib>,<removeExports> of module <remove-exports> imports <VariableDeclaration.declarations> from external module <lib>",""
"@types/pick",5,5,9,9,137,627,"<layout> of module <routes> imports <pick> from external module <pick>,<layout> of module <routes> imports <pick> from external module <pick>,<index> of module <routes> imports <pick> from external module <pick>,<index> of module <routes> imports <pick> from external module <pick>",""
"@types/babel__core",4,3,14,15,137,627,"<reactRouterVitePlugin> of module <vite> imports <transformAsync> from external module <babel__core>,<reactRouterVitePlugin> of module <vite> imports <BabelFileResult.map> from external module <babel__core>,<reactRouterVitePlugin> of module <vite> imports <BabelFileResult.code> from external module <babel__core>,<reactRouterVitePlugin> of module <plugin> imports <transformAsync> from external module <babel__core>",""
"fs",4,4,11,17,137,627,"<reactRouterVitePlugin> of module <vite> imports <Dirent.path> from external module <fs>,<reactRouterVitePlugin> of module <vite> imports <Dirent.isFile> from external module <fs>,<reactRouterVitePlugin> of module <vite> imports <Dirent.name> from external module <fs>,<reactRouterVitePlugin> of module <plugin> imports <Dirent.path> from external module <fs>",""
"lexer",4,3,5,5,137,627,"<reactRouterVitePlugin> of module <vite> imports <init> from external module <lexer>,<reactRouterVitePlugin> of module <plugin> imports <init> from external module <lexer>,<reactRouterRSCVitePlugin> of module <plugin> imports <init> from external module <lexer>,<reactRouterRSCVitePlugin> of module <vite> imports <init> from external module <lexer>",""
"@cloudflare/workers-types",3,5,52,68,137,627,"<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Response.status> from external module <workers-types>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <EventContext.request> from external module <workers-types>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Headers.delete> from external module <workers-types>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Request.headers> from external module <workers-types>",""
"@types/babel__traverse",3,3,17,49,137,627,"<removeExports> of module <remove-exports> imports <NodePath.node> from external module <babel__traverse>,<removeExports> of module <remove-exports> imports <NodePath.isProgram> from external module <babel__traverse>,<removeExports> of module <remove-exports> imports <NodePath.remove> from external module <babel__traverse>,<removeExports> of module <remove-exports> imports <NodePath.parentPath> from external module <babel__traverse>",""
"node:process",3,7,7,18,137,627,"<Context> of module <create-react-router> imports <node:process> from external module <node:process>,<Prompt> of module <prompts-prompt-base> imports <node:process> from external module <node:process>,<PromptOptions> of module <prompts-prompt-base> imports <node:process> from external module <node:process>,<setStderr> of module <utils> imports <node:process> from external module <node:process>",""
