"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"react-router-7.17.0/server","server","embeddingsFastRandomProjection","0.32939816,0.013160706,0.37486586,-0.038406365,0.0035306516,-0.038406365,0.29452243,0.0035306516,0.038406365,0.3329288,-0.038406365,0.038406365,-0.3880265,-0.3496202,0.0035306516,-0.3112138,-0.3496202,0,0,-0.3880265,0,0.3329288,-0.3329288,0.038406365,0,0.038406365,0,0.038406365,-0.3329288,-0.3112138,-0.3496202,0.37133518",""
"react-router-7.17.0/arcTableSessionStorage","arcTableSessionStorage","embeddingsFastRandomProjection","0.3292553,0.013048202,0.374978,-0.0384059,0.0036583922,-0.0384059,0.2945078,0.0036583922,0.0384059,0.3329137,-0.0384059,0.0384059,-0.3880262,-0.3496203,0.0036583922,-0.31121442,-0.3496203,0,0,-0.3880262,0,0.3329137,-0.3329137,0.0384059,0,0.0384059,0,0.0384059,-0.3329137,-0.31121442,-0.3496203,0.3713196",""
"react-router-7.17.0/react-router-express","react-router-express","embeddingsFastRandomProjection","0.35355338,0,0.30151132,0,0.30151132,0,0,0.30151132,0.35355338,0,0,0.30151132,-0.30151132,0.35355338,0,0,-0.35355338,-0.30151132,0.35355338,-0.30151132,0,0.052042067,0,-0.30151132,0,-0.6550647,0.30151132,0.35355338,0,0,0,0",""
"react-router-7.17.0/server","server","embeddingsFastRandomProjection","0.3535534,0,0.30151132,0,0.30151132,0,0,0.30151132,0.3535534,0,0,0.30151132,-0.30151132,0.3535534,0,0,-0.3535534,-0.30151132,0.3535534,-0.30151132,0,0.052042097,0,-0.30151132,0,-0.6550647,0.30151132,0.3535534,0,0,0,0",""
"react-router-7.17.0/react-router-node","react-router-node","embeddingsFastRandomProjection","0.007588595,-0.008318782,0.0021905561,0.0036509265,0,-0.52471656,0.0036509265,0.27016857,0.2687082,-0.26651767,0,0.007588595,0.0029207414,-0.26111963,0.00073018536,-0.00073018536,0.011239529,0.008318782,-0.2581989,0.52471656,0.2581989,0.26651767,-0.52471656,-0.26943842,-0.2581989,0.26111963,-0.2581989,0.26651767,-0.2581989,0,0.0029207414,-0.0021905561",""
"react-router-7.17.0/server","server","embeddingsFastRandomProjection","0.007588595,-0.008318752,0.0021905561,0.0036509268,0,-0.5247166,0.0036509268,0.27016857,0.26870823,-0.26651767,0,0.007588595,0.0029207414,-0.26111966,0.00073018536,-0.00073018536,0.011239499,0.008318752,-0.25819892,0.5247166,0.25819892,0.26651767,-0.5247166,-0.26943842,-0.25819892,0.26111966,-0.25819892,0.26651767,-0.25819892,0,0.0029207414,-0.0021905561",""
"react-router-7.17.0/stream","stream","embeddingsFastRandomProjection","0.007588595,-0.008318782,0.0021905561,0.0036509268,0,-0.52471656,0.0036509268,0.27016857,0.26870823,-0.26651767,0,0.007588595,0.0029207414,-0.26111963,0.00073018536,-0.00073018536,0.011239499,0.008318782,-0.2581989,0.52471656,0.2581989,0.26651767,-0.52471656,-0.2694384,-0.2581989,0.26111963,-0.2581989,0.26651767,-0.2581989,0,0.0029207414,-0.0021905561",""
"react-router-7.17.0/fileStorage","fileStorage","embeddingsFastRandomProjection","0.007588595,-0.008318782,0.0021905561,0.0036509268,0,-0.52471656,0.0036509268,0.27016857,0.26870823,-0.26651767,0,0.007588595,0.0029207414,-0.26111963,0.00073018536,-0.00073018536,0.011239499,0.008318782,-0.2581989,0.52471656,0.2581989,0.26651767,-0.52471656,-0.2694384,-0.2581989,0.26111963,-0.2581989,0.26651767,-0.2581989,0,0.0029207414,-0.0021905561",""
"react-router-7.17.0/config","config","embeddingsFastRandomProjection","-0.20592,-0.24467292,-0.052302532,-0.4308513,0.12773888,0.23100328,0.18293594,0.044286255,0.111478776,0.07874043,0.1261966,0.030400328,0.24836574,0.10341716,0.0684761,0.047965955,-0.46841165,-0.3406029,-0.01937881,-0.108114906,-0.24226995,-0.4010428,0.20921223,-0.09265475,-0.10630643,-0.40865257,0.12497942,0.069227874,-0.39550453,0.030471466,0.44588265,-0.09712434",""
"react-router-7.17.0/manifest","manifest","embeddingsFastRandomProjection","-0.45837072,-0.10577636,-0.2178402,-0.27419835,-0.045892328,-0.34292254,0.0947866,0.2375526,0.22029708,0.017330864,-0.11415305,0.07178675,0.27858186,0.08514762,0.3016267,0.23766614,-0.24510452,-0.088120855,-0.16098414,0.2771476,-0.2393711,0.15686025,0.13927233,0.24806574,-0.30265477,-0.06377921,0.21672165,0.36090043,-0.34578934,-0.32937628,0.14126515,-0.4564173",""
"react-router-7.17.0/routes","routes","embeddingsFastRandomProjection","-0.38937047,-0.10021976,-0.2567048,-0.28734756,-0.0037363768,-0.31957662,0.029663213,0.074090004,0.2495428,-0.02045435,-0.056852765,-0.0059899148,0.29590914,0.029833987,0.33381236,0.22569554,-0.3318673,-0.061164025,-0.221071,0.27500048,-0.23991862,0.08056306,0.09184583,0.23551486,-0.28983697,-0.01415134,0.24285263,0.3207214,-0.32289165,-0.3694676,0.0035545528,-0.37540495",""
"react-router-7.17.0/commands","commands","embeddingsFastRandomProjection","-0.68608785,-0.40405706,-0.4534787,-0.3792104,-0.14459679,-0.3518202,0.086011186,0.09474221,-0.023190886,-0.029295284,-0.070092544,0.046523705,0.102893844,-0.1900633,0.12923785,0.17938343,-0.3534065,-0.22005758,0.16279905,0.24237002,0.036022767,-0.2353483,0.2153373,0.1786161,-0.12878922,-0.035408746,0.034010448,0.14936283,-0.21614234,-0.4079193,0.63687027,-0.19502342",""
"react-router-7.17.0/detectPackageManager","detectPackageManager","embeddingsFastRandomProjection","-0.18046388,-0.23776953,-0.038979758,-0.42225233,0.14162393,0.23673107,0.17891195,0.035742026,0.09106934,0.08538604,0.1319415,0.029975383,0.24394257,0.10638727,0.062736996,0.036013626,-0.45030624,-0.34285927,-0.007894456,-0.12521045,-0.23004185,-0.4160571,0.20087503,-0.10461436,-0.0934183,-0.41386592,0.13310397,0.062753886,-0.39653245,0.039262526,0.43049762,-0.084423885",""
"react-router-7.17.0/run","run","embeddingsFastRandomProjection","-0.36275452,-0.3109574,-0.1856892,-0.27582523,0.39418077,-0.46128786,0.09116059,-0.015952962,-0.14149892,-0.13474454,-0.22232632,0.2813937,0.02926375,-0.24306935,0.23395818,0.08347902,0.14160213,-0.58322155,0.49984378,0.048320867,0.25864828,-0.26062092,0.18488044,0.22444579,-0.09840167,0.081454515,0.083096765,0.19434601,-0.117984064,-0.25148818,0.67420936,-0.22416225",""
"react-router-7.17.0/useJavascript","useJavascript","embeddingsFastRandomProjection","-0.3627545,-0.31095737,-0.1856892,-0.2758252,0.39418074,-0.46128783,0.09116058,-0.015952962,-0.14149894,-0.13474452,-0.22232631,0.28139368,0.029263742,-0.24306935,0.23395817,0.08347902,0.14160211,-0.58322155,0.49984378,0.048320867,0.25864828,-0.2606209,0.18488042,0.22444576,-0.09840166,0.081454515,0.083096765,0.19434598,-0.11798406,-0.25148818,0.67420936,-0.22416225",""
"react-router-7.17.0/config","config","embeddingsFastRandomProjection","-0.19623354,-0.07019171,-0.10032205,-0.4543649,0.21677692,-0.3549065,0.002338849,0.045539316,-0.15144408,0.2177497,-0.023356006,0.024104245,0.34983045,0.27064964,0.3722912,0.10600224,-0.17413822,-0.33199668,-0.057806946,0.08006375,-0.13625425,-0.26070625,0.04153457,0.11977001,-0.056215465,-0.28008163,0.58899134,0.36181337,-0.66577256,-0.39328325,-0.14334227,-0.36508998",""
"react-router-7.17.0/format","format","embeddingsFastRandomProjection","-0.3890363,-0.10046149,-0.25602266,-0.2869446,-0.0043150783,-0.3182815,0.02968375,0.07434356,0.24882561,-0.020596512,-0.05720662,-0.005767993,0.29436877,0.03004986,0.3325454,0.2249817,-0.33113772,-0.061708134,-0.21998051,0.27435628,-0.23920509,0.08085119,0.09214764,0.23506154,-0.28831348,-0.014218086,0.24128991,0.31939304,-0.3213936,-0.36812636,0.0046494603,-0.37424836",""
"react-router-7.17.0/is-react-router-repo","is-react-router-repo","embeddingsFastRandomProjection","-0.34819555,-0.22912842,0.35190314,-0.06703773,0.17688936,-0.31514907,0.12813038,0.35047078,-0.30198276,0.11304386,-0.2961492,0.109812565,0.29977584,0.21743947,0.24474117,-0.24799535,0.064119816,-0.4691986,0.35055768,0.056669638,0.274579,0.17078851,0.25576955,-0.35396647,-0.22496642,-0.011369869,0.06368013,0.36096665,-0.34892967,-0.43409127,0.074997805,-0.52043426",""
"react-router-7.17.0/routes","routes","embeddingsFastRandomProjection","-0.38931504,-0.10039216,-0.25638664,-0.2871662,-0.0021936297,-0.3209656,0.029698905,0.07419408,0.24924953,-0.020427622,-0.05697352,-0.0059842626,0.2972756,0.029885883,0.33521006,0.22539201,-0.33171153,-0.06132851,-0.22075726,0.27481046,-0.23962553,0.08061808,0.09198891,0.23519741,-0.29114366,-0.014166191,0.24406537,0.32204163,-0.3243125,-0.37091848,0.0021297932,-0.37686872",""
"react-router-7.17.0/context","context","embeddingsFastRandomProjection","-0.41005152,-0.3552603,-0.32853985,-0.67057914,-0.03775482,-0.0075076297,0.13738088,0.03550165,0.20879894,0.04308269,0.14479405,0.07650472,0.33796817,0.122742906,0.13730021,0.07084184,-0.5666228,-0.24767636,0.077162355,0.00804697,-0.44259018,-0.33498892,0.18891543,0.16097087,-0.07747191,-0.3105181,0.26357237,0.12066227,-0.6620788,-0.19232643,0.5568421,-0.10389764",""
"react-router-7.17.0/generate","generate","embeddingsFastRandomProjection","-0.38011003,-0.14698933,-0.253965,-0.27726665,0.043558717,-0.2779637,0.06958427,0.07029832,0.2878087,-0.037057515,-0.018276598,-0.0034425072,0.3437918,0.00018161628,0.33418402,0.19337115,-0.37761533,-0.053260103,-0.18961641,0.23060817,-0.25894353,0.04856843,0.12783544,0.19089773,-0.3537196,-0.039261755,0.22530413,0.3214608,-0.3523267,-0.35286382,0.05505541,-0.37886798",""
"react-router-7.17.0/typegen","typegen","embeddingsFastRandomProjection","-0.39081496,-0.12480578,-0.23833989,-0.6562958,-0.09776609,-0.14669345,-0.034383275,0.076473646,0.06942512,0.04377414,-0.026340907,0.091842294,0.1676132,0.19920754,0.18169202,0.2231327,-0.3599735,-0.30725747,-0.044047356,0.10446614,-0.3401198,-0.20938824,0.027570993,0.31095284,0.1145685,-0.20120193,0.31045723,0.16845065,-0.47981554,-0.25934434,0.31676155,-0.12759429",""
"react-router-7.17.0/params","params","embeddingsFastRandomProjection","-0.37627628,-0.109385386,-0.23446311,-0.65919214,-0.111834675,-0.117443964,-0.046680883,0.059995104,0.061969653,0.053820863,-0.017603934,0.07677288,0.15079747,0.19922791,0.16525319,0.22598071,-0.36645818,-0.30233872,-0.07261954,0.09533195,-0.33740237,-0.22818203,0.01119107,0.29543543,0.13334972,-0.21659395,0.30865446,0.14527097,-0.46938962,-0.24022722,0.2901216,-0.10401588",""
"react-router-7.17.0/route","route","embeddingsFastRandomProjection","-0.39049116,-0.10031009,-0.25662348,-0.29733536,-0.0019560456,-0.32192805,0.026991196,0.07443386,0.24421169,-0.018305058,-0.05709984,-0.00398791,0.29737484,0.034900714,0.33617893,0.22653607,-0.33257335,-0.06779707,-0.218011,0.27190223,-0.24227007,0.07407529,0.08965988,0.238283,-0.2836622,-0.018945796,0.2507534,0.32263175,-0.33226305,-0.37323982,0.004042864,-0.37521333",""
"react-router-7.17.0/babel","babel","embeddingsFastRandomProjection","-0.58664966,-0.24786636,-0.07642126,-0.53438604,-0.111405894,-0.26220027,0.04447013,0.3126364,-0.045758456,0.06556738,-0.28008392,0.036824767,0.09804994,0.21736293,0.26224947,0.084059596,-0.30787146,-0.35127804,0.084316626,0.17046073,-0.11620695,0.101638526,0.30043027,0.18232958,0.014035217,-0.12865135,-0.009279132,0.14739189,-0.42392844,-0.42288908,0.30036935,-0.41768476",""
"react-router-7.17.0/build","build","embeddingsFastRandomProjection","-0.5329539,-0.18412167,-0.14718327,-0.30221272,-0.02317509,-0.32289457,0.15246306,0.25905317,0.19157612,0.003416256,-0.1666767,0.09847239,0.28675646,0.08257211,0.29095536,0.18775646,-0.26766092,-0.21738571,-0.08563642,0.2570002,-0.19057612,0.13464803,0.20873773,0.15626201,-0.32318193,-0.058556758,0.15121335,0.36278248,-0.36578384,-0.34656242,0.27741218,-0.49147645",""
"react-router-7.17.0/cache","cache","embeddingsFastRandomProjection","-0.48123097,-0.23170424,0.10287457,-0.15542941,0.080145694,-0.3923024,0.08685421,0.45387328,-0.12841105,0.10402185,-0.36284462,0.07916865,0.21442512,0.22534372,0.32723218,-0.107656166,-0.046427283,-0.2490435,0.19163305,0.13534656,0.10070133,0.39667258,0.3498726,0.0020559877,-0.2427949,-0.049891368,-0.071121484,0.2539538,-0.3631408,-0.49410254,0.04091087,-0.64789903",""
"react-router-7.17.0/cloudflare-dev-proxy","cloudflare-dev-proxy","embeddingsFastRandomProjection","-0.3345738,-0.29597393,0.17206888,-0.35285014,0.1420996,0.08147411,0.23607734,0.1796432,-0.10708152,0.11807466,-0.033719897,0.058854364,0.2583236,0.2501049,0.10596445,-0.09655987,-0.30033353,-0.5426795,0.1414313,-0.086706676,-0.036103267,-0.2533708,0.30008385,-0.25014082,-0.10593319,-0.33025327,0.072399735,0.115724854,-0.44821185,-0.16222677,0.3989812,-0.27905118",""
