"artifactName","dependentArtifactName","packageName","dependentPackage.fqn","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNames","Source Cypher File: Internal_Dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-eventsourcing-5.0.0","axon-messaging-5.0.0","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core",1,80,0.0125,"org.axonframework.messaging.core.MessageTypeResolver",""
"axon-modelling-5.0.0","axon-messaging-5.0.0","org.axonframework.modelling.repository","org.axonframework.messaging.core",1,80,0.0125,"org.axonframework.messaging.core.Context$ResourceKey",""
"axon-test-5.0.0","axon-messaging-5.0.0","org.axonframework.test.matchers","org.axonframework.messaging.core",1,80,0.0125,"org.axonframework.messaging.core.Message",""
"axon-spring-boot-autoconfigure-5.0.0","axon-messaging-5.0.0","org.axonframework.extension.springboot.autoconfig","org.axonframework.messaging.core.annotation",1,49,0.02040816326530612,"org.axonframework.messaging.core.annotation.HandlerEnhancerDefinition",""
"axon-eventsourcing-5.0.0","axon-messaging-5.0.0","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core.annotation",1,49,0.02040816326530612,"org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.core.unitofwork","org.axonframework.common.configuration",1,46,0.021739130434782608,"org.axonframework.common.configuration.ComponentNotFoundException",""
"axon-eventsourcing-5.0.0","axon-common-5.0.0","org.axonframework.eventsourcing.annotation","org.axonframework.common.configuration",1,46,0.021739130434782608,"org.axonframework.common.configuration.Configuration",""
"axon-eventsourcing-5.0.0","axon-common-5.0.0","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.common.configuration",1,46,0.021739130434782608,"org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.0.0","axon-common-5.0.0","org.axonframework.modelling.entity.annotation","org.axonframework.common.configuration",1,46,0.021739130434782608,"org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.core","org.axonframework.common.configuration",1,46,0.021739130434782608,"org.axonframework.common.configuration.Configuration",""
"axon-tracing-opentelemetry-5.0.0","axon-messaging-5.0.0","org.axonframework.extension.tracing.opentelemetry","org.axonframework.messaging.core",2,80,0.025,"org.axonframework.messaging.core.Metadata,org.axonframework.messaging.core.Message",""
"axon-metrics-micrometer-5.0.0","axon-messaging-5.0.0","org.axonframework.extension.metrics.micrometer","org.axonframework.messaging.core",2,80,0.025,"org.axonframework.messaging.core.Metadata,org.axonframework.messaging.core.Message",""
"axon-test-5.0.0","axon-common-5.0.0","org.axonframework.test.server","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.Assert",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.eventstreaming","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.Assert",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.Assert",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.monitoring","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.Assert",""
"axon-test-5.0.0","axon-common-5.0.0","org.axonframework.test.fixture","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.Registration",""
"axon-test-5.0.0","axon-common-5.0.0","org.axonframework.test.util","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.ObjectUtils",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.core.timeout","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.AxonThreadFactory",""
"axon-tracing-opentelemetry-5.0.0","axon-common-5.0.0","org.axonframework.extension.tracing.opentelemetry","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.BuilderUtils",""
"axon-conversion-5.0.0","axon-common-5.0.0","org.axonframework.conversion.avro","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.BuilderUtils",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.eventhandling.tracing","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.BuilderUtils",""
"axon-messaging-5.0.0","axon-common-5.0.0","org.axonframework.messaging.commandhandling.tracing","org.axonframework.common",1,34,0.029411764705882353,"org.axonframework.common.BuilderUtils",""
