"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-modelling-5.0.0.jar",7,93,2,3,""
"axon-common-5.0.0.jar",13,150,10,0,""
"axon-metrics-micrometer-5.0.0.jar",2,13,0,2,""
"axon-conversion-5.0.0.jar",4,30,4,1,""
"axon-messaging-5.0.0.jar",57,570,7,2,""
"axon-update-5.0.0.jar",5,23,0,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",7,66,0,6,""
"axon-tracing-opentelemetry-5.0.0.jar",1,5,0,2,""
"axon-server-connector-5.0.0.jar",5,72,1,4,""
"axon-test-5.0.0.jar",5,73,1,3,""
"axon-eventsourcing-5.0.0.jar",7,100,3,4,""
