"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2074,852,891,"/org/axonframework/extension/metrics/micrometer/MetricsConfigurerModule.class uses /org/axonframework/extension/metrics/micrometer/GlobalMetricRegistry.class,/org/axonframework/extension/metrics/micrometer/MessageTimerMonitor.class uses /org/axonframework/extension/metrics/micrometer/MessageTimerMonitor$Builder.class,/org/axonframework/extension/metrics/micrometer/GlobalMetricRegistry.class uses /org/axonframework/extension/metrics/micrometer/MessageTimerMonitor$Builder.class,/org/axonframework/extension/metrics/micrometer/GlobalMetricRegistry.class uses /org/axonframework/extension/metrics/micrometer/EventProcessorLatencyMonitor$Builder.class",""
1,96,82,41,"/org/axonframework/extension/metrics/micrometer uses /org/axonframework/extension/metrics/micrometer/reservoir,/org/axonframework/extension/springboot/autoconfig uses /org/axonframework/extension/springboot,/org/axonframework/extension/springboot/actuator/axonserver uses /org/axonframework/extension/springboot/actuator,/org/axonframework/common/infra uses /org/axonframework/common",""
2,2063,605,416,"/org/axonframework/extension/metrics/micrometer/CapacityMonitor.class uses /org/axonframework/extension/metrics/micrometer/reservoir/SlidingTimeWindowReservoir.class,/org/axonframework/extension/metrics/micrometer/CapacityMonitor$1.class uses /org/axonframework/extension/metrics/micrometer/reservoir/SlidingTimeWindowReservoir.class,/org/axonframework/extension/springboot/actuator/axonserver/AxonServerHealthIndicator.class uses /org/axonframework/extension/springboot/actuator/HealthStatus.class,/org/axonframework/extension/springboot/actuator/axonserver/AxonServerStatusAggregator.class uses /org/axonframework/extension/springboot/actuator/HealthStatus.class",""
4,1997,645,301,"/org/axonframework/modelling/entity/annotation/AnnotatedEntityMetamodelFactory.class uses /org/axonframework/common/annotation/Internal.class,/org/axonframework/update/configuration/DefaultUsagePropertyProvider.class uses /org/axonframework/common/annotation/Internal.class,/org/axonframework/modelling/entity/annotation/RoutingKeyUtils.class uses /org/axonframework/common/annotation/Internal.class,/org/axonframework/modelling/entity/annotation/AnnotatedEntityModelRoutingKeyMatcher.class uses /org/axonframework/common/annotation/Internal.class",""
