"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: domains/archetypes/labels/ArchetypeBottleneck.cypher"
"axon-messaging-5.0.3","annotation","org.axonframework.messaging.core.annotation",1193.6666666666665,1,""
"axon-messaging-5.0.3","core","org.axonframework.messaging.core",1028.4999999999998,2,""
"axon-messaging-5.0.3","conversion","org.axonframework.messaging.core.conversion",432.41666666666674,3,""
"axon-messaging-5.0.3","sequencing","org.axonframework.messaging.core.sequencing",415.99999999999994,4,""
"axon-messaging-5.0.3","unitofwork","org.axonframework.messaging.core.unitofwork",375.78333333333336,5,""
"axon-server-connector-5.0.3","connector","org.axonframework.axonserver.connector",335,6,""
"axon-messaging-5.0.3","annotation","org.axonframework.messaging.commandhandling.annotation",222.58333333333331,7,""
"axon-messaging-5.0.3","configuration","org.axonframework.messaging.eventhandling.configuration",191.33333333333331,8,""
"axon-server-connector-5.0.3","event","org.axonframework.axonserver.connector.event",183,9,""
"axon-messaging-5.0.3","transaction","org.axonframework.messaging.core.unitofwork.transaction",172.4,10,""
