"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",53,97,595,1390,140,648,"<CookieOptions> of module <react-router> imports <ParseOptions> from external namespace <>,<CookieOptions> of module <react-router> imports <StringifyOptions> from external namespace <>,<CookieOptions> of module <react-router> imports <ParseOptions> from external namespace <>,<CookieOptions> of module <react-router> imports <StringifyOptions> from external namespace <>",""
"@types",51,94,351,827,140,648,"<AwaitContextProvider> of module <react-router> imports <React.Context.Provider> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.createElement> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.ProviderProps> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.FunctionComponentElement> from external namespace <@types>",""
"@babel",5,7,68,148,140,648,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <AssignmentExpression.left> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExportNamedDeclaration.declaration> from external namespace <@babel>",""
"@cloudflare",3,5,52,68,140,648,"<createRequestHandler> of module <worker> imports <EventContext.request> from external namespace <@cloudflare>,<createRequestHandler> of module <worker> imports <EventContext.waitUntil> from external namespace <@cloudflare>,<createRequestHandler> of module <worker> imports <EventContext.passThroughOnException> from external namespace <@cloudflare>,<createRequestHandler> of module <worker> imports <Request.cf> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,140,648,"<createArcTableSessionStorage> of module <react-router-architect> imports <functions> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.delete> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.put> from external namespace <@architect>",""
"@mjackson",2,2,4,4,140,648,"<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>",""
