"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"AssignmentExpression.left,ExportNamedDeclaration.declaration,FunctionDeclaration.id,LVal.type,ExpressionStatement.expression,ParseResult,ExportSpecifier.local,MemberExpression.object,ExportSpecifier.exported,ExportDefaultDeclaration.declaration,Expression.type,Identifier.name,ClassDeclaration.id,VariableDeclaration.declarations,ExportNamedDeclaration.specifiers,ExportDeclaration.type,VariableDeclarator.id",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.remove,NodePath.parentPath,NodePath.node",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"vite","no namespace",124,240,6,129,25,2150,"dist,UserConfig.logLevel,ResolvedBuildEnvironmentOptions.outDir,Logger.error,existsSync,readFile,ServerResponse.setHeader,ServerResponse.statusCode,Connect.IncomingMessage.url,path.extname,normalizePath,path.normalize,ResolvedEnvironmentOptions.build,join,PreviewServer.middlewares,init,picocolors,Connect.Server.use,ServerResponse.end,createLogger,path.join,ResolvedConfig.base,transformWithEsbuild,relative,UserConfig.base,resolve,PluginOption,Logger.info,UserConfig.server,ResolvedConfig.environments,EnvironmentOptions.optimizeDeps,ResolvedBuildOptions.assetsDir,URL.href,DevEnvironment.name,ResolvedConfig.configFile,EnvironmentOptions,ModuleRunner.import,ManifestChunk.css,Plugin,ResolvedConfig,ViteDevServer.ssrFixStacktrace,ViteDevServer.ssrLoadModule,ViteDevServer.transformRequest,ConfigEnv.command,EnvironmentOptions.resolve,ViteDevServer.config,RunnableDevEnvironment.runner,cp,ManifestChunk.assets,Environment.config,PluginContext.environment,Dirent.name,ViteDevServer.hot,ResolvedConfig.logger,mkdir,Hash.digest,ViteDevServer,ViteDevServer.middlewares,Logger.warn,readdir,ModuleNode.url,ResolvedConfig.root,UserConfig.build,rmSync,ViteDevServer.environments,Plugin.name,DevEnvironment.reloadModule,ResolvedConfig.build,isRunnableDevEnvironment,HotUpdatePluginContext.environment,ViteBuilder.environments,ViteBuilder.build,HotBroadcaster.send,ResolvedConfig.server,.pathToFileURL,createServer,ConfigEnv.isSsrBuild,createHash,ConfigEnv.mode,PluginContext.resolve,Environment.name,ResolvedId.id,Dirent.parentPath,loadConfigFromFile,Dirent.path,defaultClientConditions,Dirent.isFile,ManifestChunk.file,rm,PreviewServer,ResolvedConfig.command,UserConfig.root,ResolvedServerOptions.middlewareMode,ResolvedServerOptions.watch,UserConfig.plugins,Hash.update,PluginContainer.buildStart,DevEnvironment.moduleGraph,ModuleNode.file,readdirSync,UserConfig.environments,ViteDevServer.pluginContainer,rename,ResolvedConfig.mode,version,node,ESBuildOptions",""
"vite","@types",22,51,6,129,25,2150,"global.NodeJS.Process.env,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.posix,BabelFileResult.code,BabelFileResult.map,global.NodeJS.Process.exit,path.PlatformPath.resolve,path.PlatformPath.relative,GeneratorResult.code,global.NodeJS.Process.cwd,path.PlatformPath.basename,global.NodeJS.Require.resolve,global.NonSharedBuffer.toString,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,GeneratorResult,jsesc,pick,transformAsync,path.PlatformPath.dirname,path.PlatformPath.join",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isExportDefaultDeclaration,NodePath.isVariableDeclaration,NodePath.isExportNamedDeclaration,NodePath.isFunctionDeclaration,NodePath.isIdentifier,NodePath.node,NodePath.isExpression,NodePath.scope,NodePath.replaceWith,NodePath.get,Scope.generateUidIdentifier",""
"with-props","@babel",10,14,1,21,4,2100,"importSpecifier,callExpression,variableDeclaration,identifier,ParseResult.program,variableDeclarator,importDeclaration,Program.body,stringLiteral,ParseResult",""
"cloudflare","no namespace",14,20,1,15,4,1500,"ViteDevServer.middlewares,ConfigEnv.mode,GetPlatformProxyOptions,ResolvedServerOptions.middlewareMode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.server,Plugin.name,EnvironmentOptions.resolve,ViteDevServer.config,Plugin,UserConfig.root,ResolvedConfig.plugins,Connect.Server.use",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"ViteDevServer.middlewares,ConfigEnv.mode,GetPlatformProxyOptions,ResolvedServerOptions.middlewareMode,EnvironmentResolveOptions.externalConditions,ViteDevServer.ssrLoadModule,ResolvedConfig.server,Plugin.name,EnvironmentOptions.resolve,ViteDevServer.config,Plugin,UserConfig.root,ResolvedConfig.plugins,Connect.Server.use",""
"cloudflare-dev-proxy","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"warn-on-client-source-maps","no namespace",12,14,1,12,2,1200,"ResolvedBuildEnvironmentOptions.sourcemap,ResolvedConfig.logger,ResolvedConfig.environments,Logger.warn,ResolvedConfig.mode,ResolvedConfig.build,ResolvedBuildOptions.ssr,Plugin,picocolors,ConfigEnv.command,ResolvedBuildOptions.sourcemap,ResolvedEnvironmentOptions.build",""
"run","@types",5,7,1,8,5,800,"global.NodeJS.Require.main,major,semver,global.NodeJS.Process.versions,global.NodeJS.ProcessVersions.node",""
"run","no namespace",3,4,1,8,5,800,"arg,arg.Result._,arg.Result.""--no-typescript""",""
