"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,501,1,113,5,10.891304347826086,22.350966432865757,109,1,13,1,2.369565217391304,2.497631728499566,0.15432098765432098,2.006172839506173,0.15432098765432098,0.36567364465915175,0.3854369951388218,"react-router,cookies,server,sessions",""
"@types",42,238,1,48,4,5.666666666666667,8.173922444584441,120,1,14,2,2.857142857142857,3.2577968656928977,0.15432098765432098,2.1604938271604937,0.30864197530864196,0.4409171075837743,0.5027464298908793,"react-router,context,server,utils",""
"@babel",5,52,2,17,10,10.4,6.6558245169174945,7,1,3,1,1.4,0.8944271909999159,0.15432098765432098,0.4629629629629629,0.15432098765432098,0.21604938271604937,0.138028887499987,"useJavascript,remove-exports,route-chunks,styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.15432098765432098,0.7716049382716049,0.6172839506172839,0.51440329218107,0.3212447530040328,"worker,react-router-cloudflare,workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.15432098765432098,0.15432098765432098,0.15432098765432098,0.15432098765432098,0,"react-router-architect,arcTableSessionStorage",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,0.30864197530864196,0.30864197530864196,0.30864197530864196,0.30864197530864196,0,"react-router-node,server",""
