"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel/lib",16,56,1,23,4,2300,"AssignmentExpression.left,ExportNamedDeclaration.declaration,FunctionDeclaration.id,LVal.type,ExpressionStatement.expression,ExportSpecifier.local,MemberExpression.object,ExportSpecifier.exported,ExportDefaultDeclaration.declaration,Expression.type,Identifier.name,ClassDeclaration.id,VariableDeclaration.declarations,ExportNamedDeclaration.specifiers,ExportDeclaration.type,VariableDeclarator.id",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.remove,NodePath.parentPath,NodePath.node",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"vite","node",84,148,6,129,25,2150,"UserConfig.logLevel,ResolvedBuildEnvironmentOptions.outDir,Logger.error,Connect.IncomingMessage.url,normalizePath,ResolvedEnvironmentOptions.build,PreviewServer.middlewares,Connect.Server.use,createLogger,ResolvedConfig.base,transformWithEsbuild,UserConfig.base,PluginOption,Logger.info,UserConfig.server,ResolvedConfig.environments,EnvironmentOptions.optimizeDeps,ResolvedBuildOptions.assetsDir,DevEnvironment.name,ResolvedConfig.configFile,EnvironmentOptions,ManifestChunk.css,Plugin,ResolvedConfig,ViteDevServer.ssrFixStacktrace,ViteDevServer.ssrLoadModule,ViteDevServer.transformRequest,ConfigEnv.command,EnvironmentOptions.resolve,ViteDevServer.config,RunnableDevEnvironment.runner,ManifestChunk.assets,Environment.config,ViteDevServer.hot,ResolvedConfig.logger,ViteDevServer,ViteDevServer.middlewares,Logger.warn,ModuleNode.url,ResolvedConfig.root,UserConfig.build,ViteDevServer.environments,Plugin.name,DevEnvironment.reloadModule,ResolvedConfig.build,isRunnableDevEnvironment,HotUpdatePluginContext.environment,ViteBuilder.environments,ViteBuilder.build,HotBroadcaster.send,ResolvedConfig.server,createServer,ConfigEnv.isSsrBuild,ConfigEnv.mode,Environment.name,loadConfigFromFile,defaultClientConditions,ManifestChunk.file,PreviewServer,ResolvedConfig.command,UserConfig.root,ResolvedServerOptions.middlewareMode,ResolvedServerOptions.watch,UserConfig.plugins,PluginContainer.buildStart,DevEnvironment.moduleGraph,ModuleNode.file,UserConfig.environments,ViteDevServer.pluginContainer,ResolvedConfig.mode,version,node,ESBuildOptions",""
"vite","@types/process",7,15,6,129,25,2150,"global.NodeJS.Process.env,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT",""
"vite","dist",7,23,6,129,25,2150,"dist,path.extname,path.normalize,join,path.join,relative,resolve",""
"vite","promises",7,14,6,129,25,2150,"readFile,cp,mkdir,readdir,rm,rename",""
"vite","@types/path",6,25,6,129,25,2150,"path.PlatformPath.posix,path.PlatformPath.resolve,path.PlatformPath.relative,path.PlatformPath.basename,path.PlatformPath.dirname,path.PlatformPath.join",""
"vite","fs",5,10,6,129,25,2150,"existsSync,Dirent.name,Dirent.parentPath,Dirent.path,Dirent.isFile",""
