"internalModuleName","numberOfAllInternalElements","externalModuleCount","internalElementCount","internalElementsCallingExternalRate","externalModuleExamples","internalElementExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_distribution_for_Typescript.cypher"
"react-router",178,3,21,11.797752808988765,"@types/react,dist,async_hooks","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".AwaitContextProvider,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".RSCRouteManifest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/cookies.ts"".CookieOptions,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".Await,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".getRequest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".redirectDocument,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/cookies.ts"".Cookie,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/cookies.ts"".createCookie,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".replace",""
"server",41,13,19,46.34146341463415,"async_hooks,@types/react,@types/qs,@types/express-serve-static-core,@types/express,http,@types/api-gateway-proxy,@types/APIGatewayProxyEventHeaders.""content-type,@types/process","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".redirect,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".RSCRouteManifest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".redirectDocument,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".RSCRouteConfigEntry,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".getRequest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".Await,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".replace,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-express/server.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-express/server.ts"".sendRemixResponse",""
"utils",149,12,15,10.067114093959733,"@types/react,readline,node:process,@types/process,picocolors,types,node:path,promises,node:fs","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".BaseRouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".RouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".action,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".log,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".color,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".pathContains,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".fileExists,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".setStderr,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/create-react-router/utils.ts"".clear",""
"context",21,1,13,61.904761904761905,"@types/react","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".DataRouterContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".DataRouterStateContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".AwaitContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".RouteContextObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".ViewTransitionContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".useIsRSCRouterContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".LocationContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".RSCRouterContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".AwaitContextProvider",""
"plugin",18,23,11,61.11111111111111,"picocolors,node,@types/path,promises,node:fs,@types/module,@types/kebabCase,lexer,node:crypto","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".getPrerenderPaths,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".resolveEnvironmentsOptions,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".extractPluginContext,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".cleanBuildDirectory,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".getEnvironmentOptionsResolvers,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".resolveViteConfig,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".LoadCssContents,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".getBuildManifest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/vite/plugin.ts"".cleanViteManifests",""
"routes",18,2,8,44.44444444444444,"@types/pick,dist","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".layout,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".index,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".route,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".relative,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".resolvedRouteConfigSchema,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".configRoutesToRouteManifest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".routeConfigEntrySchema,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/routes.ts"".validateRouteConfig",""
"react-router-node",7,7,7,100,"@types/stream,promises,node:fs,@types/path,@types/buffer,http,@mjackson/node-fetch-server","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/stream.ts"".createReadableStreamFromReadable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/sessions/fileStorage.ts"".createFileSessionStorage,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/server.ts"".createRequestListener,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/stream.ts"".writeReadableStreamToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/stream.ts"".readableStreamToString,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/stream.ts"".writeAsyncIterableToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-node/server.ts"".RequestListenerOptions",""
"config",14,11,5,35.714285714285715,"@types/process,dist,esm,node,picocolors,@types/isEqual,@types/module,node:child_process,node:fs","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/config.ts"".createConfigLoader,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/config.ts"".resolveRSCEntryFiles,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/config.ts"".resolveEntryFiles,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/config.ts"".isIgnoredByWatcher,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-dev/config/config.ts"".configRouteToBranchRoute",""
"react-router-cloudflare",6,1,5,83.33333333333334,"@cloudflare/workers-types","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-cloudflare/worker.ts"".createRequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-cloudflare/worker.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-cloudflare/sessions/workersKVStorage.ts"".createWorkersKVSessionStorage,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-cloudflare/worker.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router-cloudflare/worker.ts"".createPagesFunctionHandler",""
"routeModules",21,1,5,23.80952380952381,"@types/react","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".HydrateFallbackComponent,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteComponent,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".ErrorBoundaryComponent,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModule,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".LayoutComponent",""
