"packageDirectory","packageName","dependencyName","dependencyVersion","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_by_package.cypher"
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-spa","@playground/framework-spa","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-spa","@playground/framework-spa","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-spa","@playground/framework-spa","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-spa","@playground/framework-spa","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","@react-router/serve",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-5","@playground/framework-vite-5","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","@react-router/serve",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-6","@playground/framework-vite-6","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","@react-router/serve",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/framework-vite-7-beta","@playground/framework-vite-7-beta","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","@react-router/express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","compression",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","cross-env",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","morgan",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/middleware","@playground/middleware","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","@react-router/serve",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/performance","@playground/perf-routes","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","@mjackson/node-fetch-server",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","compression",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite","@playground/rsc-vite","react-server-dom-webpack",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","@mjackson/node-fetch-server",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","compression",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","react-server-dom-webpack",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-7-framework","@playground/rsc-vite-7-framework","remix-utils",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","@mjackson/node-fetch-server",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","compression",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","express",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","react-server-dom-webpack",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/rsc-vite-framework","@playground/rsc-vite-framework","remix-utils",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","@react-router/serve",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","react-dom",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules","@playground/split-route-modules","react-router",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules-spa","@playground/split-route-modules-spa","@react-router/node",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules-spa","@playground/split-route-modules-spa","isbot",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules-spa","@playground/split-route-modules-spa","react",,""
"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/./source/react-router-7.18.3/playground/split-route-modules-spa","@playground/split-route-modules-spa","react-dom",,""
