"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.15.1","copy-template",2,0,2,33,""
"react-router-7.15.1","create-react-router",2,0,0,28,""
"react-router-7.15.1","loading-indicator",1,0,1,12,""
"react-router-7.15.1","prompt",1,0,1,2,""
"react-router-7.15.1","prompts-confirm",3,0,1,5,""
"react-router-7.15.1","prompts-multi-select",2,0,1,5,""
"react-router-7.15.1","prompts-prompt-base",2,0,8,14,""
"react-router-7.15.1","prompts-select",3,0,3,6,""
"react-router-7.15.1","prompts-text",2,0,1,8,""
"react-router-7.15.1","utils",28,0,36,28,""
"react-router-7.15.1","binaryTypes",1,0,1,0,""
"react-router-7.15.1","react-router-architect",4,0,3,0,""
"react-router-7.15.1","server",6,0,3,22,""
"react-router-7.15.1","arcTableSessionStorage",1,0,1,6,""
"react-router-7.15.1","react-router-express",3,0,3,0,""
"react-router-7.15.1","server",6,0,3,18,""
"react-router-7.15.1","react-router-node",7,0,2,0,""
"react-router-7.15.1","server",2,0,2,3,""
"react-router-7.15.1","stream",4,0,4,11,""
"react-router-7.15.1","fileStorage",2,0,1,9,""
"react-router-7.15.1","config",4,0,5,0,""
"react-router-7.15.1","invariant",1,0,0,0,""
"react-router-7.15.1","manifest",2,0,2,0,""
"react-router-7.15.1","routes",8,0,9,0,""
"react-router-7.15.1","vite",2,0,0,0,""
"react-router-7.15.1","commands",5,0,5,16,""
"react-router-7.15.1","detectPackageManager",1,0,1,1,""
"react-router-7.15.1","run",1,0,0,9,""
"react-router-7.15.1","useJavascript",1,0,1,6,""
"react-router-7.15.1","config",13,0,17,40,""
"react-router-7.15.1","format",4,0,1,0,""
"react-router-7.15.1","is-react-router-repo",1,0,2,5,""
"react-router-7.15.1","routes",15,0,25,28,""
"react-router-7.15.1","context",2,0,3,0,""
"react-router-7.15.1","generate",5,0,5,24,""
"react-router-7.15.1","typegen",3,0,5,10,""
"react-router-7.15.1","params",1,0,1,0,""
"react-router-7.15.1","route",2,0,2,0,""
"react-router-7.15.1","babel",2,0,8,1,""
"react-router-7.15.1","build",2,0,1,8,""
"react-router-7.15.1","cache",2,0,4,0,""
"react-router-7.15.1","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.15.1","cloudflare",1,0,0,0,""
"react-router-7.15.1","combine-urls",1,0,1,0,""
"react-router-7.15.1","dev",2,0,1,11,""
"react-router-7.15.1","has-dependency",1,0,2,1,""
"react-router-7.15.1","has-rsc-plugin",1,0,2,3,""
"react-router-7.15.1","load-dotenv",1,0,2,4,""
"react-router-7.15.1","node-adapter",2,0,2,5,""
"react-router-7.15.1","optimize-deps-entries",1,0,2,3,""
"react-router-7.15.1","plugin",17,0,10,150,""
"react-router-7.15.1","profiler",3,0,5,9,""
"react-router-7.15.1","remove-exports",1,0,2,30,""
"react-router-7.15.1","resolve-file-url",1,0,2,5,""
"react-router-7.15.1","resolve-relative-route-file-path",1,0,2,3,""
"react-router-7.15.1","route-chunks",13,0,10,310,""
"react-router-7.15.1","ssr-externals",1,0,2,0,""
"react-router-7.15.1","styles",4,0,3,22,""
"react-router-7.15.1","virtual-module",1,0,2,0,""
"react-router-7.15.1","vite-node",2,0,2,13,""
"react-router-7.15.1","vite",4,0,21,7,""
"react-router-7.15.1","with-props",1,0,1,29,""
"react-router-7.15.1","prerender",6,0,3,17,""
"react-router-7.15.1","validate-plugin-order",1,0,2,3,""
"react-router-7.15.1","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.15.1","plugin",1,0,1,41,""
"react-router-7.15.1","virtual-route-config",1,0,1,4,""
"react-router-7.15.1","virtual-route-modules",3,0,1,3,""
"react-router-7.15.1","dom-export",7,0,19,0,""
"react-router-7.15.1","react-router",5,0,9,4,""
"react-router-7.15.1","react-router",40,0,109,4,""
"react-router-7.15.1","react-router",171,0,378,13,""
"react-router-7.15.1","actions",1,0,3,0,""
"react-router-7.15.1","context",19,0,11,10,""
"react-router-7.15.1","errors",4,0,2,0,""
"react-router-7.15.1","href",1,0,2,0,""
"react-router-7.15.1","dom",14,0,6,0,""
"react-router-7.15.1","global",2,0,0,0,""
"react-router-7.15.1","data",1,0,0,0,""
"react-router-7.15.1","entry",5,0,13,0,""
"react-router-7.15.1","errors",1,0,1,0,""
"react-router-7.15.1","fog-of-war",7,0,4,5,""
"react-router-7.15.1","invariant",1,0,0,0,""
"react-router-7.15.1","links",8,0,0,9,""
"react-router-7.15.1","markup",1,0,1,0,""
"react-router-7.15.1","routeModules",21,0,27,6,""
"react-router-7.15.1","history",25,0,40,0,""
"react-router-7.15.1","instrumentation",9,0,14,0,""
"react-router-7.15.1","links",3,0,6,0,""
"react-router-7.15.1","router",34,0,53,1,""
"react-router-7.15.1","utils",90,0,183,3,""
"react-router-7.15.1","route-modules",2,0,0,0,""
"react-router-7.15.1","server",23,0,40,17,""
"react-router-7.15.1","browser",1,0,1,0,""
"react-router-7.15.1","server",1,0,0,0,""
"react-router-7.15.1","build",5,0,11,0,""
"react-router-7.15.1","cookies",6,0,19,6,""
"react-router-7.15.1","crypto",2,0,2,0,""
"react-router-7.15.1","data",2,0,7,0,""
"react-router-7.15.1","dev",3,0,4,3,""
"react-router-7.15.1","entry",1,0,1,0,""
"react-router-7.15.1","errors",5,0,5,0,""
"react-router-7.15.1","headers",2,0,3,1,""
"react-router-7.15.1","invariant",1,0,0,0,""
"react-router-7.15.1","mode",2,0,5,0,""
"react-router-7.15.1","routeMatching",2,0,2,0,""
"react-router-7.15.1","routes",3,0,4,9,""
"react-router-7.15.1","server",3,0,4,0,""
"react-router-7.15.1","serverHandoff",2,0,2,0,""
"react-router-7.15.1","sessions",11,0,3,11,""
"react-router-7.15.1","single-fetch",8,0,5,4,""
"react-router-7.15.1","urls",1,0,3,0,""
"react-router-7.15.1","warnings",1,0,2,0,""
"react-router-7.15.1","cookieStorage",1,0,2,2,""
"react-router-7.15.1","memoryStorage",1,0,2,1,""
"react-router-7.15.1","future",2,0,3,0,""
"react-router-7.15.1","internal",2,0,0,0,""
"react-router-7.15.1","params",1,0,0,0,""
"react-router-7.15.1","register",4,0,1,0,""
"react-router-7.15.1","route-data",7,0,6,0,""
"react-router-7.15.1","route-module-annotations",1,0,1,0,""
"react-router-7.15.1","route-module",1,0,3,0,""
"react-router-7.15.1","serializes-to",1,0,1,0,""
"react-router-7.15.1","utils",6,0,1,0,""
"react-router-7.15.1","flatten",1,0,1,0,""
"react-router-7.15.1","turbo-stream",2,0,1,0,""
"react-router-7.15.1","unflatten",1,0,1,0,""
"react-router-7.15.1","utils",25,0,47,0,""
"react-router-7.15.1","defineRoutes",3,0,2,0,""
"react-router-7.15.1","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.15.1","manifest",3,0,4,0,""
"react-router-7.15.1","normalizeSlashes",1,0,1,3,""
"react-router-7.15.1","flatRoutes",13,0,1,15,""
"react-router-7.15.1","react-router-fs-routes",1,0,0,5,""
"react-router-7.15.1","manifest",3,0,3,0,""
"react-router-7.15.1","normalizeSlashes",1,0,2,3,""
"react-router-7.15.1","react-router-cloudflare",6,0,0,0,""
"react-router-7.15.1","worker",5,0,5,18,""
"react-router-7.15.1","workersKVStorage",1,0,1,5,""
