"filesPerCommit","commitCount","Source Cypher File: GitLog/List_git_files_per_commit_distribution.cypher"
1,4538,""
2,1915,""
3,850,""
4,550,""
5,382,""
6,273,""
7,226,""
8,187,""
9,136,""
10,110,""
11,92,""
12,97,""
13,109,""
14,127,""
15,169,""
16,69,""
17,58,""
18,53,""
19,75,""
20,55,""
21,38,""
22,63,""
23,30,""
24,31,""
25,37,""
26,28,""
27,28,""
28,24,""
29,28,""
30,21,""
31,18,""
32,22,""
33,18,""
34,13,""
35,16,""
36,27,""
37,13,""
38,13,""
39,11,""
40,23,""
41,12,""
42,12,""
43,19,""
44,19,""
45,15,""
46,15,""
47,6,""
48,12,""
49,10,""
50,8,""
51,10,""
52,8,""
53,12,""
54,7,""
55,12,""
56,6,""
57,13,""
58,14,""
59,7,""
60,7,""
61,3,""
62,7,""
63,8,""
64,9,""
65,8,""
66,5,""
67,4,""
68,5,""
69,6,""
70,6,""
71,8,""
72,4,""
73,4,""
74,5,""
75,3,""
76,5,""
77,4,""
78,3,""
79,4,""
80,8,""
81,3,""
82,7,""
83,11,""
84,8,""
85,4,""
86,7,""
87,5,""
88,2,""
89,2,""
90,3,""
91,4,""
92,9,""
93,2,""
94,6,""
95,3,""
96,2,""
97,3,""
98,2,""
99,5,""
100,5,""
101,3,""
102,1,""
103,3,""
104,4,""
105,5,""
106,7,""
107,1,""
108,3,""
109,1,""
110,7,""
111,3,""
112,2,""
113,4,""
114,4,""
116,1,""
117,1,""
118,5,""
119,1,""
120,3,""
121,2,""
122,1,""
125,1,""
126,1,""
127,1,""
128,5,""
129,3,""
131,2,""
132,2,""
133,2,""
136,1,""
138,1,""
139,2,""
140,2,""
141,1,""
142,3,""
143,1,""
144,1,""
145,2,""
146,2,""
148,3,""
149,2,""
150,3,""
151,3,""
152,2,""
153,3,""
154,2,""
155,1,""
157,2,""
159,2,""
160,2,""
161,1,""
162,1,""
163,3,""
164,1,""
167,1,""
171,1,""
173,1,""
174,1,""
176,4,""
177,1,""
179,1,""
180,4,""
181,3,""
182,2,""
183,1,""
184,2,""
186,3,""
187,2,""
189,1,""
192,1,""
193,3,""
194,2,""
196,3,""
198,1,""
201,1,""
202,1,""
203,1,""
205,1,""
207,1,""
211,2,""
212,1,""
215,2,""
217,1,""
218,1,""
219,1,""
221,2,""
225,2,""
227,2,""
231,1,""
232,1,""
236,3,""
238,2,""
239,1,""
240,1,""
241,3,""
244,1,""
245,2,""
246,1,""
248,1,""
255,1,""
261,2,""
263,2,""
270,1,""
274,1,""
278,1,""
280,2,""
281,1,""
282,1,""
284,4,""
286,1,""
288,1,""
292,1,""
296,1,""
298,1,""
299,2,""
302,1,""
304,1,""
306,1,""
308,1,""
314,1,""
318,1,""
319,2,""
321,2,""
322,1,""
324,1,""
325,2,""
327,2,""
333,1,""
334,1,""
335,1,""
336,1,""
338,1,""
340,1,""
343,2,""
345,1,""
349,1,""
353,1,""
358,1,""
359,2,""
371,2,""
375,1,""
381,1,""
383,2,""
387,1,""
391,2,""
393,1,""
400,1,""
411,1,""
422,1,""
428,1,""
429,1,""
431,1,""
432,1,""
434,1,""
438,2,""
444,1,""
445,1,""
447,1,""
449,1,""
455,1,""
457,2,""
474,1,""
497,1,""
507,1,""
519,1,""
520,1,""
521,1,""
522,1,""
537,1,""
546,1,""
552,1,""
556,1,""
559,1,""
563,1,""
564,1,""
569,1,""
570,1,""
580,1,""
582,1,""
586,1,""
591,2,""
595,1,""
623,1,""
624,1,""
629,1,""
638,1,""
642,2,""
648,1,""
651,1,""
660,1,""
662,1,""
664,1,""
714,1,""
747,2,""
748,1,""
750,1,""
755,1,""
757,1,""
762,1,""
763,1,""
764,1,""
765,2,""
785,1,""
807,1,""
809,1,""
848,1,""
915,1,""
1001,1,""
1040,1,""
1060,1,""
1085,1,""
1095,1,""
1133,1,""
1152,1,""
1159,2,""
1163,1,""
1200,2,""
1361,1,""
1399,1,""
1406,1,""
1412,1,""
1863,1,""
1961,1,""
1983,1,""
2114,1,""
2146,1,""
2152,1,""
2153,1,""
2159,1,""
2160,3,""
2167,2,""
2176,1,""
2178,1,""
