"dependencyWeight","commitCount","fileDistanceAsFewestChangeDirectoryCommands","Source Cypher File: GitLog/List_pairwise_changed_files_with_dependencies.cypher"
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,12,,""
1,13,,""
1,13,,""
1,13,,""
1,13,,""
1,14,,""
1,14,,""
1,15,,""
1,15,,""
1,15,,""
1,16,,""
1,17,,""
1,17,,""
1,18,,""
1,18,,""
1,18,,""
1,19,,""
1,19,,""
1,21,,""
1,21,,""
1,22,,""
1,22,,""
1,22,,""
1,25,,""
1,25,,""
1,27,,""
1,28,,""
1,28,,""
1,30,,""
1,30,,""
1,31,,""
1,36,,""
1,42,,""
2,12,,""
2,13,,""
2,13,,""
2,13,,""
2,14,,""
2,15,,""
2,15,,""
2,15,,""
2,15,,""
2,16,,""
2,16,,""
2,16,,""
2,17,,""
2,18,,""
2,19,,""
2,19,,""
2,19,,""
2,20,,""
2,21,,""
2,22,,""
2,22,,""
2,24,,""
2,24,,""
2,25,,""
2,26,,""
2,28,,""
2,30,,""
2,30,,""
2,34,,""
2,41,,""
2,49,,""
2,53,,""
2,61,,""
3,13,,""
3,18,,""
3,21,,""
3,22,,""
3,24,,""
3,25,,""
3,28,,""
3,38,,""
3,42,,""
4,12,,""
4,19,,""
4,19,,""
4,19,,""
4,20,,""
4,21,,""
4,22,,""
4,42,,""
4,51,,""
4,55,,""
5,12,,""
5,13,,""
5,13,,""
5,13,,""
5,15,,""
5,16,,""
5,20,,""
5,23,,""
5,26,,""
5,31,,""
5,37,,""
5,50,,""
5,74,,""
6,13,,""
6,13,,""
6,15,,""
6,18,,""
6,20,,""
6,26,,""
6,28,,""
7,15,,""
7,22,,""
7,81,,""
8,15,,""
9,12,,""
9,13,,""
9,14,,""
9,21,,""
10,15,,""
10,17,,""
10,24,,""
10,28,,""
10,30,,""
10,49,,""
10,50,,""
11,17,,""
11,28,,""
11,40,,""
12,14,,""
12,14,,""
12,14,,""
13,13,,""
13,14,,""
13,19,,""
13,47,,""
14,91,,""
15,12,,""
15,26,,""
15,71,,""
16,12,,""
16,14,,""
16,17,,""
16,20,,""
20,16,,""
20,54,,""
20,94,,""
21,21,,""
23,16,,""
26,19,,""
26,43,,""
26,55,,""
34,17,,""
35,27,,""
35,31,,""
45,72,,""
47,95,,""
51,60,,""
53,18,,""
67,29,,""
107,14,,""
117,14,,""
154,49,,""
