"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","authorityRank","bottleneckRank","bridgeRank","hubRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-messaging-5.0.2","Message","org.axonframework.messaging.core.Message",1,0.11846114798410173,0,1,0,4,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.28714157647605576,-0.16582233420698753,-0.14770104639891438,""
"axon-messaging-5.0.2","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",2,0.09424032840243673,0,3,0,1,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.2954362948748849,-0.16724352369030937,-0.14129973350621938,""
"axon-common-5.0.2","TypeReference","org.axonframework.common.TypeReference",3,0.08568116719954683,1,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.33072752859735155,-0.2151563719856264,-0.17587725338809718,""
"axon-common-5.0.2","DescribableComponent","org.axonframework.common.infra.DescribableComponent",4,0.07767946383479901,4,0,0,5,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3318741370750648,-0.2152262346115893,-0.1652228235222816,""
"axon-messaging-5.0.2","MessageStream","org.axonframework.messaging.core.MessageStream",5,0.06420775774090265,0,2,0,8,0,0,"articleRank","pageRank","degree",-0.29627453257770453,-0.15644081293543763,-0.11497037605229221,""
"axon-messaging-5.0.2","QualifiedName","org.axonframework.messaging.core.QualifiedName",6,0.05166236305934063,0,4,0,0,0,0,"articleRank","pageRank","degree",-0.31009394314696326,-0.14659998242781683,-0.12455705304620651,""
"axon-conversion-5.0.2","Converter","org.axonframework.conversion.Converter",7,0.04967416075646186,0,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3607556603521915,-0.24276970000697454,-0.17570744059896304,""
"axon-messaging-5.0.2","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",8,0.047357294449452525,0,10,0,3,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.29807752533123144,-0.16242438802786974,-0.12230703078239931,""
"axon-messaging-5.0.2","MessageType","org.axonframework.messaging.core.MessageType",9,0.04213555410901498,0,6,0,0,0,0,"articleRank","degree","betweenness",-0.3069837702040509,-0.1376555507105286,-0.12343797278632186,""
"axon-common-5.0.2","Assert","org.axonframework.common.Assert",10,0.03997745695727278,0,0,0,9,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3678137005620869,-0.2116642243983515,-0.15069690149997803,""
"axon-spring-boot-autoconfigure-5.0.2","ConverterAutoConfiguration","org.axonframework.extension.springboot.autoconfig.ConverterAutoConfiguration",11,0.039921963699462715,0,0,10,0,0,0,"nodeEmbeddingPCA_19","nodeEmbeddingPCA_23","nodeEmbeddingPCA_21",-0.2356100085955185,-0.20519632209439742,-0.13415149789683717,""
"axon-common-5.0.2","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",12,0.035042251760443566,5,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3221219840746675,-0.1942606680561797,-0.14784701351442797,""
"axon-common-5.0.2","ReflectionUtils","org.axonframework.common.ReflectionUtils",13,0.03482481515227548,0,5,0,0,0,0,"betweenness","pageToArticleRankDifference","pageRank",-0.20494451841609215,-0.11743195097665747,-0.061923263227994386,""
"axon-common-5.0.2","Internal","org.axonframework.common.annotation.Internal",14,0.03392438123668856,0,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3046526006008171,-0.1712547799480743,-0.13035734476960392,""
"axon-eventsourcing-5.0.2","Position","org.axonframework.eventsourcing.eventstore.Position",15,0.029678044251600533,0,0,0,0,0,0,"pageRank","pageToArticleRankDifference","nodeEmbeddingPCA_15",-0.2444342575679149,-0.2096311067544622,-0.04527404061417692,""
"axon-messaging-5.0.2","Context$ResourceKey","org.axonframework.messaging.core.Context$ResourceKey",16,0.02774118233139128,0,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3396759808806895,-0.22646538419216883,-0.15507831254416934,""
"axon-eventsourcing-5.0.2","StartPosition","org.axonframework.eventsourcing.eventstore.StartPosition",17,0.026006585079499323,0,0,0,0,0,0,"pageRank","pageToArticleRankDifference","nodeEmbeddingPCA_15",-0.24161645567564832,-0.20616777666214753,-0.059630939179511615,""
"axon-spring-boot-autoconfigure-5.0.2","ObjectMapperAutoConfiguration$JacksonConfiguredCondition","org.axonframework.extension.springboot.autoconfig.ObjectMapperAutoConfiguration$JacksonConfiguredCondition",18,0.025881414953225435,0,0,0,0,0,0,"nodeEmbeddingPCA_19","pageToArticleRankDifference","nodeEmbeddingPCA_29",-0.18755824896889486,-0.13993734113589387,-0.09364245992726211,""
"axon-messaging-5.0.2","Context","org.axonframework.messaging.core.Context",19,0.025416262867103356,0,9,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3394753548990908,-0.22239713955850426,-0.16043184205954972,""
"axon-common-5.0.2","AxonException","org.axonframework.common.AxonException",20,0.02530913689065567,6,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.36628069141950786,-0.23768912101623166,-0.1899247186273504,""
"axon-messaging-5.0.2","MessageStream$Entry","org.axonframework.messaging.core.MessageStream$Entry",21,0.024354364552471808,0,0,0,0,0,0,"articleRank","pageRank","degree",-0.33844841780358165,-0.1643760585461344,-0.12885970907855263,""
"axon-common-5.0.2","TypeReference$2","org.axonframework.common.TypeReference$2",22,0.022227969399428893,3,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3615005863260505,-0.26615855460693594,-0.2036485044954193,""
"axon-common-5.0.2","TypeReference$1","org.axonframework.common.TypeReference$1",22,0.022227969399428893,2,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3615005863260505,-0.26615855460693594,-0.2036485044954193,""
