"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-common-5.0.2","ObjectUtils","org.axonframework.common.ObjectUtils",1,0.9440613079479494,1,""
"axon-messaging-5.0.2","DistributedCommandBus$DistributedHandler","org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus$DistributedHandler",1,0.8853900166392623,2,""
"axon-messaging-5.0.2","RemoteNonTransientHandlingException","org.axonframework.messaging.core.RemoteNonTransientHandlingException",1,0.870663433479281,3,""
"axon-messaging-5.0.2","UnitOfWorkTimeoutInterceptorBuilder","org.axonframework.messaging.core.timeout.UnitOfWorkTimeoutInterceptorBuilder",1,0.8581279439185946,4,""
"axon-messaging-5.0.2","EventCriterion","org.axonframework.messaging.eventstreaming.EventCriterion",1,0.6889764228098265,5,""
"axon-messaging-5.0.2","DelegatingMessageConverter","org.axonframework.messaging.core.conversion.DelegatingMessageConverter",1,0.6807275652017379,6,""
"axon-messaging-5.0.2","TrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken",1,0.6710776365344104,7,""
"axon-messaging-5.0.2","RetryScheduler","org.axonframework.messaging.core.retry.RetryScheduler",1,0.6708617740755198,8,""
"axon-spring-boot-autoconfigure-5.0.2","JpaEventStoreAutoConfiguration","org.axonframework.extension.springboot.autoconfig.JpaEventStoreAutoConfiguration",1,0.6511190375460536,9,""
"axon-test-5.0.2","ExactClassMatcher","org.axonframework.test.matchers.ExactClassMatcher",1,0.6301265912063052,10,""
