"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialOverEngineerOrIsolated.cypher"
"org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$1","AggregateBasedJpaEventStorageEngine$1","axon-eventsourcing-5.0.2",1,0.1522656821974873,3,1,2,""
"org.axonframework.common.configuration.DefaultComponentRegistry$1","DefaultComponentRegistry$1","axon-common-5.0.2",1,0.15340495537584029,3,1,2,""
"org.axonframework.common.configuration.DuplicateModuleRegistrationException","DuplicateModuleRegistrationException","axon-common-5.0.2",1,0.15340495537584029,2,1,1,""
"org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException","WrongPolymorphicEntityTypeException","axon-modelling-5.0.2",1,0.15382025971021146,2,1,1,""
"org.axonframework.modelling.RepositoryAlreadyRegisteredException","RepositoryAlreadyRegisteredException","axon-modelling-5.0.2",1,0.15471359671522625,2,1,1,""
"org.axonframework.messaging.eventhandling.NoHandlerForEventException","NoHandlerForEventException","axon-messaging-5.0.2",1,0.15483542592866534,2,1,1,""
"org.axonframework.messaging.core.DelayedMessageStream$Empty","DelayedMessageStream$Empty","axon-messaging-5.0.2",1,0.15486902783367207,4,1,3,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$NoToken","Coordinator$NoToken","axon-messaging-5.0.2",1,0.1551543319632318,3,2,1,""
"org.axonframework.update.detection.KotlinVersion","KotlinVersion","axon-update-5.0.2",1,0.15543907241753147,2,1,1,""
"org.axonframework.messaging.commandhandling.gateway.FutureCommandResult","FutureCommandResult","axon-messaging-5.0.2",1,0.15582818217750274,3,1,2,""
"org.axonframework.common.configuration.HierarchicalConfiguration","HierarchicalConfiguration","axon-common-5.0.2",0.8333333333333334,0.1517024776879202,4,1,3,""
"org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$1","DefaultDispatchInterceptorRegistry$1","axon-messaging-5.0.2",0.8333333333333334,0.15431670559509353,5,1,4,""
"org.axonframework.messaging.core.interception.DefaultHandlerInterceptorRegistry$1","DefaultHandlerInterceptorRegistry$1","axon-messaging-5.0.2",0.8333333333333334,0.15447211306280953,5,1,4,""
"org.axonframework.messaging.eventhandling.sequencing.HierarchicalSequencingPolicy","HierarchicalSequencingPolicy","axon-messaging-5.0.2",0.8333333333333334,0.15483542592866534,4,1,3,""
