"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.2","Message","org.axonframework.messaging.core.Message",9877.16522366522,1,""
"axon-messaging-5.0.2","MessageStream","org.axonframework.messaging.core.MessageStream",9538.26960735343,2,""
"axon-messaging-5.0.2","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",6728.058730158729,3,""
"axon-messaging-5.0.2","QualifiedName","org.axonframework.messaging.core.QualifiedName",4734.209574738985,4,""
"axon-common-5.0.2","ReflectionUtils","org.axonframework.common.ReflectionUtils",4368.883333333333,5,""
"axon-messaging-5.0.2","MessageType","org.axonframework.messaging.core.MessageType",4144.367697988288,6,""
"axon-modelling-5.0.2","AnnotatedEntityMetamodel","org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",3168.35,7,""
"axon-messaging-5.0.2","ProcessingLifecycle","org.axonframework.messaging.core.unitofwork.ProcessingLifecycle",2276.1825396825475,8,""
"axon-messaging-5.0.2","Context","org.axonframework.messaging.core.Context",2032.4333333333338,9,""
"axon-messaging-5.0.2","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",1994.3698412698407,10,""
