"codeUnitName","shortCodeUnitName","projectName","betweenness","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionFragileStructuralBridges.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.2",9877.165223665223,0.03266145619086796,221,215,6,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.2",9538.269607353428,0.047230571060541,153,132,21,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.2",6728.058730158731,0.021794574542082078,230,225,5,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.2",4734.209574738986,0.05868544600938967,72,69,3,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-common-5.0.2",4368.883333333334,0.054187192118226604,29,25,4,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.2",4144.367697988286,0.0780399274047187,58,55,3,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.2",1994.3698412698413,0.027213012198936504,139,136,3,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.2",1366,0.07439024390243902,43,41,2,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.2",1107.3666666666663,0.06884057971014493,24,23,1,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.2",744.1119047619048,0.04936936936936937,75,72,3,""
"org.axonframework.axonserver.connector.ErrorCode","ErrorCode","axon-server-connector-5.0.2",709.0333333333333,0.04710144927536232,27,8,19,""
"org.axonframework.messaging.core.configuration.MessagingConfigurationDefaults","MessagingConfigurationDefaults","axon-messaging-5.0.2",694.2888888888888,0.05786090005844535,59,1,58,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.2",644.75,0.0425531914893617,47,46,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.2",584.3666666666669,0,16,15,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-common-5.0.2",486.590909090909,0.021848739495798318,35,32,3,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.2",410.8666666666667,0.06648936170212766,48,47,1,""
