"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: Artifact_Dependencies/Most_used_internal_dependencies_acreoss_artifacts.cypher"
"axon-messaging-4.12.1",43,389,58,339,32.46,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.gateway,org.axonframework.common","CommandCallback,CommandMessageHandlingMember,LoggingDuplicateCommandHandlerResolver,DuplicateCommandHandlerResolver,GenericCommandMessage",""
"axon-modelling-4.12.1",12,58,8,52,25.93,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.inmemory","Repository,Aggregate,AggregateNotFoundException,RepositoryProvider,RepositorySpanFactory",""
"axon-configuration-4.12.1",8,30,1,15,66.67,"org.axonframework.config","EventProcessingConfigurer$SubscribableMessageSourceDefinitionBuilder,EventProcessingConfigurer$PooledStreamingProcessorConfiguration,EventProcessingConfigurer$DeadLetteringInvokerConfiguration,EventProcessingModule,DefaultConfigurer",""
"axon-eventsourcing-4.12.1",7,28,6,35,21.05,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.snapshotting","Snapshotter,SnapshotterSpanFactory,SnapshotTriggerDefinition,EventSourcingRepository$Builder,DefaultSnapshotterSpanFactory$Builder",""
"axon-server-connector-4.12.1",3,8,4,26,30.77,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.command","ManagedChannelCustomizer,TopologyChangeListener,AxonServerConfiguration$PersistentStreamSettings,AxonServerConfiguration,AxonServerConnectionManager$Builder",""
"axon-tracing-opentelemetry-4.12.1",1,1,1,2,0,"org.axonframework.tracing.opentelemetry","OpenTelemetrySpanFactory$Builder,OpenTelemetrySpanFactory",""
"axon-disruptor-4.12.1",1,1,1,1,0,"org.axonframework.disruptor.commandhandling","DisruptorCommandBus",""
"axon-test-4.12.1",1,2,1,1,0,"org.axonframework.test.server","AxonServerContainer",""
