"dependencyArtifactName","dependencyTypeIsInterface","usedInArtifacts","usedInPackages","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: Artifact_Dependencies/Usage_and_spread_of_internal_artifact_dependencies.cypher"
"axon-common-5.0.2",true,7,63,28.571428571428573,100,69.78338703902614,27.588895622592897,75,2,37,9,12.569805089976535,4,13.88888888888889,33.33333333333333,23.00498568162591,6.197599660236692,22.22222222222222,""
"axon-common-5.0.2",false,8,82,28.571428571428573,100,81.50062656641603,23.812132397097297,85.71428571428572,2,50,10.25,16.12230043847873,5,4.166666666666666,86.95652173913044,32.640544220299276,24.671698523031974,24.731182795698924,""
"axon-conversion-5.0.2",true,1,10,17.543859649122805,17.543859649122805,17.543859649122805,0,17.543859649122805,10,10,10,0,10,5.263157894736842,5.263157894736842,5.263157894736842,0,5.263157894736842,""
"axon-conversion-5.0.2",false,1,4,7.017543859649122,7.017543859649122,7.017543859649122,0,7.017543859649122,4,4,4,0,4,0.7017543859649122,0.7017543859649122,0.7017543859649122,0,0.7017543859649122,""
"axon-eventsourcing-5.0.2",true,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-eventsourcing-5.0.2",false,1,2,40,40,40,0,40,2,2,2,0,2,11.11111111111111,11.11111111111111,11.11111111111111,0,11.11111111111111,""
"axon-messaging-5.0.2",true,4,23,80,100,90,11.547005383792516,80,4,8,5.75,2.0615528128088303,4,34.72222222222222,47.31182795698925,42.320946686004135,5.739959074916795,41.0958904109589,""
"axon-messaging-5.0.2",false,5,23,28.571428571428573,100,69.71428571428571,33.600291543924655,80,2,8,4.6,2.7928480087537886,4,11.11111111111111,29.166666666666664,21.021722545142783,8.779073091694416,23.655913978494624,""
"axon-modelling-5.0.2",true,1,3,37.5,37.5,37.5,0,37.5,3,3,3,0,3,11.538461538461538,11.538461538461538,11.538461538461538,0,11.538461538461538,""
"axon-modelling-5.0.2",false,1,2,25,25,25,0,25,2,2,2,0,2,3.8461538461538463,3.8461538461538463,3.8461538461538463,0,3.8461538461538463,""
"axon-server-connector-5.0.2",false,1,3,42.85714285714286,42.85714285714286,42.85714285714286,0,42.85714285714286,3,3,3,0,3,6.944444444444445,6.944444444444445,6.944444444444445,0,6.944444444444445,""
"axon-update-5.0.2",true,1,2,28.571428571428573,28.571428571428573,28.571428571428573,0,28.571428571428573,2,2,2,0,2,5.555555555555555,5.555555555555555,5.555555555555555,0,5.555555555555555,""
