"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1670,"org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(1),org.axonframework.test.aggregate.AggregateTestFixture$DefaultRepositoryProvider.repositoryFor(0),org.axonframework.test.aggregate.AggregateTestFixture$ExecutionExceptionAwareCallback.onResult(0),org.axonframework.test.aggregate.AggregateTestFixture$ExecutionExceptionAwareCallback.onResult(1)",""
"java.lang.Deprecated","Method",133,"org.axonframework.test.matchers.Matchers.equalTo,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeElapses,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.andThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.whenThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.andThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.whenThenTimeAdvancesTo,org.axonframework.test.aggregate.Reporter.reportWrongEvent,org.axonframework.test.aggregate.ResultValidator.expectDeadlinesMetMatching",""
"org.springframework.context.annotation.Bean","Method",129,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializer,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.messageSerializer,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.eventSerializer,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializerConfigurer,org.axonframework.springboot.autoconfig.AxonAutoConfiguration.messageOriginProvider,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration.axonServerConnectionDetails,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration.platformConnectionManager,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerHealthIndicator,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerStatusAggregator",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",82,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration.messageOriginProvider,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration.axonServerConnectionDetails,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerHealthIndicator,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerStatusAggregator,org.axonframework.springboot.autoconfig.OpenTelemetryAutoConfiguration.spanFactory,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.usagePropertyProvider,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateCheckerHttpClient,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateCheckerReporter,org.axonframework.springboot.autoconfig.UpdateCheckerAutoConfiguration.updateChecker",""
"java.lang.FunctionalInterface","Interface",68,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.eventscheduler.EventConsumer,org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.LastSequenceNumberForStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder",""
"javax.annotation.Nullable","Parameter",62,"org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2),org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(2),org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails.<init>(3)",""
"javax.annotation.Nonnull","Method",60,"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.subscribe,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.schedule,org.axonframework.test.deadline.StubDeadlineManager.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.registerHandlerInterceptor,org.axonframework.disruptor.commandhandling.DisruptorCommandBus.registerDispatchInterceptor,org.axonframework.commandhandling.gateway.DefaultCommandGateway.registerDispatchInterceptor,org.axonframework.eventhandling.GenericEventMessage.getTimestamp,org.axonframework.eventhandling.MultiEventHandlerInvoker.delegates",""
"java.lang.annotation.Retention","Annotation",44,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch",""
"java.lang.annotation.Target","Annotation",44,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch",""
"java.lang.Deprecated","Class",43,"org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.test.utils.AutowiredResourceInjector,org.axonframework.test.server.AxonServerSEContainer,org.axonframework.test.server.AxonServerEEContainer,org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine",""
