"projectName","shortCodeUnitName","codeUnitName","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeHub.cypher"
"axon-messaging-5.0.3","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",0.02202392253654832,232,227,5,1,""
"axon-common-5.0.3","BuilderUtils","org.axonframework.common.BuilderUtils",0.023529411764705882,35,32,3,2,""
"axon-messaging-5.0.3","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",0.027886710239651415,136,133,3,3,""
"axon-messaging-5.0.3","Message","org.axonframework.messaging.core.Message",0.030696490270958356,235,229,6,4,""
"axon-common-5.0.3","Configuration","org.axonframework.common.configuration.Configuration",0.04309842748980781,102,99,3,5,""
"axon-common-5.0.3","DescribableComponent","org.axonframework.common.infra.DescribableComponent",0.04440333024976873,47,46,1,6,""
"axon-common-5.0.3","Assert","org.axonframework.common.Assert",0.04634581105169341,34,33,1,7,""
"axon-messaging-5.0.3","MessageStream","org.axonframework.messaging.core.MessageStream",0.0467104577207799,155,134,21,8,""
"axon-server-connector-5.0.3","ErrorCode","org.axonframework.axonserver.connector.ErrorCode",0.04710144927536232,27,8,19,9,""
"axon-common-5.0.3","ReflectionUtils","org.axonframework.common.ReflectionUtils",0.05057471264367816,30,26,4,10,""
