"projectName","shortCodeUnitName","codeUnitName","nodeEmbeddingTop3SHAPValueSum","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBridge.cypher"
"axon-update-5.0.3","UpdateCheckResponse","org.axonframework.update.api.UpdateCheckResponse",-0.8572828120107711,1,""
"axon-update-5.0.3","LoggingUpdateCheckerReporter","org.axonframework.update.LoggingUpdateCheckerReporter",-0.8440662476932667,2,""
"axon-update-5.0.3","ArtifactAvailableUpgrade","org.axonframework.update.api.ArtifactAvailableUpgrade",-0.8392457578355139,3,""
"axon-update-5.0.3","DetectedVulnerabilitySeverity","org.axonframework.update.api.DetectedVulnerabilitySeverity",-0.8287556067788916,4,""
"axon-update-5.0.3","DetectedVulnerability","org.axonframework.update.api.DetectedVulnerability",-0.8103484320365917,5,""
"axon-test-5.0.3","MessageMonitorReport$Report","org.axonframework.test.util.MessageMonitorReport$Report",-0.40138729862549594,6,""
"axon-test-5.0.3","ProvidedAxonTestFixture","org.axonframework.test.extension.ProvidedAxonTestFixture",-0.3777592848704267,7,""
"axon-messaging-5.0.3","CommandBusConnector$Handler","org.axonframework.messaging.commandhandling.distributed.CommandBusConnector$Handler",-0.3748759744836446,8,""
"axon-spring-boot-autoconfigure-5.0.3","ConverterAutoConfiguration","org.axonframework.extension.springboot.autoconfig.ConverterAutoConfiguration",-0.3623240947674928,9,""
"axon-update-5.0.3","UsagePropertyProvider","org.axonframework.update.configuration.UsagePropertyProvider",-0.3621556547588417,10,""
