"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements.cypher"
"org.jspecify.annotations.NullMarked","Interface",124,"org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info,org.axonframework.eventsourcing.eventstore.jpa.package-info,org.axonframework.eventsourcing.annotation.package-info",""
"org.axonframework.common.annotation.Internal","Class",91,"org.axonframework.eventsourcing.handler.SimpleEntityLifecycleHandler,org.axonframework.eventsourcing.handler.InitializingEntityEvolver,org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler,org.axonframework.eventsourcing.eventstore.InterceptingEventStore,org.axonframework.eventsourcing.eventstore.StreamSpliterator,org.axonframework.eventsourcing.eventstore.ContinuousMessageStream,org.axonframework.eventsourcing.eventstore.TerminalEventMessage,org.axonframework.eventsourcing.eventstore.SnapshotEventMessage,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine",""
"java.lang.FunctionalInterface","Interface",57,"org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.TagResolver,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier,org.axonframework.common.Registration,org.axonframework.common.property.Property,org.axonframework.common.infra.DescribableComponent,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.common.jdbc.ConnectionProvider",""
"java.lang.annotation.Retention","Annotation",43,"org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.annotation.Snapshotting,org.axonframework.eventsourcing.annotation.reflection.EntityCreator,org.axonframework.eventsourcing.annotation.EventSourcedEntity,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.common.Priority",""
"java.lang.annotation.Target","Annotation",43,"org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.annotation.Snapshotting,org.axonframework.eventsourcing.annotation.reflection.EntityCreator,org.axonframework.eventsourcing.annotation.EventSourcedEntity,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.common.Priority",""
"org.axonframework.common.annotation.Internal","Interface",26,"org.axonframework.eventsourcing.snapshot.store.SnapshotStore,org.axonframework.eventsourcing.handler.SourcingHandler,org.axonframework.eventsourcing.eventstore.EventStorageEngine,org.axonframework.eventsourcing.eventstore.EventCoordinator,org.axonframework.update.configuration.UsagePropertyProvider,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.tx.TransactionalExecutor,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.common.configuration.ExtensibleConfigurer",""
"org.axonframework.common.annotation.Internal","Constructor",19,"org.axonframework.eventsourcing.eventstore.InterceptingEventStore.<init>,org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition.<init>,org.axonframework.eventsourcing.eventstore.GlobalIndexPosition.<init>,org.axonframework.conversion.jackson.JacksonConverter.<init>,org.axonframework.conversion.jackson2.Jackson2Converter.<init>,org.axonframework.conversion.avro.AvroConverter.<init>,org.axonframework.messaging.eventhandling.InterceptingEventBus.<init>,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration.<init>,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer.<init>",""
"java.lang.annotation.Documented","Annotation",15,"org.axonframework.eventsourcing.annotation.Snapshotting,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.common.annotation.Internal,org.axonframework.common.annotation.RegistrationScope,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.messaging.commandhandling.annotation.CommandHandler,org.axonframework.messaging.eventhandling.replay.annotation.AllowReplay,org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay,org.axonframework.messaging.eventhandling.annotation.EventHandler",""
"org.springframework.context.annotation.Bean","Method",15,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerHealthIndicator,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerStatusAggregator,io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration.disablePostgresqlConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.disableAxonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.tagsConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.topologyChangeListenerConfigurerModule",""
"java.lang.Deprecated","Method",13,"org.axonframework.eventsourcing.eventstore.SourcingCondition.start,org.axonframework.test.fixture.AxonTestThenCommand.resultMessagePayloadSatisfies,org.axonframework.test.fixture.AxonTestPhase$Then$Command.resultMessagePayloadSatisfies,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.getQueryResponseThreads,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.setQueryResponseThreads,org.axonframework.messaging.eventhandling.configuration.DefaultEventHandlingComponentsConfigurer.declarative,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase.declarative,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer$ComponentsPhase.autodetected,org.axonframework.messaging.core.GenericResultMessage.asResultMessage",""
