"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements_per_artifact.cypher"
"axon-common-5.1.2","org.jspecify.annotations.NullMarked","Interface",15,"org.axonframework.common.io.package-info,org.axonframework.common.annotation.package-info,org.axonframework.common.property.package-info,org.axonframework.common.jdbc.package-info,org.axonframework.common.package-info,org.axonframework.common.util.package-info,org.axonframework.common.caching.package-info,org.axonframework.common.tx.package-info,org.axonframework.common.digest.package-info",""
"axon-common-5.1.2","java.lang.FunctionalInterface","Interface",12,"org.axonframework.common.property.Property,org.axonframework.common.Registration,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.common.util.ExecutorServiceFactory,org.axonframework.common.infra.DescribableComponent,org.axonframework.common.lock.LockFactory,org.axonframework.common.configuration.ConfigurationEnhancer",""
"axon-common-5.1.2","org.axonframework.common.annotation.Internal","Class",7,"org.axonframework.common.jdbc.ConnectionExecutor,org.axonframework.common.jdbc.JdbcUtils,org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.common.configuration.LazyInitializedComponentDefinition,org.axonframework.common.configuration.ConfigurationExtensions,org.axonframework.common.configuration.InstantiatedComponentDefinition,org.axonframework.common.configuration.Components",""
"axon-common-5.1.2","org.axonframework.common.annotation.Internal","Interface",7,"org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.tx.TransactionalExecutor,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.common.configuration.ExtensibleConfigurer,org.axonframework.common.configuration.ConfigurationExtension,org.axonframework.common.configuration.Component,org.axonframework.common.configuration.ExtendedConfiguration",""
"axon-common-5.1.2","java.lang.annotation.Retention","Annotation",3,"org.axonframework.common.annotation.Internal,org.axonframework.common.annotation.RegistrationScope,org.axonframework.common.Priority",""
"axon-common-5.1.2","java.lang.annotation.Target","Annotation",3,"org.axonframework.common.annotation.Internal,org.axonframework.common.annotation.RegistrationScope,org.axonframework.common.Priority",""
"axon-common-5.1.2","java.lang.annotation.Documented","Annotation",2,"org.axonframework.common.annotation.Internal,org.axonframework.common.annotation.RegistrationScope",""
"axon-common-5.1.2","org.axonframework.common.annotation.Internal","Method",2,"org.axonframework.common.configuration.DefaultComponentRegistry.create,org.axonframework.common.configuration.DefaultComponentRegistry.createLocalConfiguration",""
"axon-common-5.1.2","java.lang.annotation.Inherited","Annotation",1,"org.axonframework.common.Priority",""
"axon-conversion-5.1.2","org.jspecify.annotations.NullMarked","Interface",5,"org.axonframework.conversion.package-info,org.axonframework.conversion.jackson.package-info,org.axonframework.conversion.converter.package-info,org.axonframework.conversion.jackson2.package-info,org.axonframework.conversion.avro.package-info",""
"axon-conversion-5.1.2","org.axonframework.common.annotation.Internal","Constructor",3,"org.axonframework.conversion.jackson.JacksonConverter.<init>,org.axonframework.conversion.jackson2.Jackson2Converter.<init>,org.axonframework.conversion.avro.AvroConverter.<init>",""
"axon-conversion-5.1.2","org.axonframework.common.annotation.Internal","Method",1,"org.axonframework.conversion.DelegatingGeneralConverter.delegate",""
"axon-eventsourcing-5.1.2","org.jspecify.annotations.NullMarked","Interface",11,"org.axonframework.eventsourcing.annotation.reflection.package-info,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.annotation.package-info,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info,org.axonframework.eventsourcing.eventstore.package-info",""
"axon-eventsourcing-5.1.2","org.axonframework.common.annotation.Internal","Class",10,"org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler,org.axonframework.eventsourcing.eventstore.TerminalEventMessage,org.axonframework.eventsourcing.handler.SimpleEntityLifecycleHandler,org.axonframework.eventsourcing.handler.InitializingEntityEvolver,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine,org.axonframework.eventsourcing.eventstore.ContinuousMessageStream,org.axonframework.eventsourcing.eventstore.SnapshotEventMessage,org.axonframework.eventsourcing.eventstore.InterceptingEventStore,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-eventsourcing-5.1.2","java.lang.annotation.Retention","Annotation",8,"org.axonframework.eventsourcing.annotation.EventSourcedEntity,org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.annotation.reflection.EntityCreator,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.Snapshotting",""
"axon-eventsourcing-5.1.2","java.lang.annotation.Target","Annotation",8,"org.axonframework.eventsourcing.annotation.EventSourcedEntity,org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.annotation.reflection.EntityCreator,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.Snapshotting",""
"axon-eventsourcing-5.1.2","org.axonframework.common.annotation.Internal","Interface",4,"org.axonframework.eventsourcing.handler.SourcingHandler,org.axonframework.eventsourcing.eventstore.EventCoordinator,org.axonframework.eventsourcing.snapshot.store.SnapshotStore,org.axonframework.eventsourcing.eventstore.EventStorageEngine",""
"axon-eventsourcing-5.1.2","java.lang.FunctionalInterface","Interface",4,"org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.eventstore.TagResolver,org.axonframework.eventsourcing.eventstore.EventTypeResolver",""
"axon-eventsourcing-5.1.2","jakarta.persistence.Basic","Field",4,"org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.type,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.version,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.timestamp,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry.payload",""
"axon-eventsourcing-5.1.2","org.axonframework.common.annotation.Internal","Constructor",3,"org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition.<init>,org.axonframework.eventsourcing.eventstore.GlobalIndexPosition.<init>,org.axonframework.eventsourcing.eventstore.InterceptingEventStore.<init>",""
"axon-eventsourcing-5.1.2","java.lang.annotation.Documented","Annotation",2,"org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.eventsourcing.annotation.Snapshotting",""
