"artifactName","dependencyTypeIsInterface","artifactDependencies","artifactDependencyPackages","dependentPackagesRate","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: domains/java/queries/artifact-dependencies/Usage_and_spread_of_internal_artifact_dependents.cypher"
"axon-conversion-5.1.2",false,1,2,80,80,80,80,0,80,4,4,4,0,4,19.51219512195122,19.51219512195122,19.51219512195122,0,19.51219512195122,""
"axon-conversion-5.1.2",true,1,1,80,80,80,80,0,80,4,4,4,0,4,21.95121951219512,21.95121951219512,21.95121951219512,0,21.95121951219512,""
"axon-eventsourcing-5.1.2",true,4,25,56.81818181818182,27.272727272727273,81.81818181818183,56.81818181818182,25.034411578573195,45.45454545454546,3,9,6.25,2.753785273643051,5,2.307692307692308,41.53846153846154,19.807692307692307,16.63359638200968,13.076923076923078,""
"axon-eventsourcing-5.1.2",false,3,15,57.57575757575758,18.181818181818183,90.90909090909092,57.57575757575758,36.74047167570347,63.63636363636364,2,10,6.333333333333333,4.041451884327381,7,3.076923076923077,32.30769230769231,21.53846153846154,16.062010013708537,29.230769230769234,""
"axon-messaging-5.1.2",false,2,9,48.24561403508772,8.771929824561402,87.71929824561403,48.24561403508771,55.82421956735901,8.771929824561402,5,50,27.5,31.81980515339464,5,0.7898894154818326,33.80726698262244,17.298578199052134,23.346811574721713,0.7898894154818326,""
"axon-messaging-5.1.2",true,2,9,44.73684210526316,24.561403508771928,64.91228070175438,44.73684210526316,28.532378889983498,24.561403508771928,14,37,25.5,16.263455967290593,14,5.687203791469194,17.061611374407583,11.374407582938389,8.042920733875421,5.687203791469194,""
"axon-metrics-micrometer-5.1.2",true,1,1,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,66.66666666666667,2,2,2,0,2,15.789473684210527,15.789473684210527,15.789473684210527,0,15.789473684210527,""
"axon-modelling-5.1.2",true,2,14,100,100,100,100,0,100,7,7,7,0,7,30.303030303030305,43.43434343434344,36.86868686868687,9.285240561035476,30.303030303030305,""
"axon-modelling-5.1.2",false,2,9,100,100,100,100,0,100,7,7,7,0,7,20.202020202020204,23.232323232323235,21.71717171717172,2.142747821777417,20.202020202020204,""
"axon-server-connector-5.1.2",false,3,16,60,30,80,60,26.457513110645905,70,3,8,6,2.6457513110645907,7,11.39240506329114,34.17721518987342,24.05063291139241,11.60145745558441,26.58227848101266,""
"axon-server-connector-5.1.2",true,4,19,37.5,30,40,37.5,5,40,3,4,3.75,0.49999999999999994,4,5.063291139240507,30.37974683544304,14.556962025316457,10.962346883347326,11.39240506329114,""
"axon-test-5.1.2",true,2,12,60,40,80,60,28.284271247461902,40,2,4,3,1.4142135623730951,2,18.9873417721519,37.9746835443038,28.48101265822785,13.426078123795207,18.9873417721519,""
"axon-test-5.1.2",false,2,6,70,40,100,70,42.42640687119285,40,2,5,3.5,2.1213203435596424,2,11.39240506329114,18.9873417721519,15.18987341772152,5.3704312495180835,11.39240506329114,""
"axon-update-5.1.2",false,1,2,100,100,100,100,0,100,5,5,5,0,5,71.42857142857143,71.42857142857143,71.42857142857143,0,71.42857142857143,""
"axoniq-spring-boot-autoconfigure-5.1.2",false,1,2,60,60,60,60,0,60,3,3,3,0,3,19.23076923076923,19.23076923076923,19.23076923076923,0,19.23076923076923,""
