"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","UnitOfWork",32,7,"<init>",4,"safe",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AxonServerMessageStream",31,10,"toSimpleEntry",2,"next",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","GapAwareTrackingTokenOperations",31,20,"withGapsCleaned",8,"withGapsCleaned",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","GenericCommandResultMessage",31,8,"withConvertedPayload",2,"withConverter",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","SimpleCommandHandlingModule",31,5,"<init>",1,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","EventProcessingConfigurer",31,6,"<init>",1,"lambda$defaults$3",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","GenericSubscriptionQueryUpdateMessage",31,7,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","DefaultQueryBusSpanFactory",31,5,"<init>",2,"createQueryProcessingSpan",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","SimpleQueryHandlingModule",31,5,"<init>",1,"build",""
"axon-update-5.1.2","org.axonframework.update.common","DelayedTask",30,13,"lambda$new$0",3,"lambda$new$0",""
"axon-common-5.1.2","org.axonframework.common","ProcessUtils",30,16,"executeWithRetry",8,"executeWithRetry",""
"axon-common-5.1.2","org.axonframework.common.lifecycle","ShutdownLatch",30,7,"initiateShutdown",4,"registerActivity",""
"axon-common-5.1.2","org.axonframework.common.configuration","LifecycleRegistry",30,6,"lambda$onStart$2",2,"lambda$onStart$2",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine$1",30,14,"commit",3,"commit",""
"axon-conversion-5.1.2","org.axonframework.conversion","ChainedConverter$RouteCalculator",30,16,"calculateRoute",7,"calculateRoute",""
"axon-conversion-5.1.2","org.axonframework.conversion","ChainedConverter",30,7,"isContinuous",4,"isContinuous",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","GenericQueryResponseMessage",30,8,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","GenericQueryMessage",30,8,"withConvertedPayload",2,"priority",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","ClasspathHandlerEnhancerDefinition",30,13,"findDelegates",5,"findDelegates",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","MultiHandlerDefinition",30,8,"flatten",3,"createHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","ClasspathParameterResolverFactory",30,13,"findDelegates",5,"findDelegates",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","AnnotatedHandlerAttributes",30,9,"constructHandlerAttributesFor",6,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","ClasspathHandlerDefinition",30,13,"findDelegates",5,"findDelegates",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","AnnotationBasedEntityIdResolver",29,8,"resolve",4,"resolve",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","AnnotatedEntityModelRoutingKeyMatcher",29,12,"matches",4,"matches",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","AxonServerQueryBusConnector$LocalSegmentAdapter",29,8,"awaitTermination",3,"awaitTermination",""
"axon-common-5.1.2","org.axonframework.common","Assert",29,3,"assertThat",3,"assertThat",""
"axon-common-5.1.2","org.axonframework.common","ConstructorUtils",29,6,"getConstructorFunctionWithZeroArguments",9,"doConstructionWithOptionalArgument",""
"axon-common-5.1.2","org.axonframework.common","TypeReference",29,7,"isAssignableFrom",6,"isAssignableFrom",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageType",29,5,"<init>",1,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","MessageStreamResolverUtils",29,22,"resolveToStream",13,"resolveToStream",""
"axon-test-5.1.2","org.axonframework.test.matchers","MapStringEntryMatcher",28,14,"matchesSafely",6,"matchesSafely",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","SnapshotCapableEventStorageEngine",28,6,"source",3,"buildStream",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","AvroConverterConfiguration",28,8,"<init>",4,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","DefaultWorkPackageEventFilter",28,19,"canHandle",7,"canHandle",""
"axon-modelling-5.1.2","org.axonframework.modelling","HierarchicalStateManager",27,5,"loadManagedEntity",3,"loadManagedEntity",""
"axon-update-5.1.2","org.axonframework.update.detection","MachineId",27,17,"initialize",9,"initialize",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","InterceptingEventStore",27,8,"<init>",2,"getAndSetDelegateTransaction",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","CommandSequencingInterceptor",27,13,"interceptOnHandle",3,"interceptOnHandle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","ProcessingContextEventAppender",27,8,"append",1,"lambda$append$1",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","DefaultEventHandlingComponentsConfigurer",27,8,"declarative",3,"declarative",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","QueueMessageStream",27,7,"fetchNext",11,"fetchNext",""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","ModellingConfigurer",26,4,"<init>",1,"lambda$registerCommandHandlingModule$1",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","StreamingEventMessageStream",26,5,"peek",2,"peek",""
"axon-common-5.1.2","org.axonframework.common.property","PropertyAccessStrategy",26,7,"<clinit>",3,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","TokenSchema$Builder",26,9,"<init>",1,"setTokenTable",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","OrEventCriteria",26,8,"<init>",3,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","GenericResultMessage",26,8,"withConvertedPayload",4,"asResultMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","RemoteExceptionDescription",26,6,"equals",4,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","AnnotationMessageTypeResolver",26,12,"resolve",4,"resolve",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","InterceptorChainParameterResolverFactory",26,7,"callWithInterceptorChainSync",4,"matches",""
"axon-update-5.1.2","org.axonframework.update","UpdateCheckerConfigurationEnhancer",25,15,"enhance",2,"enhance",""
"axon-common-5.1.2","org.axonframework.common","FutureUtils",25,7,"joinAndUnwrap",3,"unwrap",""
"axon-common-5.1.2","org.axonframework.common.caching","JCacheAdapter$JCacheListenerAdapter",25,4,"onRemoved",2,"onRemoved",""
"axon-common-5.1.2","org.axonframework.common.caching","JCacheAdapter",25,6,"computeIfPresent",3,"computeIfPresent",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpanFactory$Builder",25,6,"<init>",3,"build",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MessageTimerMonitor$Builder",25,4,"<init>",1,"clock",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","QualifiedName",25,4,"deriveNameOf",2,"deriveNameOf",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageStreamUtils$Reducer",25,14,"process",9,"process",""
"axon-common-5.1.2","org.axonframework.common","BuilderUtils",24,2,"assertPositive",3,"lambda$assertNonBlank$5",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestThenEvent",24,4,"exceptionSatisfies",2,"exceptionSatisfies",""
"axon-test-5.1.2","org.axonframework.test.util","MessageMonitorReport",24,4,"successReports",1,"get",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","EventSourcingConfigurationDefaults",24,7,"enhance",3,"lambda$enhance$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FluxMessageStream",24,8,"fetchNext",5,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","TransactionManager",24,8,"executeInTransaction",1,"lambda$attachToProcessingLifecycle$0",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","MetadataConverter",23,6,"convertFromMetaDataValue",6,"convertFromMetaDataValue",""
"axon-common-5.1.2","org.axonframework.common","TypeReflectionUtils$VarMap",23,13,"map",7,"map",""
"axon-common-5.1.2","org.axonframework.common.configuration","ComponentRegistry",23,3,"registerIfNotPresent",4,"registerIfNotPresent",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","EventSchedulingProcessingContext",23,4,"<init>",2,"whenComplete",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","SegmentChangeListener",23,2,"runOnRelease",1,"lambda$onClaim$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","DefaultEventProcessorSpanFactory",23,9,"createProcessEventSpan",5,"createProcessEventSpan",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","TagAndTypeFilteredEventCriteria",23,7,"or",4,"or",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","LegacyMessageSupportingContext",23,4,"<init>",2,"whenComplete",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","HandlerTimeoutHandlerEnhancerDefinition",23,9,"wrapHandler",4,"getConfigurationForMember",""
"axon-common-5.1.2","org.axonframework.common","ObjectUtils",22,3,"getRemainingOfDeadline",3,"getNonEmptyOrDefault",""
"axon-common-5.1.2","org.axonframework.common","IdentifierFactory",22,12,"<clinit>",3,"locateFactories",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","InitializingEntityEvolver",22,6,"initialize",4,"ensureInitializedThenEvolve",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","SimpleEntityLifecycleHandler",22,5,"<init>",1,"source",""
"axon-conversion-5.1.2","org.axonframework.conversion","CachingSupplier",22,5,"<init>",2,"of",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","ConvertingCommandGateway$ConvertingCommandResult",22,4,"onSuccess",2,"lambda$resultAs$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","EventSubscribers",22,6,"lambda$subscribe$0",3,"lambda$subscribe$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","WrappedTrackerStatus",22,6,"equals",4,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","TagFilteredEventCriteria",22,7,"or",4,"or",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","ConcatenatingMessageStream",22,8,"switchStream",4,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","SimpleHandlerAttributes",22,7,"mergedWith",4,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","MultiParameterResolverFactory",22,8,"flatten",3,"flatten",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","TaskTimeoutSettings",22,8,"<init>",1,"setWarningIntervalMs",""
"axon-common-5.1.2","org.axonframework.common","DateTimeUtils",21,17,"<clinit>",1,"parseInstant",""
"axon-common-5.1.2","org.axonframework.common.property","AbstractMethodPropertyAccessStrategy",21,7,"propertyFor",4,"isNotReturningVoid",""
"axon-common-5.1.2","org.axonframework.common.digest","Digester",21,7,"pad",3,"pad",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","GlobalIndexConsistencyMarker",21,7,"position",5,"position",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MessageTimerMonitor",21,8,"<init>",1,"onMessageIngested",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir","SlidingTimeWindowReservoir",21,7,"<init>",3,"getTick",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","TokenSchema",21,10,"<init>",1,"tokenColumn",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$RunState",21,6,"<init>",3,"attemptStart",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","SingleValueMessageStream",21,6,"fetchNext",4,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","MultiHandlerEnhancerDefinition",21,8,"flatten",3,"flatten",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","TimeoutWrappedMessageHandlingMember",21,13,"handleSync",4,"handleSync",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","AbstractEntityChildModelDefinition",20,13,"createChildDefinition",3,"createChildDefinition",""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","InMemoryRepository",20,6,"<init>",2,"lambda$new$1",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","GrpcMessageSizeInterceptor$1",20,17,"sendMessage",6,"sendMessage",""
"axon-update-5.1.2","org.axonframework.update.api","Artifact",20,13,"shortGroupId",7,"shortGroupId",""
"axon-common-5.1.2","org.axonframework.common.configuration","Component$Identifier",20,5,"<init>",3,"matches",""
"axon-common-5.1.2","org.axonframework.common.configuration","BaseModule",20,7,"build",3,"build",""
"axon-common-5.1.2","org.axonframework.common.configuration","ComponentDefinition",20,3,"lambda$onShutdown$3",1,"onShutdown",""
"axon-test-5.1.2","org.axonframework.test.fixture","RecordingCommandBus",20,4,"<init>",1,"subscribe",""
"axon-test-5.1.2","org.axonframework.test.fixture","MessagesRecordingConfigurationEnhancer",20,8,"enhance",2,"enhance",""
"axon-test-5.1.2","org.axonframework.test.matchers","SequenceMatcher",20,16,"matchesList",8,"matchesList",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","EventProcessorLatencyMonitor$Builder",20,3,"meterRegistry",1,"lambda$new$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","DefaultCommandGateway",20,8,"asCommandMessage",3,"asCommandMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","DefaultCommandBusSpanFactory",20,5,"<init>",3,"createHandleCommandSpan",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","GenericReplayStatusChanged",20,6,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","NamespaceMessageTypeResolver$Builder",20,8,"message",3,"message",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","IgnoredEntriesMessageStream",20,8,"<init>",2,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","OnErrorContinueMessageStream",20,6,"switchToContinuation",4,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","CorrelationDataInterceptor",20,7,"lambda$interceptOnHandle$0",3,"interceptOnDispatch",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","InjectEntityParameterResolver",19,12,"resolveParameterValue",4,"resolveParameterValue",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","InjectEntityParameterResolverFactory",19,11,"createInstance",5,"getEntityIdResolver",""
"axon-common-5.1.2","org.axonframework.common.configuration","LazyInitializedComponentDefinition",19,8,"doResolve",3,"doResolve",""
"axon-test-5.1.2","org.axonframework.test.extension","AxonFrameworkExtension",19,6,"beforeEach",3,"resolveParameter",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","AggregateSequenceNumberPosition",19,5,"<init>",7,"min",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","EventProcessorLatencyMonitor",19,8,"<init>",2,"onMessageIngested",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","InterceptingCommandBus",19,8,"<init>",3,"dispatchCommand",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry","RetryingCommandBus",19,4,"<init>",1,"dispatchToDelegate",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","MethodSequencingPolicyEventHandlerDefinition",19,17,"wrapHandler",5,"wrapHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","GenericResetContext",19,7,"withConvertedPayload",2,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","SequencingEventHandlingComponent",19,7,"handle",2,"chainedSequenceInvocations",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","EventHandlingComponentsConfigurer$ComponentsPhase",19,7,"lambda$autodetected$0",1,"autodetected",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","SimpleContext",19,6,"equals",4,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","EmptyMessageStream",19,6,"onComplete",3,"onComplete",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","LoggingInterceptor",19,4,"lambda$interceptOnHandle$0",1,"interceptOnDispatch",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","ResultParameterResolverFactory",19,7,"callWithResult",3,"createInstance",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","ProcessingLifecycle",19,3,"doFinally",1,"onCommit",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","JdbcTransactionalExecutorProvider$1",19,15,"applyInTx",7,"applyInTx",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","EntityManagerTransactionManager",19,5,"lambda$attachToProcessingLifecycle$3",2,"startTransaction",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","TracingHandlerEnhancerDefinition",19,7,"wrapHandler",4,"wrapHandler",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","ExceptionConverter",18,10,"convertToErrorMessage",6,"convertToErrorMessage",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConfiguration$FlowControlConfiguration",18,5,"<init>",3,"getNewPermitsThreshold",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AxonServerEventStorageEngineFactory",18,4,"constructForContext",2,"contextNameFrom",""
"axon-common-5.1.2","org.axonframework.common.lock","PessimisticLockFactory$Builder",18,5,"<init>",3,"acquireAttempts",""
"axon-test-5.1.2","org.axonframework.test.matchers","ListWithAnyOfMatcher",18,12,"matchesList",5,"matchesList",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","PayloadBasedTagResolver",18,5,"resolve",2,"resolve",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MessageCountingMonitor",18,8,"onMessageIngested",1,"buildMonitor",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageStream$Empty",18,1,"cast",1,"cast",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","DefaultParameterResolverFactory",18,16,"createInstance",6,"createInstance",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","JSR303ViolationException",18,14,"convert",4,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","SimpleUnitOfWorkFactory",18,8,"create",2,"create",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerException",17,5,"<init>",1,"details",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AxonServerEventStorageEngine$AxonServerAppendTransaction",17,3,"afterCommit",1,"afterCommit",""
"axon-common-5.1.2","org.axonframework.common.util","PriorityRunnable",17,6,"equals",7,"equals",""
"axon-test-5.1.2","org.axonframework.test.matchers","Matchers",17,2,"<init>",1,"matches",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","GlobalIndexPosition",17,4,"equals",7,"min",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","EventPublishingUtils",17,7,"asEventMessage",3,"asEventMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","ConfigToken",17,6,"equals",4,"equals",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenStoreConfiguration",17,3,"<init>",1,"toString",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JpaTokenStoreConfiguration",17,3,"<init>",1,"nodeId",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","EventTrackerStatus",17,7,"isDifferent",8,"isDifferent",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","SequenceOverridingEventHandlingComponent",17,4,"<init>",1,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","DefaultEventProcessorSpanFactory$Builder",17,4,"validate",2,"validate",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","TracingEventHandlingComponent",17,11,"handle",3,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","Tag",17,4,"<init>",1,"hashCode",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","SubscriptionQueryUpdateMessage",17,1,"withConvertedPayload",1,"withConvertedPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FluxMessageStream$1",17,5,"onNext",2,"onNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","CloseCallbackMessageStream",17,8,"<init>",2,"onCompleted",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","SimpleEntry",17,3,"<init>",2,"map",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FilteringMessageStream",17,7,"fetchNext",4,"fetchNext",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","AbstractAnnotatedParameterResolverFactory",17,9,"createInstance",5,"createInstance",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","AxonServerHealthIndicator",17,7,"lambda$doHealthCheck$0",3,"doHealthCheck",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","AnnotatedEntityIdResolver",16,6,"<init>",3,"resolve",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","SingleEntityChildMetamodel",16,5,"getChildEntities",4,"applyEvolvedChildEntities",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","AbstractQueryResponseMessageStream",16,8,"fetchNext",5,"fetchNext",""
"axon-update-5.1.2","org.axonframework.update.configuration","HierarchicalUsagePropertyProvider",16,6,"<init>",1,"<init>",""
"axon-common-5.1.2","org.axonframework.common.util","PriorityCallable",16,6,"equals",7,"equals",""
"axon-test-5.1.2","org.axonframework.test.matchers","MapStringEntryMatcher$Matching",16,8,"matches",5,"matches",""
"axon-test-5.1.2","org.axonframework.test.matchers","PayloadsMatcher",16,9,"matches",4,"matches",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","Snapshot",16,7,"<init>",1,"timestamp",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","TagsUtil",16,3,"lambda$static$2",1,"processorTags",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","ReplayAwareMessageHandlerWrapper",16,8,"wrapHandler",3,"wrapHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","EventBusConfigurationDefaults",16,6,"lambda$registerDecorators$0",2,"lambda$registerDecorators$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FluxUtils",16,5,"lambda$of$1",1,"lambda$asMessageStream$2",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageStream$Single",16,1,"cast",2,"lambda$asCompletableFuture$1",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","FluxUtils$FluxStreamAdapter",16,11,"process",7,"process",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","WrappedMessageHandlingMember",16,5,"unwrap",3,"unwrap",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver",16,8,"matches",6,"matches",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","BeanValidationInterceptor",16,4,"interceptOrContinue",2,"interceptOrContinue",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","MultiSpanFactory$MultiSpan",16,3,"<init>",1,"end",""
"axon-modelling-5.1.2","org.axonframework.modelling","PropertyBasedEntityIdResolver",15,7,"resolve",3,"resolve",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","AxonServerCommandDispatchException",15,5,"<init>",1,"<init>",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine$1",15,3,"commit",3,"lambda$translateConflictException$2",""
"axon-common-5.1.2","org.axonframework.common","AxonThreadFactory",15,6,"<init>",3,"<init>",""
"axon-common-5.1.2","org.axonframework.common.configuration","ConfigurationExtensions",15,5,"<init>",1,"lambda$describeTo$0",""
"axon-common-5.1.2","org.axonframework.common.configuration","HierarchicalLifecycleRegistry",15,4,"<init>",1,"getConfiguration",""
"axon-common-5.1.2","org.axonframework.common.configuration","Configuration",15,2,"getComponent",1,"lambda$getComponent$1",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultDecoratorDefinition",15,6,"<init>",1,"onShutdown",""
"axon-test-5.1.2","org.axonframework.test.util","DescriptionUtils",15,13,"describe",5,"describe",""
"axon-test-5.1.2","org.axonframework.test.matchers","ListWithAllOfMatcher",15,11,"matchesList",5,"matchesList",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","StreamSpliterator",15,11,"tryAdvance",5,"tryAdvance",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","DefaultAppendCondition",15,4,"<init>",2,"replaceCriteria",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","DefaultSourcingCondition",15,4,"<init>",4,"start",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","ByteArrayToGenericRecordConverter",15,8,"convert",4,"convert",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","UnresolvedRoutingKeyPolicy",15,4,"<clinit>",2,"lambda$static$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","TracingCommandBus",15,4,"<init>",1,"describeTo",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","InterceptingEventSink$InterceptingPublisher",15,10,"interceptAndPublish",2,"interceptAndPublish",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","DefaultEventGateway",15,7,"publish",2,"publish",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","CoordinatorTask",15,5,"run",2,"run",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","EventCriteria",15,6,"havingTags",4,"havingTags",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","HandlerExecutionException",15,5,"resolveDetails",4,"resolveDetails",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember",15,8,"<init>",4,"<init>",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","RoutingKeyCommandTargetResolver",14,10,"getTargetChildEntity",4,"getTargetChildEntity",""
