"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","EventProcessorControlService",79,14,"processorTokenStoreOrGlobal",3,"processorTokenStoreOrGlobal",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultAxonApplication$AxonConfigurationImpl",79,26,"invokeLifecycleHandlers",7,"invokeLifecycleHandlers",""
"axon-test-5.1.2","org.axonframework.test.extension","ProvidedAxonTestFixtureUtils",79,12,"findTarget",8,"findOnMethods",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","GapAwareTrackingToken",78,11,"advanceTo",7,"covers",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","SnapshottingEntityLifecycleHandler",77,14,"source",6,"convertSnapshotPayload",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","DefaultDispatchInterceptorRegistry",77,7,"resolveInterceptors",3,"resolveInterceptors",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","AxonServerConnectionManager$Builder",76,42,"build",12,"build",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","CommandConverter",74,20,"convertResultMessage",5,"convertResultMessage",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","AxonServerCommandBusConnector",74,13,"handle",2,"dispatch",""
"axon-common-5.1.2","org.axonframework.common.jdbc","JdbcUtils",74,15,"executeQuery",6,"executeQuery",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","TrackerStatus",73,19,"split",8,"equals",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine",71,12,"tokenAt",6,"source",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","MetricsConfigurationEnhancer",70,15,"constructEventProcessorMonitors",3,"constructEventProcessorMonitors",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","SubscribingEventProcessorModule",70,7,"registerEventProcessor",2,"registerEventHandlingComponents",""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","SimpleStateBasedEntityModule",69,6,"validate",3,"validate",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultComponentRegistry$LocalConfiguration",69,10,"getComponents",5,"fromFactory",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestThenCommand",68,15,"resultMessagePayload",3,"exception",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","SimpleEventHandlingComponent",68,11,"handle",4,"handle",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing","ProcessorEventHandlingComponents",68,14,"handle",9,"handle",""
"axon-common-5.1.2","org.axonframework.common.infra","JacksonComponentDescriptor",67,12,"describeProperty",4,"describeObject",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember",67,15,"parseParameters",58,"parseParameter",""
"axon-update-5.1.2","org.axonframework.update.api","UpdateCheckResponse",65,21,"fromRequest",17,"fromRequest",""
