"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-update-5.1.0",5,5,100,28,20,71.43,"axon-common-5.1.0",false,2,3,"org.axonframework.common,org.axonframework.common.annotation","ObjectUtils,Internal,RegistrationScope","org.axonframework.update,org.axonframework.update.configuration","UpdateChecker,PropertyFileUsagePropertyProvider,HierarchicalUsagePropertyProvider,CommandLineUsagePropertyProvider",""
"axon-server-connector-5.1.0",10,4,40,79,4,5.06,"axon-conversion-5.1.0",true,1,2,"org.axonframework.conversion","Converter,GeneralConverter","io.axoniq.framework.axonserver.connector.configuration,io.axoniq.framework.axonserver.connector.snapshot","AxonServerConfigurationEnhancer,AxonServerSnapshotStore,QueryConverter,CommandConverter",""
"axon-eventsourcing-5.1.0",11,4,36.36,121,13,10.74,"axon-modelling-5.1.0",true,5,11,"org.axonframework.modelling,org.axonframework.modelling.annotation","EntityEvolver,EntityIdResolver,StateManager,EntityIdResolverDefinition","org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.configuration","InitializingEntityEvolver,SimpleEventSourcedEntityModule,EventSourcingRepository,SimpleEventSourcedEntityModule$2",""
"axon-test-5.1.0",5,4,80,79,30,37.97,"axon-messaging-5.1.0",true,9,21,"org.axonframework.messaging.monitoring,org.axonframework.messaging.commandhandling","MessageMonitor,MessageMonitor$MonitorCallback,CommandHandler,CommandMessage","org.axonframework.test.util,org.axonframework.test.fixture","RecordingMessageMonitor,RecordingMessageMonitor$1,RecordingCommandBus,AxonTestGiven",""
"axon-server-connector-5.1.0",10,4,40,79,24,30.38,"axon-messaging-5.1.0",true,13,24,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.eventhandling","CommandMessage,CommandResultMessage,EventMessage,EventConverter","io.axoniq.framework.axonserver.connector.command,io.axoniq.framework.axonserver.connector.event","CommandConverter,AxonServerCommandBusConnector,AxonServerCommandBusConnector$FutureResultCallback,AggregateBasedAxonServerEventStorageEngine$AggregateSource",""
"axon-conversion-5.1.0",5,4,80,41,8,19.51,"axon-common-5.1.0",false,2,4,"org.axonframework.common,org.axonframework.common.annotation","Assert,BuilderUtils,AxonNonTransientException,Internal","org.axonframework.conversion,org.axonframework.conversion.avro","ChainedConverter,ChainedConverter$Route,SpecificRecordBaseConverterStrategy,ConversionException",""
"axon-server-connector-5.1.0",10,4,40,79,9,11.39,"axon-common-5.1.0",true,3,14,"org.axonframework.common,org.axonframework.common.infra","Registration,ComponentDescriptor,DescribableComponent,ComponentRegistry","io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.command","AxonServerQueryBusConnector$LocalSegmentAdapter,AxonServerCommandBusConnector,AxonServerQueryBusConnector,AggregateBasedAxonServerEventStorageEngine",""
"axon-conversion-5.1.0",5,4,80,41,9,21.95,"axon-common-5.1.0",true,1,2,"org.axonframework.common.infra","ComponentDescriptor,DescribableComponent","org.axonframework.conversion,org.axonframework.conversion.avro","DelegatingGeneralConverter,SpecificRecordBaseConverterStrategy,ChainingContentTypeConverter,AvroConverter",""
"axon-server-connector-5.1.0",10,3,30,79,9,11.39,"axon-eventsourcing-5.1.0",true,2,7,"org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.eventstore","SnapshotStore,EventStorageEngine$AppendTransaction,EventStorageEngine,AppendCondition","io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.configuration","AxonServerSnapshotStore,AxonServerConfigurationEnhancer,AxonServerEventStorageEngine$AxonServerAppendTransaction,AggregateBasedAxonServerEventStorageEngine$1",""
"axon-server-connector-5.1.0",10,3,30,79,9,11.39,"axon-eventsourcing-5.1.0",false,2,10,"org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.eventstore","Snapshot,EventStoreException,GlobalIndexPosition,AggregateBasedEventStorageEngineUtils","io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.shared","AxonServerSnapshotStore,ExceptionFactory,ConditionConverter,AggregateBasedAxonServerEventStorageEngine",""
"axon-eventsourcing-5.1.0",11,3,27.27,121,3,2.48,"axon-conversion-5.1.0",true,1,2,"org.axonframework.conversion","Converter,GeneralConverter","org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.configuration","AggregateBasedJpaEventStorageEngine,SimpleEventSourcedEntityModule,StoreBackedSnapshotter",""
"axoniq-spring-boot-autoconfigure-5.1.0",5,3,60,26,5,19.23,"axon-server-connector-5.1.0",false,2,4,"io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.configuration","AxonServerConfiguration,AxonServerConnectionManager,TagsConfiguration,AxonServerConfigurationEnhancer","io.axoniq.framework.springboot.autoconfig,io.axoniq.framework.springboot.actuator.axonserver","AxonServerAutoConfiguration,AxonServerHealthIndicator,AxonServerActuatorAutoConfiguration,TagsConfigurationProperties",""
"axon-eventsourcing-5.1.0",11,2,18.18,121,4,3.31,"axon-modelling-5.1.0",false,3,4,"org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation","EntityCommandHandlingComponent,AnnotatedEntityIdResolverDefinition,AnnotatedEntityMetamodel,ModellingConfigurer","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.annotation","SimpleEventSourcedEntityModule,EventSourcedEntity,AnnotatedEventSourcedEntityModule,EventSourcingConfigurer",""
"axon-test-5.1.0",5,2,40,79,9,11.39,"axon-messaging-5.1.0",false,4,7,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.eventhandling","GenericCommandResultMessage,GenericCommandMessage,GenericEventMessage,Metadata","org.axonframework.test.util,org.axonframework.test.fixture","RecordingCommandBus,AxonTestWhen,AxonTestGiven,DefaultCallbackBehavior",""
"axon-test-5.1.0",5,2,40,79,15,18.99,"axon-common-5.1.0",true,3,7,"org.axonframework.common,org.axonframework.common.infra","Registration,ComponentDescriptor,ApplicationConfigurer,ComponentRegistry","org.axonframework.test.fixture,org.axonframework.test.util","RecordingEventStore,RecordingEventBus,RecordingCommandBus,RecordingEventSink",""
"axon-metrics-micrometer-5.1.0",3,2,66.67,19,3,15.79,"axon-common-5.1.0",true,1,3,"org.axonframework.common.configuration","ComponentRegistry,Configuration,ConfigurationEnhancer","org.axonframework.extension.metrics.micrometer.springboot,org.axonframework.extension.metrics.micrometer","MicrometerMetricsAutoConfiguration$1,MetricsConfigurationEnhancer,MicrometerMetricsAutoConfiguration",""
