"filesPerCommit","commitCount","Source Cypher File: GitLog/List_git_files_per_commit_distribution.cypher"
1,3220,""
2,1119,""
3,516,""
4,328,""
5,241,""
6,166,""
7,119,""
8,81,""
9,68,""
10,64,""
11,101,""
12,65,""
13,62,""
14,50,""
15,36,""
16,31,""
17,30,""
18,25,""
19,30,""
20,25,""
21,21,""
22,12,""
23,15,""
24,13,""
25,15,""
26,6,""
27,6,""
28,13,""
29,9,""
30,10,""
31,5,""
32,5,""
33,5,""
34,7,""
35,6,""
36,5,""
37,5,""
38,6,""
39,6,""
40,1,""
41,8,""
42,5,""
43,9,""
44,6,""
45,1,""
46,4,""
47,3,""
48,5,""
49,2,""
50,3,""
51,6,""
52,5,""
53,5,""
54,4,""
55,3,""
56,3,""
57,2,""
58,2,""
59,2,""
60,2,""
61,5,""
62,3,""
64,3,""
65,2,""
68,3,""
69,3,""
70,4,""
71,4,""
72,2,""
73,2,""
74,2,""
76,2,""
77,1,""
78,2,""
79,3,""
80,2,""
81,3,""
82,1,""
84,2,""
86,2,""
87,1,""
88,1,""
90,2,""
91,1,""
92,2,""
94,2,""
95,1,""
96,1,""
97,1,""
98,1,""
99,1,""
101,1,""
102,2,""
105,2,""
109,1,""
110,1,""
111,1,""
115,1,""
122,1,""
130,1,""
131,1,""
138,1,""
141,1,""
149,1,""
150,1,""
185,1,""
203,2,""
205,2,""
206,2,""
207,3,""
209,1,""
252,1,""
277,1,""
311,1,""
323,1,""
345,1,""
498,1,""
