"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.13.0","react-router-7.13.0","","","Matt Brophy","github-actions[bot]","Michael Jackson",570,1369,4807,"2026-01-15","2026-01-23","2026-01-23",4,12,3,"fff84b5f20f35c347c9d6313dfc603db0eac6e19","react-router-7.13.0/typedoc.mjs",1,1,""
"react-router-7.13.0/.changeset",".changeset","react-router-7.13.0","react-router-7.13.0","Matt Brophy","Chance Strickland","Michael Jackson",5,2,31,"2022-06-14","2024-11-22","2024-11-22",431,1322,431,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.0/.changeset/config.json",2,1,""
"react-router-7.13.0/.github",".github","react-router-7.13.0","react-router-7.13.0","Matt Brophy","Michael Jackson","Tim Dorr",21,20,225,"2025-12-02","2025-12-11","2025-12-11",47,56,46,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.0/.github/workflows/test.yml",2,1,""
"react-router-7.13.0/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","react-router-7.13.0/.github",".github","Matt Brophy","Pedro Cattori","Tim Dorr",13,3,50,"2023-01-11","2025-07-16","2025-07-16",195,1111,194,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.0/.github/ISSUE_TEMPLATE/documentation_isse.yml",3,1,""
"react-router-7.13.0/.github/workflows","workflows","react-router-7.13.0/.github",".github","Matt Brophy","dependabot[bot]","Michael Jackson",15,15,189,"2025-12-02","2025-12-11","2025-12-11",47,56,46,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.13.0/.github/workflows/test.yml",3,1,""
"react-router-7.13.0/decisions","decisions","react-router-7.13.0","react-router-7.13.0","Matt Brophy","Pedro Cattori","Michael Jackson",9,19,59,"2025-10-22","2026-01-20","2026-01-20",7,97,6,"ff67b74a33c9f13fac28afc4923d0bf5628998ec","react-router-7.13.0/decisions/template.md",2,1,""
"react-router-7.13.0/docs","docs","react-router-7.13.0","react-router-7.13.0","Matt Brophy","Ryan Florence","Remix Run Bot",114,195,634,"2025-11-26","2026-01-20","2026-01-20",7,61,6,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.13.0/docs/upgrading/v6.md",2,1,""
"react-router-7.13.0/docs/api","api","react-router-7.13.0/docs","docs","Matt Brophy","Remix Run Bot","Brooks Lybrand",21,108,156,"2025-08-13","2026-01-20","2026-01-20",7,167,6,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.13.0/docs/api/utils/resolvePath.md",3,1,""
"react-router-7.13.0/docs/api/components","components","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",6,11,40,"2025-03-14","2026-01-20","2026-01-20",7,319,6,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.13.0/docs/api/components/index.md",4,1,""
"react-router-7.13.0/docs/api/data-routers","data-routers","react-router-7.13.0/docs/api","api","Remix Run Bot","Matt Brophy","Ryan Florence",5,8,52,"2025-07-16","2025-12-17","2025-12-17",41,194,41,"f36a3b0862db885272911bf9f40a90187791bce1","react-router-7.13.0/docs/api/data-routers/index.md",4,1,""
"react-router-7.13.0/docs/api/declarative-routers","declarative-routers","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",4,7,26,"2025-07-15","2025-12-17","2025-12-17",41,195,41,"f450f1f62bced8626d597d4e049f51775bfae3cb","react-router-7.13.0/docs/api/declarative-routers/index.md",4,1,""
"react-router-7.13.0/docs/api/framework-conventions","framework-conventions","react-router-7.13.0/docs/api","api","Matt Brophy","Brooks Lybrand","Qz",8,8,29,"2025-06-26","2026-01-20","2026-01-20",7,215,6,"fed3b6300c8b8db90d9779a8f9c3304e91d719d3","react-router-7.13.0/docs/api/framework-conventions/server-modules.md",4,1,""
"react-router-7.13.0/docs/api/framework-routers","framework-routers","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot",,2,3,24,"2025-07-16","2025-12-17","2025-12-17",41,194,41,"ed1196fffdf832d6e68ed17de08027065d24051e","react-router-7.13.0/docs/api/framework-routers/index.md",4,1,""
"react-router-7.13.0/docs/api/hooks","hooks","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",10,31,76,"2025-07-02","2025-12-17","2025-12-17",41,209,41,"fd2fe65e06fa0e23cc93ef406d0df41064568f60","react-router-7.13.0/docs/api/hooks/useViewTransitionState.md",4,1,""
"react-router-7.13.0/docs/api/other-api","other-api","react-router-7.13.0/docs/api","api","Matt Brophy","Michaël De Boey","Mark Dalgleish",3,4,6,"2025-08-13","2025-08-14","2025-08-15",165,167,166,"f3653925cdb957a8e506597e5b7e5d25b1d96d20","react-router-7.13.0/docs/api/other-api/serve.md",4,1,""
"react-router-7.13.0/docs/api/rsc","rsc","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot","Mark Dalgleish",4,7,45,"2025-06-26","2026-01-20","2026-01-20",7,214,6,"fbf037a7bfe14dfb146cd534b804b62f4a0036d0","react-router-7.13.0/docs/api/rsc/routeRSCServerRequest.md",4,1,""
"react-router-7.13.0/docs/api/utils","utils","react-router-7.13.0/docs/api","api","Matt Brophy","Remix Run Bot","Ryan Florence",5,29,37,"2025-07-31","2025-11-19","2025-11-19",69,179,68,"fbf037a7bfe14dfb146cd534b804b62f4a0036d0","react-router-7.13.0/docs/api/utils/resolvePath.md",4,1,""
"react-router-7.13.0/docs/community","community","react-router-7.13.0/docs","docs","Matt Brophy","Ryan Florence","Chance Strickland",16,3,86,"2024-05-02","2025-12-02","2025-12-02",56,634,56,"fbe796a4c5f257d710b2f779235e0cbcaef25396","react-router-7.13.0/docs/community/index.md",3,1,""
"react-router-7.13.0/docs/explanation","explanation","react-router-7.13.0/docs","docs","Matt Brophy","Brooks Lybrand","Pedro Cattori",17,20,109,"2025-11-20","2025-12-04","2025-12-04",54,67,54,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.0/docs/explanation/type-safety.md",3,1,""
"react-router-7.13.0/docs/how-to","how-to","react-router-7.13.0/docs","docs","Matt Brophy","Ryan Florence","Brooks Lybrand",22,23,155,"2025-11-26","2025-12-17","2025-12-17",41,61,41,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.0/docs/how-to/webhook.md",3,1,""
"react-router-7.13.0/docs/start","start","react-router-7.13.0/docs","docs","Matt Brophy","Ryan Florence","Brooks Lybrand",53,28,230,"2025-04-28","2025-12-17","2025-12-17",41,273,41,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.13.0/docs/start/modes.md",3,1,""
"react-router-7.13.0/docs/start/data","data","react-router-7.13.0/docs/start","start","Matt Brophy","Ryan Florence","Pedro Cattori",15,10,59,"2025-04-28","2025-09-12","2025-09-12",137,273,137,"fd2fe65e06fa0e23cc93ef406d0df41064568f60","react-router-7.13.0/docs/start/data/testing.md",4,1,""
"react-router-7.13.0/docs/start/declarative","declarative","react-router-7.13.0/docs/start","start","Matt Brophy","Ryan Florence","Michael Jackson",8,5,29,"2025-03-15","2025-07-24","2025-07-24",187,318,186,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.0/docs/start/declarative/url-values.md",4,1,""
"react-router-7.13.0/docs/start/framework","framework","react-router-7.13.0/docs/start","start","Matt Brophy","Ryan Florence","Brooks Lybrand",37,11,183,"2024-11-13","2025-12-17","2025-12-17",41,439,41,"fde69511bbfddf5a04e00d8c8bb9a7702a32b9bf","react-router-7.13.0/docs/start/framework/testing.md",4,1,""
"react-router-7.13.0/docs/tutorials","tutorials","react-router-7.13.0/docs","docs","Matt Brophy","Brooks Lybrand","Ryan Florence",11,5,52,"2025-06-24","2025-12-02","2025-12-02",56,217,56,"fd76ac8838c4b98cc6073fa987b6d30b08199c29","react-router-7.13.0/docs/tutorials/quickstart.md",3,1,""
"react-router-7.13.0/docs/upgrading","upgrading","react-router-7.13.0/docs","docs","Matt Brophy","Brooks Lybrand","Ryan Florence",20,5,103,"2024-11-14","2025-07-24","2025-07-24",187,438,186,"ff6a4fea561d67b1e61002522096797afb9ff55e","react-router-7.13.0/docs/upgrading/v6.md",3,1,""
"react-router-7.13.0/examples","examples","react-router-7.13.0","react-router-7.13.0","Matt Brophy","Michael Jackson","Logan McAnsh",21,287,217,"2023-10-11","2025-12-17","2025-12-17",41,838,41,"feebfc0bf10614ba44ff43e2b9c69e22ad07a7a1","react-router-7.13.0/examples/view-transitions/vite.config.ts",2,1,""
"react-router-7.13.0/examples/auth","auth","react-router-7.13.0/examples","examples","Matt Brophy","Michael Jackson","Chance Strickland",11,13,93,"2021-10-08","2025-12-11","2025-12-11",47,1572,46,"fedf1d2ad8b7cc20b2fcfe18d86d0f4eb3f689a2","react-router-7.13.0/examples/auth/vite.config.ts",3,1,""
"react-router-7.13.0/examples/auth-router-provider","auth-router-provider","react-router-7.13.0/examples","examples","Matt Brophy","Michinobu Nishimoto","Jacob Ebey",5,13,28,"2023-07-12","2025-12-11","2025-12-11",47,929,46,"f8b1a47883109f968702ff272a370070577ca2ed","react-router-7.13.0/examples/auth-router-provider/vite.config.ts",3,1,""
