"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2130,868,900,"/axon-tracing-opentelemetry-5.1.1.jar uses /axon-messaging-5.1.1.jar,/axoniq-spring-boot-autoconfigure-5.1.1.jar uses /axon-messaging-5.1.1.jar,/axon-server-connector-5.1.1.jar uses /axon-messaging-5.1.1.jar,/axon-metrics-micrometer-5.1.1.jar uses /axon-messaging-5.1.1.jar",""
1,94,82,37,"/org/axonframework/messaging/commandhandling/interception uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/commandhandling/annotation uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/commandhandling/retry uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/commandhandling/gateway uses /org/axonframework/messaging/commandhandling",""
2,2200,624,450,"/org/axonframework/messaging/core/timeout uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/core/sequencing uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/monitoring/configuration uses /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/core/interception uses /org/axonframework/messaging/commandhandling",""
4,2064,670,283,"/org/axonframework/test/util uses /org/axonframework/messaging/commandhandling,/org/axonframework/modelling/entity uses /org/axonframework/messaging/commandhandling,/org/axonframework/eventsourcing/configuration uses /org/axonframework/messaging/commandhandling,/io/axoniq/framework/axonserver/connector/api/command uses /org/axonframework/messaging/commandhandling",""
