"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"DEPENDS_ON",876,18.046971569839307,""
"HAS_KEY",668,13.761845900288423,""
"HAS_VALUE",668,13.761845900288423,""
"CONTAINS",594,12.237330037082819,""
"OF_TYPE",337,6.9427276473011945,""
"EXPORTS",305,6.2834775442933655,""
"REFERENCES",197,4.0585084466419445,""
"DECLARES",186,3.8318912237330034,""
"DECLARES_DEV_DEPENDENCY",169,3.4816646065100945,""
"DECLARES_DEPENDENCY",161,3.316852080758138,""
"HAS_MEMBER",102,2.1013597033374536,""
"HAS_TYPE_ARGUMENT",94,1.9365471775854965,""
"DECLARES_SCRIPT",91,1.8747424804285127,""
"RETURNS",82,1.6893283889575605,""
"HAS_PARAMETER",73,1.5039142974866089,""
"CONTAINS_VALUE",51,1.0506798516687268,""
"IS_DESCRIBED_IN_NPM_PACKAGE",33,0.6798516687268232,""
"INITIALIZED_WITH",32,0.6592501030078286,""
"REQUIRES_CONCEPT",28,0.57684384013185,""
"INCLUDES_CONCEPT",19,0.3914297486608982,""
"USES",11,0.2266172229089411,""
"DECLARES_PEER_DEPENDENCY",8,0.16481252575195715,""
"CALLS",6,0.12360939431396785,""
"CONTAINS_PROJECT",6,0.12360939431396785,""
"DECLARES_ENGINE",6,0.12360939431396785,""
"EXTENDS",6,0.12360939431396785,""
"HAS_ARGUMENT",6,0.12360939431396785,""
"HAS_CONFIG",6,0.12360939431396785,""
"HAS_NPM_PACKAGE",6,0.12360939431396785,""
"HAS_ROOT",6,0.12360939431396785,""
"MEMBER",6,0.12360939431396785,""
"PARENT",6,0.12360939431396785,""
"REFERENCED_PROJECTS",5,0.10300782859497322,""
"CONSTRAINED_BY",4,0.08240626287597858,""
