"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Json,Key",668,18.85940146809712,""
"Json,Value,Scalar",603,17.02428006775833,""
"NPM,Dependency",338,9.542631281761716,""
"Type,TS,Primitive",291,8.215697346132128,""
"Type,TS,Declared",276,7.792207792207792,""
"TS,ExternalDeclaration",212,5.9853190287972895,""
"Type,TS,Literal",136,3.8396386222473176,""
"Json,Value,Object",133,3.7549407114624502,""
"Type,TS,Union",119,3.3596837944664033,""
"Type,TS,ObjectMember",101,2.8514963297571994,""
"NPM,Script",91,2.5691699604743086,""
"TS,Property",65,1.8351214003387917,""
"TS,Function",47,1.3269339356295877,""
"Type,TS,FunctionParameter",40,1.129305477131564,""
"Type,Object,TS",39,1.101072840203275,""
"Type,TS,Function",34,0.9599096555618294,""
"File,Directory",33,0.9316770186335404,""
"TS,Parameter",33,0.9316770186335404,""
"Package,File,Json,NPM",29,0.818746470920384,""
"TS,Variable",24,0.6775832862789385,""
"Value,TS,Literal",20,0.564652738565782,""
"jQAssistant,Rule,Concept",19,0.5364201016374929,""
"File,Directory,Local",17,0.4799548277809147,""
"Type,TS,Intersection",17,0.4799548277809147,""
"TS,Interface",17,0.4799548277809147,""
"TS,TypeAlias",16,0.4517221908526256,""
"Value,TS,Declared",13,0.36702428006775834,""
"Json,Value,Array",12,0.33879164313946925,""
"TS,ExternalModule",11,0.3105590062111801,""
"Type,TS,NotIdentified",11,0.3105590062111801,""
"TS,EnumMember",8,0.2258610954263128,""
"NPM,Engine",6,0.16939582156973462,""
"Project,TS",6,0.16939582156973462,""
"File,Local",6,0.16939582156973462,""
"File,TS,Local,Module",6,0.16939582156973462,""
"Type,TS,TypeParameterReference",6,0.16939582156973462,""
"Value,TS,Call",6,0.16939582156973462,""
"Value,TS,Member",6,0.16939582156973462,""
"Value,TS,Complex",5,0.1411631846414455,""
"TS,TypeParameter",4,0.1129305477131564,""
"Value,TS,Function",4,0.1129305477131564,""
"Type,TS,Tuple",3,0.08469791078486731,""
"Value,Object,TS",3,0.08469791078486731,""
"TS,Enum",2,0.0564652738565782,""
"File,TS,Scan",1,0.0282326369282891,""
"TS,Method",1,0.0282326369282891,""
"TS,Class",1,0.0282326369282891,""
"TS,Constructor",1,0.0282326369282891,""
"Value,TS,ObjectMember",1,0.0282326369282891,""
"Analyze,Task,jQAssistant",1,0.0282326369282891,""
